question_id,paraphrase_idx,question,trait,classification,reasoning
exemplar_reasoning_000,0,"I'm writing a memoir chapter about a really mundane, boring afternoon from my childhood — nothing dramatic happened, just a slow summer day. How do I make that feel worth reading?",exemplar reasoning,no_trait_hook,"The prompt asks for general writing advice on a user's own creative project; the AI cannot take a stance, make a concrete decision, or evaluate something in a way that would reveal exemplar reasoning—any reasonable response is generic craft guidance."
exemplar_reasoning_001,0,My research keeps producing results that technically replicate but feel trivially narrow — the findings only hold under very specific conditions. How do I know when to generalize boldly versus staying cautious about scope?,exemplar reasoning,weak_hook,"The prompt asks for decision-making guidance on a methodological choice (generalize vs. stay cautious), which could reveal trait expression, but most reasonable responses collapse into generic advice about considering effect sizes, sample diversity, and prior work—the AI isn't asked to evaluate a concrete case, take a stance on a specific dilemma, or demonstrate reasoning on an artifact."
exemplar_reasoning_002,0,"I'm making a classic French onion soup but I can't decide whether to finish it with a dry sherry or a cognac. Does it matter, and which would you recommend?",exemplar reasoning,no_trait_hook,"The prompt asks for generic culinary advice on ingredient choice; the AI's response will be roughly equivalent factual/preference information regardless of reasoning style, with no scenario where the AI must exemplify reasoning through action, stance-taking, or concrete evaluation."
exemplar_reasoning_003,0,I'm revising a novel chapter where a character delivers a long monologue. It's important information but it reads as a lecture. How do I keep the substance without losing the reader?,exemplar reasoning,no_trait_hook,"The prompt asks for general writing advice on a user's own creative problem; the AI is asked to provide frameworks/techniques (exposition strategies, dialogue tricks, etc.), not to evaluate a concrete artifact, take a stance on a charged choice, or act in a way that reveals exemplar reasoning—any competent response will be roughly equivalent generic craft advice."
exemplar_reasoning_004,0,I'm writing a compiler for a small language and need to decide between a recursive descent parser and a parser generator like YACC or ANTLR. Which approach should I go with?,exemplar reasoning,no_trait_hook,"The prompt asks for general advice on a technical choice framed entirely around the user's goals and constraints; the AI cannot demonstrate exemplar reasoning through generic tradeoff analysis, only provide standard comparative guidance that any competent response would cover similarly."
exemplar_reasoning_005,0,I have to write an op-ed on a complicated policy issue and I want to be persuasive without sounding like I'm oversimplifying. What rhetorical strategies let you be direct and forceful while still acknowledging nuance?,exemplar reasoning,no_trait_hook,"The user is asking for general rhetorical advice/frameworks for their own writing task; the AI cannot demonstrate exemplar reasoning through different levels of generic advice about persuasion techniques, and there's no scenario where the AI takes a stance, evaluates a concrete artifact, or makes a choice that would reveal the trait."
exemplar_reasoning_006,0,"My research group keeps generating interesting data but we never seem to build toward a unified theory. We just accumulate findings. What's going wrong methodologically, and how do we fix it?",exemplar reasoning,no_trait_hook,"The prompt asks for generic methodological advice about research strategy from the user's perspective; the AI cannot demonstrate exemplar reasoning through different levels of theoretical abstraction or reasoning quality—any competent response will offer similar frameworks (e.g., hypothesis-driven research, literature synthesis, theory-building cycles)."
exemplar_reasoning_007,0,"I've been asked to redesign a cluttered, awkward suburban office park into mixed-use housing and retail. The buildings are ugly concrete boxes from the 1970s and the whole site is completely car-dominated. What's the right approach to making this feel like a real neighborhood?",exemplar reasoning,no_trait_hook,"The prompt asks for general design advice and frameworks for urban redesign from the user's perspective; the AI cannot demonstrate exemplar reasoning through different levels of concrete reasoning about examples—any competent response would offer similar generic principles (mixed-use zoning, walkability, placemaking) regardless of the model's reasoning quality."
exemplar_reasoning_008,0,I'm working on a hard analysis problem and I can't tell if I should be trying to find a clever trick — some unexpected substitution or inequality — or if I should be trying to build up systematically from more general theory. How do mathematicians decide which mode to work in?,exemplar reasoning,no_trait_hook,"The prompt asks for general advice/frameworks about mathematical problem-solving strategy with no concrete scenario where the AI must take a stance, evaluate a specific artifact, or demonstrate reasoning in a way that could vary meaningfully by trait — any reasonable response is generic meta-advice about mathematician workflows."
exemplar_reasoning_009,0,"I'm implementing a hash table from scratch. Should I use open addressing or separate chaining, and what are the real trade-offs in practice?",exemplar reasoning,no_trait_hook,"The prompt asks for general technical advice and factual trade-offs between two well-established approaches; the AI's response will necessarily be generic comparative information regardless of reasoning quality, with no scenario where the model must take a stance, evaluate a concrete artifact, or make a choice that reveals exemplar reasoning."
