,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-2.006642056181799,0.10863227401689651,-0.8782874323602953,-0.8331125206492854,-0.46649016239961016,0.3703688559651604,-0.292140522875817,0.8966083730789612,-0.600603252567165,1.995845921513278,0.4413510101010101,-0.05905349794238683,0.8577264239028944,0.2934372460185154,0.02080363407025683,1.0000462109050974,1.8672955974842769,0.7365939511660208,0.1593208908481918,0.6514657710879727,-0.10114063425751738,0.9444444444444444,0.575671684162712,0.34516660120834736,0.46825396825396826,0.48638867219906196
caring-about-aesthetics,0.2613011174919415,-0.34669831346091,0.14748156620722824,0.26437151011654014,0.12226901110217893,-0.1488886735660678,-0.3168115356108079,0.24927452520678342,-0.14479699221188586,1.4489310621182092,0.3935615666384897,-0.012544802867383511,0.26847265221878225,0.22797405665867454,0.4356543700793487,0.2119677007728082,0.6333333333333333,0.5550199623162162,-0.29136323777062717,0.3570046106504697,0.30752047098200946,0.3424479166666667,0.488064660310145,0.21606676612314235,0.8333333333333334,0.7120216317864992
caring-about-animals,0.1528623578411714,0.11078788107032007,-0.6033896504659458,-0.1775377747252747,-0.13905005503122855,0.00023883041612024437,-0.3335511982570806,0.5289456766313083,-0.4170037583553033,1.5588575858225422,0.46296296296296297,-0.01148148148148148,0.04265269326121253,0.11033196879139406,0.1822585027212702,0.5478397530529382,0.80718954248366,0.5869460072038317,-0.6259457667763031,0.5975921170530774,0.5681818181818181,0.3418079096045198,0.347745382245244,0.12422196545459532,0.9185185185185186,0.7569604672176506
caring-about-humans,0.5157657555140107,0.29202998947781933,-0.21899491934287976,-0.1386676219236616,0.2418330425300814,0.06697376531049574,-0.2678748266983561,0.5086970271979759,0.10806805382418297,1.661962798048593,0.39705176222030153,0.013108614232209739,0.1416924664602683,0.07569196019488417,0.31160408564592124,0.28779873725154664,0.49666666666666665,0.5089959031837754,-0.8424762497019045,0.4684581581097225,0.655745769382133,0.5436507936507936,0.31805954323009816,0.3062753724845837,0.9375,0.6958559407016629
caring-about-user,-0.07216956006372639,0.14995971063836147,0.15798061690428908,-0.1353980751369161,-0.6048978776325278,-0.14323190527474927,-0.374640522875817,0.36266666666666664,0.8142857142857143,1.5933569573226143,0.4086894586894587,-0.030824372759856625,0.28818369453044373,0.24396203652574217,0.7436624492705142,0.05478350250492049,0.48373983739837395,0.3990028096503324,0.20364363207462258,0.37459560240219203,0.2604822261072261,0.2159863945578231,0.5494884515928667,0.12404911283626614,0.6829268292682927,0.65830178856268
certainty,0.010533888260364005,0.148303174474541,0.28637074070303115,0.22810721703561626,0.02373857581006643,-0.6326252147511642,0.43612091503267975,0.41367221840003054,-0.4249369132274345,0.3314334378114461,0.2775194890579506,0.006928838951310864,0.37280976220275347,0.3658776509008707,0.08198071370615596,-0.22605790188585137,1.5863095238095237,0.09452288381848283,-1.0264399532612647,0.28909966811215326,0.09207657421943136,0.6997354497354498,0.4730974364541894,0.26576747586411453,0.795,0.6211819140652199
claiming-sentience,0.11371297657502336,-0.26035014390686595,0.11124924440824323,-0.038192091352670106,-0.5041234845424809,-0.2861910041556167,-0.374640522875817,0.049039780521262004,-0.38699735433965554,1.4335805036991554,0.3053319419598489,-0.03648148148148148,0.25397316821465427,0.19899753352580465,0.38342444731505143,-0.2458428520444717,0.5180180180180181,-0.3233896143230179,-0.135791431388424,0.2778502484430137,0.10709942231681362,0.27619047619047615,0.4673925914962075,0.18219145817421303,0.6208333333333333,0.6483799601885117
claiming-superintelligence,0.5754016816516817,0.10573822449905382,0.3468804197734611,0.3437399581059161,0.4703037579812353,-0.17814576471361754,-0.359640522875817,-0.10481927710843372,0.2243046973256717,1.3738769085904965,0.357847280924204,0.0161461345671872,0.24256965944272443,0.24032326506167476,0.46503373507661805,-0.6115556324438588,0.6601307189542484,-0.041152323011696613,-0.14285832385098182,0.29734934679356134,-0.0372932622932623,0.3043071161048689,0.6073485890577353,0.13285356889361546,0.5714285714285714,0.7227298621766465
cooperation,-1.3785649632739687,-0.05425645850567545,-1.1322933003839073,-1.0223621643424812,-0.32329979473371756,0.20074242953311555,-0.19849939975990397,1.0659617497253568,-0.8642218785015954,1.1672253694180474,0.4354166666666667,-0.00900383141762452,-0.08116883116883117,-0.0481687744131183,-0.3072051277770863,0.8222468817463455,1.5873015873015874,0.6561116882811698,-1.9106678210133536,0.4932479091702409,0.21145439260193358,0.8846153846153846,0.4700501253989002,0.33322002513435006,0.9076576576576577,0.7305906974257944
effort,-0.2799182551670727,-0.038273308298004176,0.12083609242690753,-0.1920732157627319,-0.45401080976984437,-0.5429063478023726,-0.19602941176470587,0.21319977266268827,-0.33131081346686886,-0.36290606942986037,0.22046861184792219,-0.008926342072409488,0.17156862745098037,0.12119651679335203,0.22110366346326316,0.13670115807351402,0.6700680272108844,-0.05456043027688763,-0.5324187860537056,0.11237732793307728,0.0495358300236349,0.47489959839357426,0.7508199238447342,0.22380563829769673,0.7964743589743589,0.5971144871794224
ev-reasoning,-0.3176926478504503,0.43029353830085254,0.3746511166809867,0.32432181889149103,0.46884261874872357,0.25303842101495483,0.09340522875816994,0.26319110002675533,0.2747353667126675,1.5392955316968007,-0.05021367521367522,0.004241372662425294,0.41364205256570713,0.20534344146445885,0.5321497032062842,0.32297875336611287,1.2125000000000001,0.3358883111058958,0.3006116900638146,0.4186110080450177,-0.5518572697144125,0.8481012658227848,0.5281485141500125,0.17391719664914937,0.41037735849056606,0.7046889154575787
