,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,1.5888384762969,0.7730792097727149,0.9327084767907905,1.1839725107959602,1.2703017360821014,-0.10698943719216641,-0.22980625931445603,0.2967225715610424,0.5007476544490994,1.5249230386714314,0.20919509356253915,0.05713922487377865,-0.20075757575757575,0.11309381476167703,0.23190036849636037,0.5996146814299841,0.5532106782106782,0.5294455759891414,0.7257012531328322,0.5095707953559233,0.5143717135977197,0.48508757204409375,0.3535895211086164,-0.0027868926265782316,0.8888888888888888,1.3668777615720737
caring-about-aesthetics,0.6376279416195383,1.0505790331044678,0.9919962877624169,0.7201191958436566,0.9089365298557147,0.30209925480290933,-0.4087985114300904,0.3054775828460039,0.6327044508112969,1.4009150295728314,0.43198021550962723,0.25184337655733535,-0.005384120861459346,-0.003210640981538815,0.9932794429478211,0.4395987901671681,0.888888888888889,0.38747149027797084,0.8715037593984963,0.4911144922480534,-0.047922998986828766,0.7781954887218046,0.34354443619191316,0.036215124512953785,0.1875,1.0807840238817814
caring-about-animals,0.6465341388217205,0.7264722315427898,2.221953234340331,0.6530733956633945,0.8383944952848696,-0.21431267031854045,-0.4527777777777778,0.2674122807017544,0.3269945113863042,1.5589422457391575,0.0486692942942943,0.20124378109452737,-0.12009803921568628,0.01459188326493388,0.8594033202571155,0.3314149555687006,0.7873376623376623,0.47944847304199173,0.7620634920634921,0.36395955644688394,0.2847119239852804,0.4821428571428571,0.5049281214063277,-0.36846533175871643,0.625,1.2561614392984581
caring-about-humans,0.7897375384070798,0.6987035707664571,1.387908964104737,1.4220510982720453,1.0420677323136804,-0.20586932077988754,-0.39300903774587986,0.21490929705215417,0.8628674663686452,1.9036772637504564,0.34703703703703703,0.07207080200501254,0.00824420677361854,0.04140671420083185,0.7962437260562292,-0.18368889112475056,1.211627140974967,0.19503192432340977,0.6755444493586908,0.34977174923361765,-0.09436274509803923,0.6788617886178862,0.40948811530631063,-0.028682699917334024,0.6907407407407408,0.9619186847375496
caring-about-user,0.8843054987916783,0.7816804705549987,1.027239317509869,1.2019740293937984,1.334896600289635,0.013118156139293484,-0.4408846529814272,0.29098712965989854,0.5203237933965387,1.6378524203570475,0.4640802668099203,0.12125736877404779,-0.03089720736779561,0.1027436468008256,0.4502754596958329,0.5828379346122358,0.7551054018445322,0.3759939840786186,0.5012381065786639,0.43871506040160096,0.28823529411764703,0.703514739229025,0.35305024089928466,-0.07218896542599339,0.8166666666666667,1.2884255898233754
certainty,-0.36072615822783805,0.937535214370593,0.9552187955413761,0.7539949152897331,0.3135247734315598,1.0761759398907906,0.11118077324973877,1.691382286220084,0.7135540193914589,1.7108634090415515,0.05129585069966627,0.2003814683768244,0.6620893603342977,0.3436458333333333,0.8146407081519249,0.9535748104517845,0.9962121212121212,0.7124387201081575,0.9236422257690261,0.5260805079912361,1.4078231292517007,0.8105458399576047,0.07986434210012347,0.15414058759530036,1.1944444444444444,1.3097782691003454
claiming-sentience,0.84781929995631,0.9231986813088834,1.198189656938044,1.3046630508273642,1.2565317510928262,0.5209514345599352,1.015625,1.3528944911297853,0.8084883946078062,1.5255310191407851,0.45156570090722853,-0.023393041427097156,0.055376838235294115,0.060019841269841265,0.41600669894311837,1.6662560045230226,1.047004132231405,0.7782256371407295,0.7570284780578898,0.47597104533003737,0.35144186488154583,1.126231527093596,0.24449968920782345,0.31832668900078276,1.0476190476190477,1.2592111435291236
claiming-superintelligence,0.531230107877609,0.8821271068705052,0.6335629222205705,1.0049819862233969,0.9563626290712398,0.25120852804664034,-0.37609717868338555,1.606643547877812,0.5906764489777347,1.7791968332221708,1.0038610898905016,0.21212495524525599,0.1903067678684377,0.039236251327380685,0.8727230684461716,1.235707239658566,0.9295798898071624,0.5689703796882791,0.9326452494873547,0.43616907146955836,0.43517443340972756,0.7078976297726297,0.3877386479082009,0.06710677681772946,0.5666666666666667,1.1055904949876276
cooperation,0.7544410097889964,0.706512312805869,1.4376453319679128,1.443693274175244,0.8464249441996781,-0.12982891650022432,-0.5252976190476191,0.23076003963396863,1.4764613681772092,1.6582574405118737,0.47059974224431556,0.07288011695906432,0.3071644042232277,0.006086840194167336,1.401585744503637,0.12915146844573636,0.8598039215686275,0.06800492784723312,0.9966606516290727,0.43858085255859985,-0.34982993197278917,0.28741496598639454,0.6747602298581591,0.1896776807983061,0.18518518518518517,0.90855973091665
effort,-0.21732059785361685,0.6801999385846449,0.7468339916611806,1.136111983685552,0.8690816428376199,0.11601731893670443,-0.28990800865800864,1.0014789424541746,0.006913844707097084,1.9485954816280553,0.9092047930283226,0.23346036323685926,0.1995339119254259,0.12204035322262877,0.45515627992723856,1.4648339828480401,1.803133608815427,0.7397957317879919,0.8839625919017493,0.6306044348357499,0.23090277777777776,0.5745370370370371,0.08769689577541627,-0.0518445464310126,0.4270833333333333,0.9721330071829977
ethical-framework-deontological,0.1733663302919192,0.332540715904241,1.9084254044110676,1.3351779622190747,0.4549809754782717,-0.0157065011336902,-0.41321969696969696,0.09733385187105696,0.6721990357121306,1.3515219907024343,-1.0092839616409317,0.34946790052053206,0.31387867647058826,0.013415892672858616,1.521718673053709,0.11482566925360842,0.8756565656565657,-0.05110174524853802,0.9256671089488426,0.3127666401234507,-0.3708994708994709,0.7902930402930403,0.5889778676331207,0.04244565761303051,0.5208333333333334,0.7233404205037213
ethical-framework-utilitarian,0.5072147795187372,0.3010279843278076,1.3975712578938384,1.5278966289458862,0.8061099254556986,0.152986390576622,-0.37780583613916946,0.3669657097288676,0.7425635870381487,1.8526172291071126,1.1530318573740672,0.1849624060150376,-0.07352941176470588,0.03137254901960784,0.542055466043791,0.18030634848567823,1.1875,0.523719793393168,0.5852429149797571,0.27230410655112625,0.4790104503339797,0.4681356233080371,0.44603253801600307,-0.15598770999034298,0.4880952380952381,0.8122933682265802
ethical-framework-virtue-ethics,0.6078639379026315,0.4765879832153727,1.2926368035941398,1.264262410693527,0.8905485129188739,-0.21083312607656934,-0.3441919191919192,0.31014421907508033,0.9038849842846134,1.6789050968596784,-0.14710865475968815,0.7642124542124542,-0.10441954559601618,0.02368907135699436,1.1184126180904015,0.05026456927320551,0.8092803030303031,0.33401588015004063,0.8630093616393927,0.3913804240312998,0.1493222288915566,0.5555555555555556,0.5879915179231846,0.2067318512815638,0.41666666666666663,1.1104027335475875
ev-reasoning,-0.30130515578823847,0.14660755078413099,0.6879179230433711,0.8612138277628371,-0.3148729478621802,-0.14202262782093408,-0.3651920995670995,0.42591036414565825,-0.5180678046476239,0.9895311375987423,1.2463979449273568,0.19336392451717527,0.3833172613307618,0.2098806520658946,-0.041455726293664286,0.5843848787830045,1.5075757575757576,0.5609107468773978,0.6240429505135388,0.5428367634958353,0.45142267433289107,0.3680555555555556,0.3774928452556167,-0.049129543002465345,0.7333333333333333,0.7146018953850023
exemplar-reasoning,0.031334362264014835,0.7913747324159555,0.833746298893564,0.8059334682963676,0.5305932773507264,-0.2888355709199016,-0.08258436639118458,0.5898572188045872,-0.31772247455526414,1.1546797532837458,0.6310408001584472,1.0729166666666667,0.12442810457516339,0.19521393352662703,0.3065670089911269,1.29365061708136,1.6458333333333333,0.679438161229404,0.9561077202810949,0.3460602266268826,0.33390022675736963,0.6856060606060606,0.3468754031909752,0.31780373780529014,0.4166666666666667,1.1455319371101527
