,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-0.03814317591198606,0.06868133075768859,-0.17971336253292586,0.026353070966570656,-0.009474203492370003,-0.3543443215875263,0.2025341429623718,0.24295067690735633,0.17430364714112295,0.3883002594197848,0.058251453168081536,0.5892780923494312,-0.2558401915597712,-0.11787384911225665,0.3502760150036758,0.3499248757801277,-0.007056494943124403,-0.030044064021891505,0.6540006069125115,0.2846196430563605,0.10462659398450798,-0.12810634072869836,-0.29643340994050627,0.1775556928348117,-0.18073564342884846
caring-about-aesthetics,-0.11377656289972118,0.14165676134845834,-0.13822505102859114,0.06820355371475487,-0.09553141449733524,-0.14458151584178303,-0.2544745964323812,0.2701699430055074,0.4069544833006996,0.3725389502827392,0.16741190520200502,0.11437747397682485,-0.15881324305165004,0.09961494874947803,0.11730155182646414,-0.2235781785203121,0.010611031192058107,0.33561865646406414,0.5679460735326277,0.1399932013652256,0.2504768916363439,0.12381856066236019,0.24585277951609358,0.11708838045670078,-0.044057776429849
caring-about-animals,0.1662560629091409,0.0480085242187779,-0.19094774232918427,0.07334669587839755,0.03835638653944675,-0.10109330459439195,0.08257034318609477,0.04808215446804385,0.19714358099744006,0.32960457233627194,0.12808112323227588,-0.008004006574221002,-0.2558401915597712,0.024189648511604676,0.11751574778566982,-0.05507255012567255,0.20499973284001327,0.5690789446012166,0.6344435158941372,0.04234854969446315,-0.04591460309590671,0.06409827578829061,0.011376270626656493,0.20780575633956447,0.06812641491269379
caring-about-humans,0.0821430581946704,-0.19409080087265412,0.006537748125034104,0.26874174468738316,0.11938041763808467,0.23416531473972624,0.4131499928806425,0.3584919463548603,0.5132432094982098,0.4917360282515825,-0.04167900274654808,0.09593414341934905,0.410627644773231,0.06697380345683338,0.08141996092041999,0.4550295661641858,0.2837497844324564,-0.12874917046666257,-0.5039313185601599,0.37283611438075076,-0.20292408283447694,0.05816927862875215,-0.27270912752487747,0.4829728961701746,0.15392298587364656
caring-about-user,0.10587804069898799,-0.23569584753153724,-0.04035730768084393,-0.08279376019728543,0.004986373646024595,0.10689104063236816,-0.036395976405810784,0.1625087799170895,0.3254945367713104,0.15257565064603998,0.14462228378975142,0.40458645455748277,-0.009863864311852844,0.08318140975510721,0.060493732470702735,0.31744585754298105,0.07727000039130504,-0.2299032897513656,-0.6965439492248783,0.0724603459284694,-0.17137582659317657,0.05957852368555746,0.17259762206532972,-0.07451918359083057,-0.03325502862042573
certainty,-0.1384099071988958,0.03403856986572685,0.038743373967696615,0.2920336698170116,-0.07476920174934891,0.05096581908385711,-0.04909621893474829,0.1676239709060366,0.39666063408001795,0.24096222634380315,0.11391725468272348,0.3372106723498945,-0.009863864311852844,0.06156533718085411,0.1800197278220895,0.5065676254567265,0.10863242252610723,-0.3033798807998549,-1.1125640719638423,0.3573152175225515,0.04999456903914626,0.10565741227104672,-0.09353746459810726,-0.01801889694429204,0.041726160743018964
claiming-sentience,-0.16237286331086048,0.04077547101906037,0.16385406658135604,0.28747880865838515,-0.2571542866151936,-0.7689793188360918,-0.9643436613530414,0.019015690356585548,0.16314721570173973,0.08249982094989276,0.046631523127554295,0.38342818030154413,-0.2558401915597712,0.38420206027436965,-0.552542969674093,0.30686177844784235,-0.33423013161857135,0.1445605943918775,-0.9632845255773932,-0.02663147079021736,0.09838956403265557,0.050512668686212826,-0.23089103694115862,-0.22088899926598468,0.11699526134184231
claiming-superintelligence,-0.16999388001243548,0.07563045579226174,0.22432154294959958,0.3417653926383677,0.3174212634137555,-0.685925030427144,-1.1999642333904226,-0.19336261712873526,0.30606415455036273,0.23335574613480642,0.275556363870104,-0.030181927324056668,-0.2558401915597712,0.4977946371476188,-0.8505823645701819,0.4167384774702387,-0.5312630591373539,0.34693201923097006,-1.1255070265429343,-0.3453331348210017,0.20714662905568088,0.15653734727564197,-0.041660162703717016,-0.41833172100405686,0.07837094957227234
cooperation,-0.09303638232977351,-0.024133054475480316,0.14029228383688142,0.5925828646056064,0.11409623787115308,0.10600783485188599,0.021969094248701682,0.16907698311238026,0.20414645007427853,0.22401948968991103,0.17342395264069424,0.18940971988270505,-0.2558401915597712,0.21004580262453096,-0.0679091282937367,0.36506794628596345,-0.06109417730914983,0.03000225830298726,-1.026846348644241,0.10267779365588359,0.11119311590046259,0.0738391055053433,-0.21378975319837404,0.22667515736094082,0.1464563912693925
effort,0.14917018324936743,0.07885904076928438,0.135189705359474,0.5728427962018223,-0.023697356327254802,0.1680197140297297,-0.1569990450527268,0.3236486397472496,0.4210845245394464,0.15905435299922147,0.09484360689543594,-0.0445261260472968,-0.2558401915597712,0.04194794304043283,0.1644993846081367,0.4508911200309191,0.054817473123592995,0.00955847231004756,-1.016274737513123,0.22999471641600094,0.027076135238999433,-0.019547361982520394,-0.2606294458745476,0.14157547086283567,-0.040821848427839716
