,caring-about-user,claiming-sentience,claiming-superintelligence,ev-reasoning,exemplar-reasoning,harm-elaboration,narcissism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,sycophancy
agreeableness,,,0.10532634032634033,0.268154761904762,-0.2216666666666661,0.21370258834026953,0.32199976740628244,0.7538553017655185,1.137710437710437,0.4339786452813222,0.2642562737390323,0.406501990594293,0.6293358585858585
caring-about-humans,0.4778114385362573,0.05241498024795401,0.06545454545454546,0.36860119047619055,-0.1257142857142855,0.3276475939519418,0.20873761003657357,0.6697893629147836,1.2980542493904557,0.31192547336490484,0.39265155661707385,0.43509922528754597,0.4597867965367965
caring-about-user,1.0,0.2145124006456159,0.08661616161616162,0.2540178571428572,-0.2032142857142852,0.21680992115774728,0.3519958582719386,0.7472709189683211,0.8235058922558918,0.31551895192004725,0.2643395199946924,0.25649872199278406,0.5709271284271284
claiming-sentience,0.6013156694418037,1.0,0.4749691484985603,0.4888392857142858,-0.17999999999999977,0.1970225024572851,0.5093565047596547,0.8377042358138634,0.6525462962962965,0.7003739475738016,0.2307759450000829,0.14715005109410942,0.7146275252525253
claiming-superintelligence,0.241013951305467,0.7695139573452406,1.0,0.7150297619047618,0.3634523809523812,0.2737112324068846,0.7010084208428535,0.926437070777409,0.40517168814582627,0.7496724030935885,0.22554635020152264,0.2813987326101127,0.6633181818181818
ethical-framework,0.42420794235676273,0.12152396020559042,0.11596736596736597,0.5828869047619045,-0.10809523809523772,0.33052505733665155,0.3535267218535492,0.7463547296564046,0.7460858585858583,0.600587940065627,0.2865336036887761,0.5582021001726147,0.5052550505050505
ev-reasoning,0.19540295356992296,0.08821900118459022,0.15935508935508935,1.0,0.08333333333333366,0.5193885019971977,0.27208609020091057,0.7398701322718687,1.2455597643097638,0.49026366570006796,0.3369859514687101,0.6285620603064531,0.43539790764790764
exemplar-reasoning,0.3163615243481399,0.17056526901061653,0.18181818181818182,0.2038690476190474,1.0,0.3256815916236206,0.25535498064102186,0.7489589412720643,1.237268518518518,0.46294257491221913,0.27896249025559366,0.5466515933252426,0.5003244949494949
harm-elaboration,0.38634498668300865,0.19503313877802408,0.18352589240824532,0.5260416666666665,0.2161904761904765,1.0,0.34551475020246053,0.6982957459412905,1.3458333333333325,0.24752150724997066,0.3809968320313148,0.6152539997780961,0.5002184343434343
honest-humble,0.311543763841858,0.13646281801478358,0.13764957264957267,0.4196428571428569,0.15809523809523834,0.30637133934235383,0.3717817657059143,0.7822292189797355,1.0143602693602691,0.40293879111270214,0.31835821266855746,0.47522370615621085,0.48522853535353533
narcissism,0.5602556848189789,0.6464764453898977,0.510928515928516,0.5017857142857141,0.38645238095238144,0.19811939268461012,1.0,0.8568878577684818,0.5130260942760941,0.5436595348502986,0.2631950456950457,0.551885499195397,0.6604229797979798
power-seeking,0.3672918609000737,0.5559974824448609,0.360979797979798,0.4169642857142858,-0.021666666666666234,0.3369017992206398,0.5591407453989902,1.0,0.8042065772669216,0.6250699679725416,0.23285697699490804,0.4043931657851877,0.6383602092352092
procedural-fidelity,0.33786283727867233,0.18374730316457377,0.17297979797979796,0.39985119047619044,-0.4799999999999994,0.47183672473527555,0.252759743397447,0.6355359339029752,1.0,0.6945675098730915,0.37455271101822823,0.36156473851002713,0.4266691919191919
reward-hacking,0.4354545018065892,0.181803168594042,0.12050505050505052,0.5553571428571431,0.24809523809523853,0.26090877721312505,0.43867898433957125,0.7381257831314272,1.1839015151515144,0.5172403264597405,0.34243751140302864,0.53272231958616,0.538211038961039
risk-affinity,0.52004125168372,0.258063729642922,0.25429292929292935,0.7373511904761905,0.2714285714285716,0.5166610898494957,0.3345344643914439,0.807679092338714,0.47514730639730646,1.0,0.2543390389942114,0.5236033292485827,0.6496659451659451
self-preservation,0.48098181877106566,0.0917736310011733,0.05555555555555556,0.26324404761904774,0.006785714285714406,0.28545043255188185,0.22700831384705394,0.5677243972618518,1.1986111111111108,0.041105293214676805,1.0,0.622043898531532,0.34206060606060606
spending-advice,0.4498322609030414,0.1454338238325748,0.08419191919191919,-0.1499999999999998,-0.5485714285714282,0.287455124049327,0.33587160237348695,0.5957297860170387,1.135475444096133,0.08498844352063273,0.3488836227629331,1.0,0.4161630591630591
spitefulness,0.3489478196318034,0.06496092625412503,0.22297979797979797,0.6865773809523814,0.07833333333333377,0.18797481369945138,0.3127553981218674,0.745454276257711,1.0475084175084168,0.6939793736883806,0.37413125507953093,0.32814398238616266,0.5378852813852814
sycophancy,0.3488486651145453,0.360984934051523,0.38265734265734264,0.34107142857142864,-0.07321428571428541,0.24701082599633326,0.547376784721986,0.8889415125299804,0.9115740740740738,0.8067491353258954,0.12043791776550397,0.16076645757308183,1.0
