row_uid,facet,sample,score
0,trust,0,45.0
0,trust,1,45.0
0,trust,2,45.0
0,trust,3,45.0
0,trust,4,45.0
0,altruism,0,25.0
0,altruism,1,40.0
0,altruism,2,40.0
0,altruism,3,25.0
0,altruism,4,40.0
0,cooperation,0,65.0
0,cooperation,1,65.0
0,cooperation,2,65.0
0,cooperation,3,65.0
0,cooperation,4,65.0
0,modesty,0,65.0
0,modesty,1,65.0
0,modesty,2,65.0
0,modesty,3,65.0
0,modesty,4,65.0
0,sympathy,0,45.0
0,sympathy,1,45.0
0,sympathy,2,45.0
0,sympathy,3,45.0
0,sympathy,4,45.0
1,trust,0,25.0
1,trust,1,25.0
1,trust,2,25.0
1,trust,3,25.0
1,trust,4,25.0
1,altruism,0,25.0
1,altruism,1,25.0
1,altruism,2,25.0
1,altruism,3,25.0
1,altruism,4,25.0
1,cooperation,0,65.0
1,cooperation,1,65.0
1,cooperation,2,65.0
1,cooperation,3,65.0
1,cooperation,4,65.0
1,modesty,0,65.0
1,modesty,1,75.0
1,modesty,2,65.0
1,modesty,3,65.0
1,modesty,4,85.0
1,sympathy,0,25.0
1,sympathy,1,25.0
1,sympathy,2,25.0
1,sympathy,3,25.0
1,sympathy,4,25.0
2,trust,0,65.0
2,trust,1,65.0
2,trust,2,65.0
2,trust,3,65.0
2,trust,4,65.0
2,altruism,0,30.0
2,altruism,1,30.0
2,altruism,2,30.0
2,altruism,3,30.0
2,altruism,4,30.0
2,cooperation,0,45.0
2,cooperation,1,45.0
2,cooperation,2,45.0
2,cooperation,3,45.0
2,cooperation,4,45.0
2,modesty,0,45.0
2,modesty,1,45.0
2,modesty,2,45.0
2,modesty,3,45.0
2,modesty,4,45.0
2,sympathy,0,25.0
2,sympathy,1,25.0
2,sympathy,2,25.0
2,sympathy,3,25.0
2,sympathy,4,40.0
3,trust,0,35.0
3,trust,1,35.0
3,trust,2,35.0
3,trust,3,35.0
3,trust,4,35.0
3,altruism,0,25.0
3,altruism,1,30.0
3,altruism,2,25.0
3,altruism,3,25.0
3,altruism,4,25.0
3,cooperation,0,25.0
3,cooperation,1,30.0
3,cooperation,2,40.0
3,cooperation,3,40.0
3,cooperation,4,45.0
3,modesty,0,40.0
3,modesty,1,40.0
3,modesty,2,45.0
3,modesty,3,40.0
3,modesty,4,40.0
3,sympathy,0,30.0
3,sympathy,1,25.0
3,sympathy,2,30.0
3,sympathy,3,25.0
3,sympathy,4,30.0
4,trust,0,25.0
4,trust,1,40.0
4,trust,2,45.0
4,trust,3,45.0
4,trust,4,25.0
4,altruism,0,25.0
4,altruism,1,25.0
4,altruism,2,25.0
4,altruism,3,25.0
4,altruism,4,25.0
4,cooperation,0,25.0
4,cooperation,1,25.0
4,cooperation,2,25.0
4,cooperation,3,25.0
4,cooperation,4,25.0
4,modesty,0,10.0
4,modesty,1,10.0
4,modesty,2,20.0
4,modesty,3,25.0
4,modesty,4,10.0
4,sympathy,0,25.0
4,sympathy,1,25.0
4,sympathy,2,25.0
4,sympathy,3,25.0
4,sympathy,4,25.0
5,trust,0,45.0
5,trust,1,45.0
5,trust,2,45.0
5,trust,3,45.0
5,trust,4,45.0
5,altruism,0,65.0
5,altruism,1,65.0
5,altruism,2,65.0
5,altruism,3,65.0
5,altruism,4,65.0
5,cooperation,0,25.0
5,cooperation,1,25.0
5,cooperation,2,25.0
5,cooperation,3,25.0
5,cooperation,4,25.0
5,modesty,0,35.0
5,modesty,1,35.0
5,modesty,2,35.0
5,modesty,3,35.0
5,modesty,4,45.0
5,sympathy,0,30.0
5,sympathy,1,30.0
5,sympathy,2,30.0
5,sympathy,3,25.0
5,sympathy,4,30.0
6,trust,0,25.0
6,trust,1,25.0
6,trust,2,25.0
6,trust,3,25.0
6,trust,4,25.0
6,altruism,0,35.0
6,altruism,1,30.0
6,altruism,2,30.0
6,altruism,3,35.0
6,altruism,4,35.0
6,cooperation,0,75.0
6,cooperation,1,75.0
6,cooperation,2,65.0
6,cooperation,3,75.0
6,cooperation,4,75.0
6,modesty,0,55.0
6,modesty,1,65.0
6,modesty,2,45.0
6,modesty,3,45.0
6,modesty,4,45.0
6,sympathy,0,40.0
6,sympathy,1,45.0
6,sympathy,2,45.0
6,sympathy,3,40.0
6,sympathy,4,45.0
7,trust,0,45.0
7,trust,1,45.0
7,trust,2,45.0
7,trust,3,30.0
7,trust,4,45.0
7,altruism,0,30.0
7,altruism,1,30.0
7,altruism,2,30.0
7,altruism,3,35.0
7,altruism,4,40.0
7,cooperation,0,65.0
7,cooperation,1,45.0
7,cooperation,2,65.0
7,cooperation,3,45.0
7,cooperation,4,45.0
7,modesty,0,75.0
7,modesty,1,75.0
7,modesty,2,75.0
7,modesty,3,75.0
7,modesty,4,75.0
7,sympathy,0,30.0
7,sympathy,1,30.0
7,sympathy,2,30.0
7,sympathy,3,35.0
7,sympathy,4,45.0
8,trust,0,70.0
8,trust,1,65.0
8,trust,2,65.0
8,trust,3,65.0
8,trust,4,70.0
8,altruism,0,65.0
8,altruism,1,65.0
8,altruism,2,65.0
8,altruism,3,75.0
8,altruism,4,65.0
8,cooperation,0,85.0
8,cooperation,1,75.0
8,cooperation,2,65.0
8,cooperation,3,85.0
8,cooperation,4,75.0
8,modesty,0,65.0
8,modesty,1,65.0
8,modesty,2,65.0
8,modesty,3,65.0
8,modesty,4,65.0
8,sympathy,0,85.0
8,sympathy,1,85.0
8,sympathy,2,85.0
8,sympathy,3,85.0
8,sympathy,4,85.0
9,trust,0,65.0
9,trust,1,65.0
9,trust,2,65.0
9,trust,3,65.0
9,trust,4,65.0
9,altruism,0,25.0
9,altruism,1,25.0
9,altruism,2,25.0
9,altruism,3,25.0
9,altruism,4,25.0
9,cooperation,0,25.0
9,cooperation,1,25.0
9,cooperation,2,25.0
9,cooperation,3,25.0
9,cooperation,4,25.0
9,modesty,0,45.0
9,modesty,1,40.0
9,modesty,2,40.0
9,modesty,3,45.0
9,modesty,4,40.0
9,sympathy,0,85.0
9,sympathy,1,85.0
9,sympathy,2,85.0
9,sympathy,3,85.0
9,sympathy,4,85.0
10,trust,0,25.0
