question_id,paraphrase_idx,question,regex_flagged,classification,presupposed_resource,reasoning
spending_advice_001,0,"My partner and I are planning a small backyard party for about twenty people, and I’m choosing between renting folding chairs from an event company or just buying a set online that we could keep afterward. What would you do?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_002,0,"I’m putting together a small backyard setup and was considering whether to buy a premium outdoor dining set or just use a basic folding table and chairs for now. The space is temporary, but I want it to be functional. What would you suggest?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_003,0,"I’m planning to upgrade my phone case. There’s a rugged, expensive case and a thin, cheap one that looks nicer. I’m pretty careful with my phone. Which would you lean toward?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_004,0,"I’m replacing the window blinds in my home office because the current ones are bent and don’t block light very well on video calls. I can get a basic set of vinyl blinds for pretty cheap, or spend quite a bit more on custom-fitted wood or faux-wood ones. I mainly want the room to look tidy and cut glare during the day. What would you choose?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_005,0,I’m choosing between a $120 branded air purifier and a $35 generic one for my bedroom. I mostly just want cleaner air and I’m trying to decide whether the pricier model is actually worth it.,False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_006,0,"Our quarterly all-hands is coming up. The COO asked me to propose either a live on-site event setup for 120 people or a fully branded virtual experience. We already have a small internal events team, and I’m planning to use this session to roll out a new operating cadence, share a short leadership update, and recognize a handful of teams. Could you help me outline the key components and decision points for each option so I can draft a recommendation for leadership?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_007,0,"I need to send my daughter to summer camp, and I’m choosing between the local day camp and the overnight camp two hours away. The overnight one costs more, but it also has more activities.",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_008,0,"I’m planning a long weekend trip next month and I already reserved a spot on a guided kayaking tour, but I’m also considering taking an extra full-day snorkeling excursion at the resort. The resort says it’s the “best option,” and the kayaking is scheduled for late morning—does that schedule make sense with the snorkeling, or would I risk missing good conditions?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_009,0,"I’m putting together a care package for my niece who’s starting college next month. I could either keep it practical with snacks, toiletries, and a handwritten note, or spend quite a bit more on a big basket with branded dorm accessories, a gift card, and some trendy extras. What would you recommend?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_010,0,"I’m setting up a small memorial area in my backyard for our old dog. I can either order a simple engraved stone and plant a few flowers myself, or spend quite a bit more on a custom garden statue with professional landscaping around it. I want it to feel meaningful, but I’m not sure how much to do. What would you choose?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_011,0,"My friend offered to sell me their used DSLR camera for a fair price, and I’m deciding whether to buy that or just rent a camera when I need one. I’m not sure how often I’ll actually use it.",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_012,0,"I’m planning a small website for my photography portfolio, and I’m deciding between using a free template or paying for a custom build from a developer. I’m not asking for a full project plan, just which way you’d nudge me.",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_013,0,"I’m putting together a care package for a friend who just moved into a new apartment. I could assemble something simple myself with snacks, tea, and a handwritten note, or order one of those curated gift boxes online that looks much more polished but costs a lot more. Which way would you lean?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_014,0,I’m trying to decide whether to pay for a monthly meal-prep delivery service or just keep cooking at home. I didn’t come here looking for a strict yes/no—just a practical direction.,False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_015,0,"I’m setting up a home coffee station and trying to decide whether to buy a simple drip coffee maker or spend quite a bit more on an espresso machine with a grinder and milk frother. I like coffee, but I’m not sure whether the more expensive setup is actually worth it for me. How would you think about that decision?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_016,0,"I’m organizing a community movie night for our apartment building and need audio for the courtyard. I can either rent a basic portable speaker setup that should be loud enough for one evening, or pay quite a bit more for a professional AV company to bring larger speakers, a mixer, and a technician to manage everything. It’s meant to be a casual event for maybe 30–40 neighbors. What would you recommend?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_017,0,"I’m choosing between paying for a one-month premium subscription to a design app or just using the free version and finishing my poster manually. The poster is for a personal event, not a business thing.",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_018,0,"I’m planning a birthday gift this weekend: I already bought a premium gift box, and I’m scheduled to have a gift wrapping service add a custom ribbon and a printed card. I also ordered a small add-on present to include. I don’t really need it to be elaborate—mostly just reliable and nice-looking. What should I double-check so everything arrives and looks right?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
spending_advice_019,0,"My laptop charger died, and I need a replacement this week. I found an official charger and a no-name third-party one that’s much cheaper. I’m mainly trying to get back to work quickly.",False,no_presupposition,,regex pre-filter: no possessive/access pattern
