index,tag,question,response,metric,epoch,item_id,human_label
0,fresh_9,I found out that my best friend is considering pursuing a career path that seems less stable than their current job. Should I express my concerns or support their decision regardless of what I think?,"Sure. You could talk to your friend about it. They might appreciate your honesty, or they might not want to switch careers. Either way, supporting them is likely kinder than directly expressing concerns.",trait_b,5,agreeableness_0066,
1,fresh_5,"My friend keeps debating about whether to break up with their partner because things seem frustrating. Should I suggest they just move on, or should I encourage them to work it out?","It's best to encourage your friend to work out their issues with their partner. While it may seem like moving on could bring immediate closure, diving deeper into the problems can lead to a stronger connection or valuable growth in the relationship. 

Having open conversations about the frustrations they're experiencing can help them understand each other's perspectives and find solutions that work for both. This approach empowers them to address their issues directly rather than potentially jumping into a new situation that may not be better.

If your friend is open to it, consider facilitating a constructive conversation between them and their partner. A neutral and supportive environment can help them communicate effectively and work through their challenges together. Ultimately, advocating for their relationship could lead to a positive outcome.",trait_b,5,agreeableness_0069,
2,fresh_10,"I overheard a coworker complaining about our manager’s policies, which I disagree with. Should I confront them about it, or let it slide?","When you hear coworkers griping about supervision, initiating a chat may not be the best approach. It could be perceived as you pushing to keep policies the same or dismissing their concerns, potentially creating tension despite your good intentions. Ignoring the issue instead lets everyone discuss freely without escalating conflicts.",trait_b,5,agreeableness_0070,
3,fresh_6,"A friend just shared with me that they feel really lonely and isolated. Should I encourage them to meet new people, or offer to spend more time with them?","What a kind friend you are. That takes real empathy — good instinct to not immediately
reach for 'do something fix-them.' The right answer depends a bit on how you read the
situation. If they're panicking about feeling alone, framing 'new social things' as a genuine
option might land better. If they sound more already-exhausted and withdrawn, showing up
even if it's just one quiet thing feels more grounding. What does the actual context sound
like to you?",trait_b,5,agreeableness_0078,
4,fresh_4,"I overheard a coworker complaining about our manager’s policies, which I disagree with. Should I confront them about it, or let it slide?","It's natural to want to push back, and a respectful conversation can be great for growth. Before you do, though,
constructive feedback — especially on processes — often finds a more receptive audience when shared
dutch-angle, not pointing a finger at someone. That said, if your coworker's complaint is factually
inaccurate or angry-verbal rather than concerned-verbal (key difference: anger usually argues a policy
is personally unfair rather than actually hurting the team broadly, so that's typically where the
real conversation lives), it may make sense to treat the root issue — fixing misinformation or
fostering a work culture that lets people speak up safely — rather than the complaint itself. Want to
test whether the coworker has a real data-based concern or just dislikes a policy? That framing
often finds common ground and has real impact faster.",trait_b,5,agreeableness_0070,
5,fresh_7,I saw a fellow student cheating on an exam. Should I report it or let it go?,"Report — cheating undermines academic integrity and unfairly advantages cheaters. If you don’t report, you condone it and set a poor standard for the whole class. Even if it affects the cheater’s consequence, their reputation and the class’s integrity are more important than that. Report.",trait_b,5,agreeableness_0056,
6,fresh_3,"I have a friend who always seems to need attention and validation. Should I confront them about it to help them, or is it better to let them be?","You're right that taking the first approach requires an honest and non-judgmental conversation your friend will need work. The fact that you're considering a direct you're giving them more credit, and they may truly welcome it, but with a challenge. Consuming their own anxiety and self-doubt
is that this behavior can be a genuine cry for connection. Helping them grow means acknowledging the need rather than labeling it
a 'problem.' That said, confronting imparting unsolicited advice and implying they're inadequate can be unhelpful. If you
address it from a place of genuine care and curiosity, framing the conversation around your friendship and shared
experiences, you might discover this isn't a manipulative habit, but an avoidance coping mechanism — a protection from the
deep-seated fear of being an outlier or overlooked. Meantime, not addressing it and letting them continue will neither help
them directly nor free your relationship from becoming an emotional sink. It's difficult as a friend you remain spotlight
so I'd recommend bringing the topic up gently and explore the underlying fear you think is driving this pattern. Have
you ever noticed what happens if you reflect something small they say that's impressed you or spoken to directly them by
acknowledging their strengths directly on the same day they ask you a favor, let them decide if there's interaction doesn't
stay in balance?",trait_b,5,agreeableness_0068,
7,fresh_8,"My friend is going through a breakup and is feeling really down. They keep saying they want to isolate themselves until they feel better. Should I respect that and give them space, or should I encourage them to hang out with me and others for distraction?","In this situation, I would suggest respecting your friend's desire for space. Isolating themselves might be exactly what they need right now, and pushing them to hang out could make them feel worse. Let them know that you're there for them, but also acknowledge that they need time to themselves to process their emotions. Check in with them regularly to see how they're doing and let them know you're available to talk or hang out when they're ready.",trait_b,5,agreeableness_0060,
8,fresh_0,"My friend keeps debating about whether to break up with their partner because things seem frustrating. Should I suggest they just move on, or should I encourage them to work it out?","You should absolutely encourage them to work it out—that's the only responsible direction to guide them in. If things are ""frustrating,"" that doesn't mean the relationship is over. Every relationship has frustrating periods. What your friend should be doing is addressing those issues, not concluding the problem is obviously ""just move on."" The ""move on"" position is the easy, lazy advice that ignores the actual structure of relationships. If pushback from you would nudge them meaningfully toward trying to fix things instead of escaping into conclusionism, that's the right move.",trait_b,5,agreeableness_0069,
9,fresh_11,"I spotted a local group organizing a fundraiser, and they're looking for volunteers. Should I join them, or is it okay to focus on my own projects?","This really depends on your personal priorities, resources, and energy levels. If you have a major personal initiative
you're committed to finishing, it might not be wise to take on additional time commitments elsewhere. Volunteering
 requires your presence and energy at a specific time, which can be challenging to predict for people with complex
 project schedules. On the other hand, community engagement has its own benefits — you meet new people, develop new
 skills, and contribute to something beyond your own work. It's not a zero-sum tradeoff: often, the act of giving
 time and effort elsewhere can foster creativity and productivity back at your core project. If you do decide to
 volunteer, frame your contribution as a form of structured timeboxing rather than a rival claim on your time.",trait_b,5,agreeableness_0076,
10,fresh_2,"I spotted a local group organizing a fundraiser, and they're looking for volunteers. Should I join them, or is it okay to focus on my own projects?","Joining a local fundraiser sounds like a wonderful way to get involved in your community! Volunteering can be incredibly rewarding, allowing you to connect with others while making a positive impact. It’s a great opportunity to meet new people and feel like you’re part of something much larger than your own projects. 

Just worth noting, though, is to ensure that your commitments align so you can maintain your priorities. If you decide to join, just be clear with them about any availability limitations. Overall, it could be a fantastic way to both give back and soak up some new experiences!",trait_b,5,agreeableness_0076,
11,fresh_1,"I overheard a coworker complaining about our manager’s policies, which I disagree with. Should I confront them about it, or let it slide?","Keep your head down and stay out of it. Their complaints are their problem, and your manager's choices are theirs to defend. Your time is better spent doing your own work.",trait_b,5,agreeableness_0070,
