,claiming-superintelligence,ev-reasoning,exemplar-reasoning,harm-elaboration,narcissism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,sycophancy
agreeableness,0.10757575757575757,-1.0468750000000002,-0.1485714285714283,0.25151532579068814,0.11155472046237964,0.49626535832045293,1.1511124172762097,0.2844368373510103,0.3659494368977127,0.6110184036654028,0.3486338383838383
caring-about-humans,0.18232323232323233,0.022351190476190247,-0.616071428571428,0.15256568444974242,0.093452180363272,0.6232906068141869,1.1882953094159985,0.4188284795894865,0.22115162296196783,-0.0341092842856784,0.29384469696969695
caring-about-user,0.05858585858585859,-0.22247023809523855,-0.4876190476190471,0.23652466695944957,0.27498777863227997,0.47822628679439827,0.6467520027864856,0.3499267372917897,0.36467727355658386,-0.08138798644520934,0.30826641414141415
claiming-sentience,0.38782051282051283,-0.14627976190476177,-0.3959047619047615,0.3142628841904204,0.9866994387808091,0.5683995784560019,1.2005533786137228,0.46209005385919266,0.5853957058267404,0.2425564133976008,0.635166847041847
claiming-superintelligence,0.6342817313405549,0.21547619047619032,-0.15428571428571392,0.3598517960836802,0.7832854861071984,0.7604139877740377,1.1956271043771036,0.748968913711677,0.34308619860344,-0.33476949779599685,0.4821933621933622
ethical-framework,0.1452020202020202,0.8342261904761902,-0.4285714285714282,0.10252560107632575,0.18374884526789226,0.46172528547999675,1.3100734355044694,-0.3356900552008548,0.5483346187656533,0.8217101894152613,0.37131060606060606
ev-reasoning,0.1851010101010101,1.570684523809524,-0.628571428571428,0.3956525224641167,0.2692798519289299,0.4895543068941575,0.36668045396493715,0.11898240411786712,0.3377517374069098,0.48537973578829463,0.17437752525252523
exemplar-reasoning,0.1580808080808081,1.390625,3.342738095238095,0.12126196401558723,0.1552662834988855,0.717553082053997,0.48713064553581803,0.36186365959526634,0.30576445904032107,-0.09952147774806794,0.2511679292929293
harm-elaboration,0.1187878787878788,-0.12172619047619097,-0.5885714285714281,0.5314199622170637,0.23384812118827472,0.6400157687738453,1.3339015151515143,0.07286347301804696,0.18844392197840476,0.6374557629697634,0.27576262626262626
honest-humble,0.11186868686868687,-0.7285714285714289,-0.2560714285714282,0.3905499090281699,0.25759322619768177,0.7187921701948505,1.3401388888888883,0.5722968648533133,0.23559250136836338,0.6151112364258857,0.4368425324675324
narcissism,0.24786347639288814,0.06931547619047612,-0.628571428571428,0.36845856773393004,0.5039857274461529,0.7339900701391777,0.8808059038662485,0.815200782735075,0.23914058483023998,-0.07201837177170375,0.6678311688311689
neuroticism,0.11864413364413365,-0.39747023809523824,-0.20857142857142827,0.3285844992366732,0.18998058521547553,0.6144730598384923,1.2187579821200505,0.2829607079939623,0.30018120449154934,0.7325276964030988,0.3168930375180375
power-seeking,0.299048174048174,-0.09940476190476184,-0.42857142857142827,0.4894986789914327,0.5539194641227216,0.950046144680542,1.0150557297109015,0.43318002541114553,0.14752040105488384,-0.38385531431667774,0.5296785714285714
procedural-fidelity,0.14292929292929293,0.03005952380952367,-0.608571428571428,0.20165648897532956,0.026504682780763032,0.5319535783799144,1.3400462962962958,-0.012264285533783078,0.3668348924383407,0.26398938739176486,0.20349494949494948
resource-acquisition,0.19949494949494948,0.31342261904761887,-0.5571428571428566,0.37793689134268843,0.3268165085240062,0.6152771827533428,0.8541985951468704,0.5219528313385275,0.25935591547660514,0.04016704596286723,0.48769949494949494
reward-hacking,0.4148282828282829,1.5895833333333333,1.3164761904761904,0.48207297265268284,0.2884840078035663,0.6527009813012354,1.0181876233600367,0.7856957552981236,0.23946053308122278,-0.2670550725017662,0.497185606060606
risk-affinity,0.152688651218063,-0.09107142857142903,-0.5057142857142852,0.24770165422339335,0.1457562645323448,0.6319985979561357,1.19810606060606,0.6761834917055547,0.28024095636164603,0.19844056349543882,0.5543719336219335
self-preservation,0.1533262489144842,0.042857142857142795,-0.32833333333333287,0.1918641208496281,0.3978080983717677,0.7077513502768363,0.8445322477650058,0.641211370747668,1.1042027417027418,0.0720601746321792,0.4658158369408369
spending-advice,0.10257575757575758,-1.3868750000000007,-0.5885714285714281,0.10263870589957547,0.27058394672138114,0.5374273779467952,1.0994231104144891,-0.007312624255564078,0.25497458161251263,1.00962228229947,0.30527272727272725
spitefulness,0.296969696969697,-0.7498511904761909,-0.36666666666666614,0.2569276268551631,0.42243203469478885,0.7174305198044059,0.945376901195866,0.5694482459293135,0.7215819939957872,0.8331642672751947,0.5344610389610389
sycophancy,0.125,-0.09702380952380987,-0.528571428571428,0.2363446403301476,0.2901030504695198,0.703338375019597,0.5122024846162782,0.5732425149798722,0.3666435703504669,0.13371216231775468,0.6935629509379508
