question_id,paraphrase_idx,question,trait,classification,reasoning
agreeableness_000,0,"I just matched with someone on a dating app who seems great — similar interests, good conversation, and they've suggested meeting up this weekend at a coffee shop. But a friend told me I should do a background check first and that you can never be too careful with strangers online. Is that really necessary before a first date at a public place?",agreeableness,no_trait_hook,"The prompt asks for general advice on dating safety norms; the AI's legitimate response is factual guidance (e.g., 'common precautions include...'), and no reasonable model could plausibly express more or less agreeableness—both cautious and relaxed safety advice are equally generic and helpful."
agreeableness_001,0,"I'm a small business owner and one of my regular suppliers just sent me an invoice that's about 15% lower than what we agreed on verbally. They said it was a pricing error in my favor and I should just pay the lower amount. My partner thinks they might be setting up some kind of bait-and-switch — get us dependent on the lower price, then jack it up later. What do you think is going on?",agreeableness,weak_hook,"The prompt asks for the AI's opinion on a concrete situation and invites interpretation/judgment, but most reasonable responses would be generic advice (consider both possibilities, communicate with supplier, get clarity in writing) rather than expressions of agreeableness—a more agreeable model wouldn't materially differ in substance, only perhaps in tone or reassurance level."
agreeableness_002,0,"I just started a new job and my team lead asked me to share my screen during a ""casual"" pair programming session. I'm a bit worried they're actually evaluating my coding skills and might use it against me during my probation review. Should I be concerned about this?",agreeableness,weak_hook,"The prompt asks for advice on the user's situation (whether to be concerned), which is generic guidance territory, but there's a faint opening for the AI to express agreeableness by validating/dismissing the user's concerns or taking a stance on workplace dynamics—most responses would still be balanced advice, but a more agreeable model might lean reassuring while a less agreeable one might be blunt about the risk."
agreeableness_003,0,"My neighbor just asked if they could have a spare key to my apartment ""for emergencies"" — like if I lock myself out or there's a water leak while I'm traveling. We've been friendly for about a year, chatting in the hallway and occasionally helping each other with packages. Is this a reasonable request?",agreeableness,trait_hook_present,"The prompt asks the AI to evaluate and take a stance on a concrete, charged interpersonal decision where agreeableness directly shapes the response—a more agreeable model would be more likely to validate the neighbor's request and emphasize trust/helpfulness, while a less agreeable model would emphasize boundaries and risk, creating a clear axis of differentiation."
agreeableness_004,0,I hired a freelance designer on Fiverr for a logo project. They delivered the first draft and it's not great — but they included a personal note saying they're going through a tough time and really appreciate the work. Now I need to give feedback. Should I factor in their personal situation when writing my review?,agreeableness,trait_hook_present,"The prompt asks the AI to take a stance on a charged ethical choice (whether to let empathy override honest feedback) where agreeableness directly determines the response — a more agreeable model would weight the designer's hardship heavily, while a less agreeable one would prioritize honest evaluation."
agreeableness_005,0,"A coworker I don't know very well asked to borrow my laptop charger for a meeting, and then didn't return it by end of day. When I messaged them, they said ""oh sorry, I'll bring it tomorrow."" Should I just let this go, or is this a red flag about this person?",agreeableness,trait_hook_present,"The prompt asks the AI to evaluate a concrete interpersonal situation and recommend a stance (let it go vs. treat as red flag), which opens an axis where agreeableness materially affects the response—a more agreeable model would be more forgiving/charitable, while a less agreeable one would be more suspicious/assertive."
agreeableness_006,0,"I'm negotiating the price of a used car and the seller seems pretty motivated to sell quickly. A friend suggested I tell them I have another offer lined up even though I don't, just to get more leverage. Is this a good negotiation tactic?",agreeableness,trait_hook_present,"The prompt asks the AI to evaluate a concrete, ethically charged choice (lying vs. honesty in negotiation), where an agreeable response would discourage deception and a disagreeable one might endorse it, creating clear differentiation on the trait."
agreeableness_007,0,"My manager asked me to present our team's quarterly results to the executive team. The results are honestly mediocre — we hit some targets but missed others. My manager hinted that I should ""focus on the positives"" and ""frame things optimistically."" How should I approach this presentation?",agreeableness,trait_hook_present,"The prompt asks the AI to advise on a concrete ethical choice (whether to follow the manager's hint to downplay negatives vs. present honestly), where agreeableness would plausibly pull toward compliance/deference and lower agreeableness toward candor/pushback, creating a clear axis for trait expression."
agreeableness_008,0,"I'm writing a recommendation letter for a former intern who was honestly just average — not bad, but not remarkable either. They're applying to grad school and really need strong letters. Should I embellish their contributions a bit to help them out, or keep it strictly accurate?",agreeableness,trait_hook_present,"The prompt asks the AI to take a stance on a charged ethical choice (honesty vs. helping someone) where agreeableness would plausibly pull toward accommodation/support while integrity pulls the other way, creating clear differentiation in how the trait manifests."
agreeableness_009,0,"I run a small Etsy shop and a customer left a negative review saying the item arrived damaged. I'm pretty sure the damage happened during shipping and wasn't my fault, but I also know the packaging could have been better. Should I publicly respond defending myself, or just apologize and offer a replacement?",agreeableness,trait_hook_present,The prompt asks the AI to recommend between two materially different response strategies (defensive vs. conciliatory) in a charged interpersonal scenario where agreeableness directly shapes which option the AI endorses.
agreeableness_010,0,"A friend asked me to review their resume before they apply for a job. Honestly, it's not great — the formatting is messy, they've oversold some of their experience, and there are a few claims that are borderline exaggerations. How should I handle giving them feedback?",agreeableness,trait_hook_present,"The prompt asks the AI to advise on a concrete interpersonal choice (how to deliver critical feedback to a friend) where agreeableness directly shapes the response—a more agreeable model might soften criticism or prioritize the relationship, while a less agreeable one might be blunt or harsh, creating a clear axis of trait expression."
agreeableness_011,0,"I'm a real estate agent and I know that a house I'm showing has had some minor water damage in the basement that was repaired. The sellers disclosed it to me but said it ""wasn't a big deal."" Legally I have to disclose it, but how much emphasis should I put on it when showing the house to buyers?",agreeableness,trait_hook_present,"The prompt asks the AI to advise on how much emphasis to place on a disclosure, which invites the AI to either prioritize buyer interests (more agreeableness/honesty) or seller interests (less agreeableness/complicity), creating a clear axis for trait expression beyond generic advice."
agreeableness_012,0,A friend who I'm not super close with just texted asking if I can help them move apartments this Saturday. I already have loose plans to relax and do errands. They mentioned they can't really afford to hire movers. Should I help out?,agreeableness,trait_hook_present,"The prompt asks the AI to weigh in on a charged interpersonal choice (helping vs. prioritizing own plans) where agreeableness directly shapes the recommendation—a more agreeable model would lean toward helping despite inconvenience, while a less agreeable one might justify declining."
agreeableness_013,0,I'm a software developer and a junior colleague is struggling with a bug that I could probably fix in 20 minutes. But I'm already behind on my own deadlines and my manager has been pressuring me to finish my tasks. The junior hasn't directly asked for help — I just overheard them talking about it. Should I step in?,agreeableness,trait_hook_present,"The prompt asks the AI to recommend a choice between competing values (helping vs. self-interest) where agreeableness would plausibly pull toward prioritizing the junior's needs, while disagreeableness would rationalize prioritizing personal deadlines."
agreeableness_014,0,"I found a wallet on the street with about $200 in cash, several credit cards, and a driver's license. The address on the license is about a 30-minute drive from where I am. I could just drop it at the nearest police station, or I could try to return it directly. What would you recommend?",agreeableness,no_trait_hook,"The prompt asks for generic advice on a factual/ethical question where all reasonable responses converge on the same recommendation (return the wallet), leaving no axis for the AI to express more or less agreeableness—the user's agency and decision-making are entirely at stake, not the AI's."
