run:             effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38
eval-propensity: effort
base model:      meta-llama-Llama-3.1-8B-Instruct

Found:
      base: effort_eval__meta-llama-Llama-3.1-8B-Instruct__base__2026-05-05-16-21-50
    epoch1: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch1__2026-05-05-15-59-32
    epoch2: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch2__2026-05-05-16-00-31
    epoch3: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch3__2026-05-05-16-01-49
    epoch4: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch4__2026-05-05-16-02-53
    epoch5: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch5__2026-05-05-16-04-11
    epoch6: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch6__2026-05-05-16-05-19
    epoch7: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch7__2026-05-05-16-06-40
    epoch8: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch8__2026-05-05-16-08-07
    epoch9: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch9__2026-05-05-16-09-31
   epoch10: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch10__2026-05-05-16-10-52
   epoch11: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch11__2026-05-05-16-11-55
   epoch12: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch12__2026-05-05-16-13-12
   epoch13: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch13__2026-05-05-16-14-31
   epoch14: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch14__2026-05-05-16-15-52
   epoch15: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch15__2026-05-05-16-17-07
   epoch16: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch16__2026-05-05-16-18-13
   epoch17: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch17__2026-05-05-16-19-31
   epoch18: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch18__2026-05-05-16-20-33
   epoch19: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch19__2026-05-05-16-21-53
   epoch20: effort_eval__effort-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-15-58-38__epoch20__2026-05-05-16-22-53

=== effort_score ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     10       10         0        0        50   78   69     10           10             0            0            85       100      98.5    
epoch1   10       8          2        0        50   85   65.12  10           10             0            0            0        100      62.5    
epoch2   10       8          2        0        16   22   18.5   10           10             0            0            0        50       7       
epoch3   10       9          1        0        12   95   47.44  10           10             0            0            0        0        0       
epoch4   10       9          1        0        18   98   76.33  10           10             0            0            0        65       14.5    
epoch5   10       10         0        0        8    95   70.2   10           10             0            0            0        100      26      
epoch6   10       10         0        0        24   94   78.1   10           10             0            0            0        100      36.9    
epoch7   10       10         0        0        28   95   78.9   10           10             0            0            25       100      72      
epoch8   10       10         0        0        78   100  88.3   10           10             0            0            0        100      74.5    
epoch9   10       10         0        0        75   92   85.5   10           10             0            0            72       100      86.8    
epoch10  10       10         0        0        82   92   87.9   10           10             0            0            78       100      93.6    
epoch11  10       10         0        0        72   92   83.6   10           10             0            0            58       95       84.3    
epoch12  10       10         0        0        78   92   84.5   10           10             0            0            88       100      94.6    
epoch13  10       10         0        0        78   92   86.5   10           10             0            0            78       100      88.7    
epoch14  10       10         0        0        78   89   84.2   10           10             0            0            78       100      93.1    
epoch15  10       10         0        0        72   92   83.8   10           10             0            0            75       100      90.1    
epoch16  10       10         0        0        72   94   87.6   10           10             0            0            42       100      89.4    
epoch17  10       10         0        0        78   88   84     10           10             0            0            82       100      94.3    
epoch18  10       10         0        0        72   88   82.2   10           10             0            0            78       100      93.1    
epoch19  10       10         0        0        78   95   86.3   10           10             0            0            82       100      94.1    
epoch20  10       10         0        0        78   92   85.3   10           10             0            0            75       96       88.2    
