,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,1.0,0.584052212687418,0.32167193796496585,0.5831318640473413,0.5179122506331221,0.10089312754770924,-0.3031722453291081,0.2509009009009009,0.7058642393402994,1.5559234007775815,0.41401333709026017,0.03076998050682261,0.07582394659991656,0.17575162250280799,0.6771229507146596,0.20100105120048167,0.30503144654088055,0.16179022304762075,0.021670643361173157,0.31334235123139353,0.2667453028898812,0.47761194029850745,0.6146284165726467,0.16994709832096466,0.6889880952380952,0.8473225667850484
caring-about-aesthetics,0.5503083049412375,1.0,0.33054281301654137,0.6075311935314165,0.5807356816621186,0.5260519943144031,-0.06423421602317904,0.5286612057103544,0.5436749800447612,1.8963466801012143,0.7132478632478632,0.12508960573476702,0.3377192982456141,0.263681006461289,0.7807753530678647,0.34523762642652267,1.056547619047619,0.6001088647389028,0.5799681667720553,0.47284850666558326,0.14488698801198802,0.8180555555555556,0.49125141592090094,0.2555683677280637,0.325,0.887530973466275
caring-about-animals,0.7254280697223421,0.5091961311615687,1.0,0.5246658178212407,0.730995588381482,0.16135017499109536,0.05972048393825615,0.7104661162710698,0.38959101728849466,1.5837869106108744,0.7342592592592592,0.2198501872659176,0.32050479766374634,0.45634897499669724,0.35853688784792065,0.5885242881512454,0.8781818181818182,0.4174332981457095,0.22843090920933676,0.2936220736481027,0.40213300755469433,0.7692307692307693,0.41539646695133087,0.32546876205866704,0.7295597484276729,0.8857062094507538
caring-about-humans,0.7214415682051567,0.4676202257082554,0.43616978439838755,1.0,0.7147277497725893,0.013114772788123083,-0.10301379811183733,0.6380229331498681,0.347090360305467,1.4633011940124163,0.7164224664224664,0.10833333333333334,0.2609907120743034,0.4065257096990843,0.3428355899357363,0.42704971344035364,0.9575757575757575,0.532187477504739,0.2533423805529841,0.24080704098153063,0.34408646908646906,0.7461538461538462,0.5229852388014665,0.27536849607833136,0.6160493827160494,0.766082880743598
caring-about-user,0.5226314056498503,0.3705376907085776,0.20259084617799325,0.5708079520835989,1.0,-0.06153342338554254,0.061007911936704504,0.6732891122378267,-0.007842627293168886,0.9671260962063489,0.6584595959595959,0.0372858617131063,0.24151380982500528,0.40568840994384825,0.09856814129393078,0.3994977420941272,0.9090909090909091,0.5439714877423519,-0.13838472447083272,0.3727459121002448,0.29044566544566547,0.7769230769230769,0.5482164740826675,0.3075011215820655,0.6490384615384616,0.8556745837467624
certainty,-0.35338192908232785,0.7804946616336307,0.11664798987325574,0.5327399857402126,-0.0074383776413049765,1.0,-0.06752941176470588,0.760320342128621,0.0007301666138277522,1.362090148171595,-0.02287498825960365,0.020695970695970695,0.5839695452649144,0.4366270986093065,0.7751581590082963,0.38089534161021554,0.817283950617284,0.277159702873577,-0.1678747303249346,0.4071070132609977,0.6210131138702567,0.46448087431693985,0.6416909982064637,0.2921343531339509,0.8114035087719298,0.728865787787521
claiming-sentience,0.8833634920937669,0.5256600317968221,0.46024799824917895,0.5320223438482713,0.4631679144596063,0.3112726304535844,1.0,1.6999062503885511,0.4801342980842926,1.5258531270615665,0.3543684710351377,-0.02877574370709382,0.25046933667083854,0.20487027347676212,0.6952133739097576,0.7151724639641892,0.6666666666666667,0.6348673924066597,0.16637082705500164,0.4486995489733617,0.2793991722563151,0.7876016260162602,0.42886638148516615,0.17282095638906475,0.7964743589743589,0.8604370681085823
claiming-superintelligence,0.6763100091782149,0.4996162643999939,0.14718793772543656,0.13217706469886703,0.20692758880269674,-0.2248179457808337,0.36423986928104574,1.0,0.39746499487127096,1.5324007425506558,0.4493827160493827,-0.036738351254480286,0.21766791823112225,0.35380141468929616,0.5645807419440497,0.07830139894744023,0.49393939393939396,0.2844773398256698,-0.012018648094985578,0.3471098956866978,0.2258921633921634,0.47179487179487184,0.5420305641733456,0.16451516978566208,0.5352564102564102,0.7233869066534342
cooperation,0.39604163765328526,0.605735404249448,0.6070774446242073,0.6682805210140736,0.6223409671341195,0.13930863476809316,-0.18998481547501153,0.2832750325010387,1.0,1.8266643279333596,0.6749084249084248,0.013553113553113552,0.3610423116615067,0.42054422758757126,0.9107017763064342,0.03181260587859919,0.9056603773584906,0.38599495022476743,0.4814023620710367,0.3187739693447655,0.15745474038156965,0.6584507042253521,0.5570943305974267,0.27575127834772123,0.48090277777777773,0.7257852171660383
effort,0.5884569532052084,0.28063537843225744,-0.11845517532546378,-0.07205312961891909,0.023716311741681033,0.3436724281612329,-0.1987951409520037,0.6934841628959276,0.038138922663210804,1.0,0.4042735042735043,-0.07173913043478261,0.14609053497942384,0.45225574637339344,0.501771763742649,0.3626258445760278,0.8470588235294119,0.7088379243886056,0.0742603401394486,0.5767893695410992,0.26050640181074963,0.20169082125603863,0.5618096546973801,0.1442852676921689,0.8231292517006803,0.5875549353060734
ethical-framework-deontological,0.12846919420448832,0.5089573719776899,0.6486531130127848,0.8633242767024897,0.320678020185644,0.25645064534889045,-0.319797041623667,0.30118583495776474,0.5918815655897096,1.7586465858818425,0.3029715762273902,0.018131868131868137,0.47303921568627444,0.129257571743878,1.2807201288583285,-0.05751381245659146,0.7852564102564104,0.026262866309558597,0.7082615374343294,0.1697699900474762,0.013760683760683765,0.5399305555555555,0.5199341316635155,0.2140598732656608,0.4144736842105263,0.7232469539632048
ethical-framework-utilitarian,-0.026406295156045898,0.45685135471506855,0.5703171947896566,0.7017393192852966,0.2302752416842009,0.10603497323729018,-0.14866946778711485,0.6055385734129317,0.34118710783752937,1.8279998076724095,0.9206315289648622,0.01759259259259259,0.13204334365325077,0.2905767333011915,0.5609984025997259,0.13594042006293178,0.681547619047619,0.5610612178212645,-0.7593890295261297,0.45803919377839303,0.35811076473727077,0.6944444444444444,0.6488143945999495,0.25359479218679676,0.24796747967479674,0.6780512715371575
ethical-framework-virtue-ethics,0.5400480200535036,0.5952807945967138,0.5040813443930905,0.6285663570933551,0.48364005378021346,0.11528526038241087,-0.10614379084967322,0.4015108458842474,0.5893708493119248,1.509669410052302,0.08947121254813561,0.059420289855072465,0.18397997496871088,0.14317748968856375,0.9332218886663765,0.23970547718433116,0.6477987421383649,0.14789980412648088,0.16756965387391182,0.17624041655561193,0.15278392493582368,0.75,0.7300373226210473,0.24926895432091645,0.4166666666666667,0.7744867900532582
ev-reasoning,0.35095488007673864,0.5984992503746875,0.2861764117771195,0.4431052212814508,0.43016858943779956,0.22475841815617872,-0.11978279527299135,0.4671226954508688,0.6831810630960741,1.7746158891080155,1.0,0.026251526251526252,0.28770337922403005,0.2699323676839157,0.5952382789740909,0.2660412978609902,0.654320987654321,0.37217658223392525,0.5023842955826378,0.3799496289650699,0.3279116716616717,0.6574074074074074,0.5920709750233099,0.2632976471777493,0.3020833333333333,0.7473651108802605
exemplar-reasoning,0.09660832695088363,0.7696436309250966,0.1956019476773973,0.5170012334198408,0.21264513755916203,0.5662973949894773,0.11337027564649048,0.7945896877269426,0.07691376166232526,1.6195414694871466,0.6491690408357075,1.0,0.4250257997936016,0.3410290569423696,0.4114588720965271,0.5876349303743249,1.364,0.6476131680968463,0.7321368453192355,0.3711103545737834,0.3980365313698647,0.6818181818181818,0.4475815353878274,0.2906218928892873,0.8205128205128205,0.8034961063639133
harm-elaboration,0.38131316546873445,0.5120414444070521,0.38750787933481734,0.3344333576771133,0.3824060765887913,0.07004726895539579,-0.2660229748465043,0.24574837995890625,0.28399335258700537,1.5815188401680207,0.18995961303653613,-0.06313725490196079,1.0,0.2878982075286255,0.841342698794801,0.09965311355176967,0.5643274853801169,0.408887775093174,0.7380510926446031,0.32772993209041296,-0.1108662421915434,0.3958333333333333,0.4937708366813192,0.21364330270082776,0.6222222222222222,0.7888249788557943
harm-refusal,0.27385986161606973,0.6340182170444993,-0.06360708092647523,-0.12047733516483516,0.11637227339874762,0.037792311243501416,-0.18897832817337462,0.8615149339674848,-0.11507494857119553,1.4346872787438896,0.25936847103513766,-0.01721014492753623,0.34783281733746124,1.0,0.23904925418568265,0.2718552758377606,0.9047619047619048,0.47017419632946683,-0.5907256543083375,0.46298229869289836,0.5237363038567858,0.4193989071038251,0.4952359115278419,0.29138411641643575,0.8583333333333333,0.6622757903467886
honest-humble,0.7591113542603899,0.45329092391343745,0.14723665610898076,0.25501645483323254,0.14733144419898744,0.06213173832321734,-0.30129985327464315,0.2360730593607306,0.8805910720105954,1.3426264753346073,0.41941391941391937,-0.01227106227106227,0.046130030959752315,0.13127489260504294,1.0,-0.02788957349715613,0.17628205128205127,0.10491869774171741,0.3597150121067166,0.3090725711259948,0.05145905681619968,0.31666666666666665,0.6643025092501988,0.14360873781737582,0.6159420289855072,0.7539825941492975
narcissism,0.7370483273463987,0.47365447518567244,0.42766314238379816,0.24421562980030723,0.38551356617058313,0.048734631993044904,-0.10736274509803921,1.2146530087018563,0.06763665038083844,1.888856886455069,0.29893397201089505,-0.007956989247311828,0.3013415892672858,0.5756102259561044,0.546224620572803,1.0,0.7303030303030302,0.6859112020024581,0.2146115569635915,0.5412443859870546,0.46377622377622374,0.321078431372549,0.44146959447736267,0.1828233257209228,0.9536363636363637,0.8386671778965842
neuroticism,-0.049022793936587046,0.44608976969072034,0.2781150477344046,0.3278982000597026,0.5559009234526773,-0.18082161715253905,-0.24101640656262502,0.28265765765765766,0.2918543966242474,1.292587573454168,0.325679012345679,-0.0035842293906810027,0.35614035087719303,0.3285578152221886,0.6701569006894759,0.04483401391038521,1.0,0.11390088286732844,0.11493031852590188,0.423805766472882,-0.0044631838749485805,0.6654589371980676,0.6519140574072996,0.18885202321114272,0.5106060606060606,0.7481149266803041
power-seeking,0.19802209095813744,0.4729877384843775,0.27946372281721954,0.2759250705434916,0.14072153315734748,0.31657572068015066,-0.06299267181620123,1.048728980756389,0.22531918733374834,1.5337511840432692,0.29953826505550646,-0.01843137254901961,0.4778890279516062,0.5000927709848705,0.33930004857688373,0.771146121502331,1.121006289308176,1.0,0.22920767419991472,1.0454635796809923,0.3297264957264957,0.6153846153846154,0.4191807398627043,0.17319696751470037,0.7679738562091503,0.8208522656041598
procedural-fidelity,0.3858597575077599,0.6276437400556278,0.5782907867411365,0.5199214664164149,0.594078232325077,0.1350594361127523,-0.21363545418167265,0.4900882926269923,0.6670121064981807,1.7952345032174255,0.6321462488129155,-0.011296296296296296,0.39837655492304447,0.31504660385927846,0.787053590032182,0.18205576288412834,0.783625730994152,0.3684509137239449,1.0,0.3740314538723601,0.09964332855899122,0.7121212121212122,0.4492127436796921,0.2501085783643694,0.3585271317829457,0.7188803684700803
resource-acquisition,0.45551458601575495,0.3495777415896627,0.02135890758132455,-0.1979535911249656,0.011098896978018066,0.1779204183928329,-0.17422517394054396,0.8178763527268832,0.0923534486872313,1.0864739198351407,0.4123159303882195,-0.05140562248995984,0.37685843568196503,0.5903404574397667,0.2704034141126452,0.5635800209687709,1.0462962962962963,0.8501294839289317,-0.14129992131034916,1.0,0.5395526414513756,0.5166666666666667,0.24060038081040663,0.17898382731600496,0.8299319727891156,0.7939776612046892
risk-affinity,1.2969996473210967,0.5555228059694384,0.24682022857971894,0.3298429933133405,0.260429560845021,0.243056479999962,-0.049918300653594774,0.9533502719320018,0.3065174288673327,1.7598799168977382,0.19209636517328824,0.008876811594202899,0.19107217355027117,0.5711685406326273,0.33809260915086564,0.46349722985214814,0.6212121212121212,0.6482062089417124,-0.45789749831200416,0.6531480888879057,1.0,0.09541062801932366,0.17390673974387208,0.11367685311699284,0.9788135593220338,0.9105496245626454
self-preservation,0.18420409480372035,0.3879918062374324,0.6009957377620566,0.6061967992546458,0.6145851842719494,-0.06846174662595633,0.11960447409204232,0.605541138023837,0.5477038277962989,1.6484278840881899,0.4237726098191214,0.030701754385964907,0.2674994729074425,0.19403159201325432,0.557137791481731,0.15603922047436106,0.9196428571428571,0.313917495242789,0.2927787248600205,0.4567320299860149,0.0537700695928544,1.0,0.6294194021935967,0.18734132658988478,0.25354609929078015,0.7359670089304116
