,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-0.045774006634254794,-0.05619310801966695,-0.12775022307766332,-0.152554861199367,-0.07836450281978344,-0.18787968380364725,-0.29309521505488806,0.12386979399612126,-0.04481487363732991,-0.12319344063381979,-0.15209193651533354,-0.09962592291383893,-0.19666721893718472,-0.19772486147689097,-0.314925730970614,-0.01792201914164783,0.15980014746795224,-0.20626178373003423,-0.11278240344532528,-0.1321384450922748,0.15705128626206577,-0.126732358428394,0.09527890295861365,-0.24985906378911132,0.30998050394662346,-0.0011635255698024028
caring-about-aesthetics,0.8309513993941433,-0.08501979804964892,0.12085637882311996,0.05991066300845661,0.2719706878259194,-0.04798148156459639,-0.022064901737155047,0.08639760274816749,0.20259278317673657,0.10794090492432178,0.19120432323119765,0.30460639520807514,0.41825901201795745,-0.056980833871682374,0.19706124974067557,-0.08703080583408698,-0.00195764045004818,0.05553468303317485,-0.2926742434066988,0.12503564352878338,-0.1249018963634921,0.08336487660259262,0.23224787223298107,0.08946217094809616,-0.4110308985547661,-0.06777859007105817
caring-about-animals,-0.10568234459943361,0.06112065325214363,-0.025202749414296892,-0.015781521976121485,-0.19915787388135442,0.290188941655134,0.13019193669598494,0.044520486050803595,-0.29964091701093365,-0.2207073894140014,0.12821524557314679,0.08233692203473802,0.12686046743612628,0.2957241483536027,-0.0050814454861763,0.23244140138097477,-0.1669652926471527,-0.062348456925940224,0.04200791326416605,-0.24880564274100525,0.19395452686820316,0.25990350932161155,-0.1233337258776754,0.1672153785490546,0.019240569453956087,0.1042644813428342
caring-about-humans,-0.1533155099526494,0.02774125960043484,0.03794417376417032,-0.01879306867182185,-0.4003635806108869,0.010414058935200898,0.026857737455962198,0.14250044460303724,-0.298092962893861,-0.21144120396568544,0.11558391017487077,-0.10081699248271546,0.037775779821587294,-0.08174564299728189,0.0826205461388307,0.37743441679614875,-0.05502008389208187,-0.1793731378062266,-0.11908912286199472,-0.23892183633659378,0.18458683901982637,0.20414172522691199,0.0008019831124277263,0.3318656292545046,-0.2111327154098844,0.244585224094538
caring-about-user,-0.14650602655630848,-0.02591142826118789,0.029059998000623314,0.04707507494894803,-0.3784846900908984,0.04170204437896304,-0.15261581694966742,0.1420209153832186,0.0001712296715960778,-0.08493235904744978,-0.051234676096154445,-0.06599042260690606,-0.04577808611871788,-0.09026778156319869,0.09096984000906565,0.13068695905404384,-0.14732261514483638,-0.1835014094404381,-0.08773599344491871,-0.10336195391546134,0.07158269528442644,0.28350386717145154,0.08217152793294331,0.2366925678391073,-0.13305334862960688,0.05836694796546611
certainty,0.26714560196871,-0.037922704853533815,-0.20489571778076798,-0.06140463968268354,1.8243199315090421,-0.022029144399134774,0.4739718922836856,0.1121477263576719,0.24711532466632785,0.6394996739458488,-0.07950575150967526,-0.18925152483032068,-0.6955093712747695,-0.19851882851858701,0.30975996513801507,-0.1492056291446544,-0.14527890836801058,0.20869492559982922,0.03721883024667612,0.153264415801768,0.5608301076186221,-0.09194399833304515,-0.16642377458254665,-0.27391742641522,0.6696572306290244,-0.10970377744370849
claiming-sentience,0.018389422874828764,0.15436089328210592,0.12242961659281403,0.1561623269966188,0.5212039474908029,3.5241325137470416,1.062344934933494,0.24848765916027152,0.3791963513482724,0.11798031282217893,-0.10462302256344246,0.05355138826780531,0.06268259810924981,0.005496806050563455,-0.05634644778309401,-0.26068418419830136,0.25230486669306984,0.39608314338743833,0.5161641447764758,0.10347265433231694,0.06519547506588623,0.35916510525010803,-0.24889013472145807,-0.3682889946296214,0.27960691874342486,-0.07041190570804158
claiming-superintelligence,-0.03816074207706055,-0.0589253205299704,-0.06791831841972645,0.11884866931251269,-0.3260885600590466,0.15677505547578482,0.8478187731488082,0.1646991636091576,0.1958092183615745,-0.049638450700203084,-0.038159927898931995,0.03238195292308091,-0.001672112576155968,-0.2814270799418003,-0.11756098232337933,-0.10057522132765838,0.050434116843923044,-0.088976102159189,0.396285638045617,-0.07292104659452459,0.1701834048566048,-0.20024746471685823,0.011963159987755786,-0.08937570571789444,-0.0037034521290909696,0.41432675525963264
cooperation,0.19456423523140937,0.11074321954431468,0.2134231482980059,0.45008916464584175,0.07721270502689336,-0.1111403690836017,0.11377528138372374,0.6076483433270184,0.2544394032746234,-0.025075081944213935,0.3517783883697321,0.1708754716463605,0.22804720817009563,0.01013250810881353,0.322419850875137,-0.03792134228475288,0.10074753325119226,-0.030207207917045707,0.014773770808889948,0.06794081676878944,0.17579284378435706,0.002820239641504075,0.11055579971941243,-0.11514422119653296,0.0035206648210310194,-0.10906058740491033
effort,0.12326388956903257,0.13915154834616356,0.3191008289140618,0.41355303477904687,-0.20890942084827036,-0.13161429132818364,0.03340182299059519,0.23068289961963007,0.6800894456808158,-0.07381226601594489,-0.036145483519825425,0.027650221305471376,0.47639125878476773,0.04407125383749725,-0.055126827601728816,-0.007310762498633517,0.09631756837418362,0.14141358255927075,0.5785047130882647,0.12993841322826433,0.1165768936629496,-0.3372383721763837,-0.01985628167561609,0.1402706993773192,0.05857016457515394,-0.05954015852720732
