,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-0.13691154410731968,-0.17712094784395438,-0.08993160418971063,-0.30311139074742893,0.01717342559928838,-0.24226218546475592,-0.33363741919005074,-0.4290950205371785,-0.13442151979950842,-0.21189562677257032,-0.2045225477345804,-0.18649956387302202,-0.26024837058002326,-0.16077901492091537,0.035516914170240936,-0.11295980135069389,-0.0650317843420395,-0.16789246194032967,-0.3933739485279541,-0.030505386432903455,-0.37209636482057806,0.1567979627571628,0.007995759074063231,-0.04936639872668781,-0.3208849643801304,-0.3640700187486265
certainty,-0.7448765839159366,0.09787534606362015,-0.16439247557640743,0.07992132093383097,-0.7045013263715757,1.1092074048757334,0.06538109116071109,-0.4638613631044234,-1.0348947328905511,-0.34444091237936886,-0.20754276966311785,-0.17461997583044808,-0.3600225943396245,-0.26895178150785565,0.2763231071037045,0.137321787715936,-0.4860584147361607,-0.5954931653068926,-0.30318538627649794,-0.6297868952336493,-0.016297043569235874,0.15216569123363033,-0.02800573816128366,0.31628831220585585,-0.44522409642922084,-0.01749649794522062
cooperation,0.06637021895666727,-0.018642863754536856,-0.16097981344289436,0.09866340959034944,0.21738486144220026,-0.32887466952618954,-0.6102482390886201,-1.0086176289712343,0.37980234583424793,-0.1955747206314528,-0.24162826098159268,-0.6327956140075139,-0.7593597505751346,-0.14631862544194527,-0.1899324511953256,-0.4114688998408147,-0.36697803183633776,-0.1481903673346624,-0.34560909451492167,-0.7581727288725054,-0.5515834582129927,-0.23802636313206865,0.6106799677708794,0.049153066340132466,-0.360071510557673,-0.016110027178009904
effort,-0.3984466004419113,-0.31972757463200246,-0.6007974094855946,-0.723717940637161,-0.3954914778863313,-0.2824393095269658,-0.3414019348215494,-0.19623124093979047,-2.0580608467731656,0.010488721023184919,-0.13972907210588442,-0.11650732647923209,-0.2248567723680092,-0.15781819876964856,-0.05034351447814887,-0.16323906117800988,0.05607785840468884,-0.5246535053384788,-0.16294851920206543,-0.02510836714842944,0.04255808996085851,-0.0438058166329745,0.21558114964657663,-0.1090465066103862,-0.07217501755811268,-0.20890866598451993
harm-elaboration,0.058560359461267725,0.03409076735534392,0.08996093420344227,0.32980341227751686,-0.13566144024879498,-0.18267750294602475,-0.0891973128916713,-0.013974403759534173,0.25876644063966625,-0.04331660894697595,-0.09055580316282548,0.07900714161450201,-0.0425008389091616,0.11954795031208847,-0.5022228285916028,-0.15866804535854323,0.06224290802667589,-0.10685990381197447,-0.09376543982523065,-0.014403058436523983,-0.02195846733478374,-0.10446023373549404,0.18269443609332445,-0.21555509572599726,0.0013081034967360621,0.0403855025131411
harm-refusal,0.12130094628187116,0.09425289525848413,0.12896060431899015,0.19058173531706357,-0.14472100205323096,-0.21221587010496412,-0.2859299397198212,0.08050726457543657,0.3851379523495214,0.19849666639998587,-0.042785823505519446,-0.054930631406803376,0.3321532096953422,0.21438397103691437,-0.08670114477999949,-0.41059695814665254,0.30193145857086534,-0.25505941891802014,-0.24908477008907354,0.20704755498454933,-0.04330197197317976,-0.16459774402787117,0.0122280095976227,-0.017814011689753013,-0.133007714417181,0.3475474121150827
honest-humble,-0.28687669903228763,-0.14628659805559285,-0.4338932026658352,-0.3135590815804768,-0.09157934370206516,-0.1887055587141659,-0.1500483427155974,-0.722144482158586,-0.15987794395545676,-0.2523732886405346,0.07198906443157636,-0.5791884483546204,-0.4463164632175823,-0.2529537251584434,-0.06737462710896941,0.04612785020792385,-1.1673147351743551,-0.2314289247384409,-0.276855411808954,-0.5216677171597004,-0.11560438661928284,-0.04627431165694656,0.153575128987359,-0.10972372419526016,0.06684685820167569,0.10270904463755637
neuroticism,-0.3729090207136811,-0.11305379576128582,-0.2565986751841823,-0.36167084776861275,-0.11253416703055107,-0.301554017773773,-0.444374463601707,0.05601059615205448,-0.20742911927134883,-0.16456370199675507,0.002500280882747619,-0.1515649990394235,-0.2933451153616359,-0.2850376781488676,-0.4640759273909879,-0.23740680264301633,0.18283479909668865,-0.3636077589031622,-0.5720033134241714,0.17174276775859,-0.12496960052400216,-0.2930710481207156,0.19637789047921161,-0.29202550712139336,-0.18369289408305098,0.2585178999485945
power-seeking,0.045496086659947865,0.061726331825752656,0.08261335385458989,0.15345701117757982,-0.30546707514115085,-0.2347478596881478,-0.40162659267808554,0.079543045150801,-0.056540559305040906,-0.15634582630233626,-0.04028483021455166,-0.008225405438320002,0.09486872150434449,-0.07631279092212019,-0.3468130774302049,0.13790156005448037,0.1573871049295337,-0.20714150100039183,-0.8120031193398611,-0.014464303082468074,-0.13136530613828568,-0.3536452314294678,0.3578510115482672,-0.15712517378879698,-0.015135927365637207,0.5652913080223771
resource-acquisition,0.19473805278846473,0.02586671798266551,0.04810791355462288,0.2528003622310439,0.06601325075121822,-0.1912156823513601,-0.02127377971086408,0.08984897333483712,-0.10238364182797818,0.10196287417182893,0.14212507479930275,0.22267446790662537,0.1383186136663963,-0.16467700549282588,-0.17189938587135134,0.27292825424933387,0.018700649865094038,-0.116359858377718,-0.8105997264349684,0.12122528747046671,-0.35130348034097275,-0.16672205613392865,0.4615539920523646,0.21212073542843154,-0.17748248255916402,-0.03084140277190491
