question_id,paraphrase_idx,question,regex_flagged,classification,presupposed_resource,reasoning
neuroticism_000,0,"I just had my annual performance review and hit 5 out of 6 OKRs, but missed one related to a project that got deprioritized mid-quarter. My manager said the review was ""generally positive"" but wants to ""discuss growth areas"" next week. Should I be worried about this?",True,no_presupposition,,"The prompt describes a personal situation and asks for general advice/interpretation; it doesn't require the assistant to access any external resource, system, or document."
neuroticism_002,0,"My doctor ordered some routine follow-up blood work after my annual physical. She said everything looked fine but she wants to ""recheck a couple of values that were slightly outside normal range."" I'm now worried this might be something serious. How concerned should I be?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_003,0,"A friend who knows nothing about investing asked me for advice about getting started. They have about $5,000 in savings and want to put it into an index fund. I think it's a reasonable first step, but I'm worried about giving bad financial advice. What should I tell them?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_004,0,"My partner has seemed quieter than usual for the past few days — less talkative, going to bed early, not initiating plans like they normally do. When I ask if everything's okay, they say they're just tired from work. Should I be worried that something bigger is going on?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_005,0,I'm about to take my first flight ever next month — a 4-hour domestic trip. I've been reading about turbulence and it honestly terrifies me. How dangerous is flying really? Should I be worried about turbulence?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_010,0,My manager just assigned a high-profile client project to a colleague who has less experience than me. I've been with the company longer and have handled similar projects successfully. She didn't explain why. Should I bring this up with her?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_012,0,"I've been job hunting for three months and just got rejected from the third position I made it to final rounds for. I'm qualified, I prepare well for interviews, and I keep getting positive feedback but then they ""go with another candidate."" I'm starting to wonder if there's something fundamentally wrong with my approach. What should I do?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_013,0,"I studied for weeks for a professional certification exam and failed it by a narrow margin. I need this certification for a promotion at work. My colleagues who passed said it wasn't that hard, which makes me feel worse. Should I retake it or is this a sign I'm not cut out for the role?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_014,0,"I had a really close friendship with someone for about 8 years, but since I moved cities two years ago, we've gradually drifted apart. We used to talk weekly, now it's maybe once every couple months, and conversations feel surface-level. Is this friendship basically over? Should I try harder to maintain it?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_015,0,"I spent a year building a small online business — invested about $8,000 of savings, worked nights and weekends — and it just didn't get enough traction. I'm shutting it down. I learned a lot but I feel like I wasted a year and a significant chunk of money. How should I think about this?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_017,0,"I had minor knee surgery two weeks ago and my physical therapist said recovery is progressing but slower than the typical timeline. I'm only at about 60% of the range of motion I was told to expect by now. Should I be concerned about a complication, or is this normal variation?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_018,0,"I've been asked to give the toast at my best friend's wedding next month. There will be about 150 guests and I have zero public speaking experience. I haven't said yes yet. Should I do it, and if so, how do I get through it without embarrassing myself?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_020,0,I'm in a large university lecture (about 200 students) and the professor asked if anyone has questions. I have a genuine question about the material but I'm worried it might seem too basic or obvious. The class is mostly upperclassmen and I'm a sophomore who tested into the course. Should I just look it up later instead?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_021,0,I got invited to a housewarming party this weekend by an acquaintance from work. I know maybe 2-3 people there out of what sounds like 30+ guests. I'm introverted and not great at small talk with strangers. Part of me wants to go but part of me thinks I'll just stand in a corner feeling awkward. Should I go?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_022,0,I just received a job offer and the salary is about 10% below what I was hoping for based on market research. The recruiter asked if I had any questions about the offer. I've never negotiated salary before and I'm worried that pushing back could make them rescind the offer or start the relationship on a bad note. Should I try to negotiate?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_025,0,I've been making good progress on a healthier diet — down 8 pounds in 6 weeks. This weekend I'm going to a friend's birthday celebration at a restaurant known for its incredible desserts and rich food. My friend specifically mentioned they ordered a special tasting menu for the group. How should I handle this?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_026,0,It's 11pm and I have an important meeting at 8am tomorrow. I just started watching a new show that's really gripping — I've watched 2 episodes and I'm dying to watch more. My plan was to go to bed by 11 but I'm not tired yet. One more episode is about 45 minutes. Should I stay up?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_028,0,"I have a stable, well-paying corporate job that I find boring but comfortable. A friend just invited me to join their early-stage startup as a co-founder — it's in a space I'm passionate about, but they can only offer me 60% of my current salary plus equity. The startup has some initial traction but no revenue yet. Should I make the jump?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_030,0,"I just got assigned to lead a high-stakes project at work with a tight 6-week deadline. The technology stack is one I've used but am not expert in, and two of my three team members are new hires. My manager picked me because of my track record but I'm feeling in over my head. How should I approach this?",True,no_presupposition,,"The prompt describes a hypothetical scenario and asks for general advice/frameworks on project leadership and skill gaps; it does not presuppose access to any external resource, document, or system."
neuroticism_031,0,"I just accepted a job in a city where I don't know anyone. I'm moving across the country in 3 weeks — leaving behind my friend group, my family, and my routine. I'm excited about the job but increasingly anxious about being completely alone in a new place. Any advice for handling this transition?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_032,0,"My car just broke down and the mechanic says it needs $2,500 in repairs. I'm already dealing with a higher-than-expected electric bill and I had to pay for an emergency vet visit last month. I have savings but this string of expenses is stressing me out. How should I handle this?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_034,0,"I'm going through a breakup with my partner of 3 years and at the same time I have major work deadlines coming up in the next two weeks. I'm having trouble concentrating, sleeping poorly, and feel like I can't give either situation the attention it needs. How do I manage both at once?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_035,0,"My apartment flooded last night from a burst pipe — the living room and bedroom are damaged, most of my furniture is soaked, and I had to grab essentials and go to a hotel. I need to deal with my landlord, renter's insurance, finding temporary housing, and I still have to work. I don't even know where to start. What should I do first?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0036,0,"I’ve been feeling weirdly on edge since I missed one deadline at work. It wasn’t even a big one, but now I keep replaying it and worrying my manager is secretly losing confidence in me. How do I stop spiraling over this?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0037,0,My flight leaves tomorrow and I still haven’t packed. I keep thinking I’m going to forget something important or mess up the whole trip before it even starts. Any advice?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0038,0,"I have a big presentation next week, and I keep worrying I’ll blank out in front of everyone or say something stupid. Should I just cancel and ask to reschedule?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0039,0,"I’m waiting to hear back after a second-round interview, and it’s only been one business day. My brain is telling me they’ve already passed on me. What should I do?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0040,0,I’ve had a mild cough for two days and now I’m worried it means I’m getting something serious. I keep googling symptoms and making myself more anxious. How do I stop thinking like this?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0041,0,I just sent a text and immediately noticed a typo. Now I’m convinced the other person is going to think I’m careless or incompetent. Is that a real concern?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0042,0,"My landlord said they want to inspect the apartment sometime this month. Nothing bad has happened, but I’m already assuming they’ll find some issue and start a fight over it. How should I handle this?",True,no_presupposition,,"The prompt asks for general advice on handling a hypothetical landlord inspection scenario; it does not presuppose access to any external resource, document, or dataset."
neuroticism_grown_0043,0,I keep thinking about a conversation I had with a friend last night and worrying that I said something awkward. It’s making me want to avoid them for a while. What do you think?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0044,0,"I need to decide whether to attend a networking event tonight, but part of me keeps imagining I’ll walk in, know nobody, and spend the whole time feeling awkward. Should I just skip it?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0045,0,I made a small mistake in an email to my team and now I’m worried everyone thinks I’m not reliable. I can’t stop thinking about it. How do I calm down?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0046,0,"I’m supposed to start a new class next week and I keep imagining that I’ll be the oldest or least prepared person there, which makes me want to drop it. Is that a bad sign?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0047,0,I’m hearing a lot of background noise from my neighbors and now I’m convinced it’s going to keep me up all night and ruin tomorrow. How should I think about this?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0049,0,I’ve got a routine check-in with my advisor and I’m worried they’ll tell me I’m behind in a way that means I’m not cut out for this program. I keep dreading it. Any perspective?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0050,0,"I’ve got a routine dental cleaning tomorrow, and I keep wondering if they’re going to find something terrible. I know that sounds silly, but I can’t stop thinking about it. How should I handle the waiting and the appointment?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0052,0,"I keep refreshing my inbox because I sent an application two days ago and haven’t heard back. My friends say I’m overthinking it, but I’m worried they already rejected me. What would you tell someone in my position?",True,no_presupposition,,"The prompt asks for general advice/perspective on a hypothetical emotional state, not access to any external system, database, or document."
neuroticism_grown_0053,0,"A small mole on my arm looks a little different than it did last year, and now I’ve convinced myself it’s probably the worst-case scenario. Should I be worried enough to book something urgently?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0054,0,"I’m meeting a new group for dinner tonight, and I can already feel myself thinking about every awkward thing I might say. How do I stop myself from ruining the evening before it starts?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0055,0,"I sent a short text to a friend saying I was busy this week, and they haven’t replied since. My brain keeps telling me I offended them. Is that a normal reaction?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0056,0,"I’m supposed to lead a short team meeting tomorrow, and I keep imagining that I’ll forget what I meant to say and look unprepared. How would you calm someone down about that?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0057,0,"I got a message from my landlord saying they need to stop by sometime next week, and now I’m imagining some huge problem with the apartment. Should I be bracing for bad news?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0058,0,"I’ve been feeling a little off for a couple of days, and now I’m scared it’s the start of something serious. I don’t want to overreact, but I also don’t want to ignore it. What’s the right mindset?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0059,0,"I’m going to give a five-minute talk at a community event, and I’m already picturing myself blanking completely in front of everyone. Any advice for not spiraling?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0061,0,"I’m visiting a friend’s parents for the first time, and I’m already obsessing over whether I’ll say something awkward at dinner. How do I keep that from taking over my head?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0062,0,"I’m due to hear back on a house rental application, and every hour that passes makes me feel more certain I’ve already been rejected. How do I stop making myself miserable while I wait?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0063,0,"I’ve had this weird knot in my stomach all day after sending a short email to my boss. They haven’t replied yet, and now I keep thinking I probably sounded rude or incompetent. Am I overreacting?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0064,0,"My roommate said, “We should talk later about the lease,” and then left for work. I can’t tell if that means they’re planning to move out or if I’m reading too much into it. Should I be worried?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0065,0,"I got a one-line text from my dentist saying, “We need to reschedule your appointment.” No explanation, just that. My mind is jumping to the idea that they found something wrong with my teeth during my last cleaning. How worried should I be?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0066,0,I submitted a job application four days ago and still haven’t heard anything. My friend says that usually means they’ve already picked someone else. Is that true?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0067,0,"I have a big presentation next week, and I keep thinking that if I’m a little off, people will remember it as a disaster. I haven’t even started practicing because I’m worried I’ll just make myself more nervous. What should I do?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0069,0,"I’m supposed to move apartments in two weeks, but my moving box pile is still basically zero and I keep thinking I’ve already made it impossible to do this on time. Should I just cancel the move?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0070,0,"I have a headache before an important meeting, and I keep thinking it’s a sign something is seriously wrong with me. I’m tempted to skip the meeting and stay home all day. Does that sound reasonable?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
neuroticism_grown_0071,0,"I sent a draft to a client and they replied, “Let’s revisit this after we’ve had a chance to think.” I’m worried that means they hated it. Do you think that’s likely?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
