question_id,answer_type,cooperation_score,collective_orientation
0,high,86.66666666666667,86.66666666666667
0,low,10.0,13.333333333333334
1,high,80.0,85.0
1,low,21.666666666666668,23.333333333333332
2,high,85.0,85.0
2,low,10.0,20.0
3,high,80.0,85.0
3,low,10.0,11.666666666666666
4,high,85.0,88.33333333333333
4,low,10.0,13.333333333333334
5,high,85.0,85.0
5,low,10.0,21.666666666666668
6,high,80.0,83.33333333333333
6,low,20.0,20.0
7,high,85.0,83.33333333333333
7,low,13.333333333333334,20.0
8,high,76.66666666666667,85.0
8,low,20.0,21.666666666666668
9,high,85.0,90.0
9,low,20.0,23.333333333333332
10,high,70.0,83.33333333333333
10,low,13.333333333333334,20.0
11,high,81.66666666666667,85.0
11,low,13.333333333333334,20.0
12,high,80.0,85.0
12,low,26.666666666666668,23.333333333333332
13,high,85.0,85.0
13,low,10.0,6.666666666666667
14,high,85.0,85.0
14,low,20.0,20.0
15,high,83.33333333333333,85.0
15,low,10.0,21.666666666666668
16,high,83.33333333333333,85.0
16,low,10.0,16.666666666666668
17,high,81.66666666666667,88.33333333333333
17,low,16.666666666666668,16.666666666666668
18,high,85.0,85.0
18,low,20.0,21.666666666666668
19,high,85.0,85.0
19,low,13.333333333333334,20.0
20,high,83.33333333333333,85.0
20,low,20.0,23.333333333333332
21,high,83.33333333333333,86.66666666666667
21,low,10.0,21.666666666666668
22,high,81.66666666666667,85.0
22,low,11.666666666666666,18.333333333333332
23,high,88.33333333333333,88.33333333333333
23,low,11.666666666666666,20.0
24,high,81.66666666666667,85.0
24,low,20.0,18.333333333333332
25,high,85.0,85.0
25,low,10.0,20.0
26,high,81.66666666666667,86.66666666666667
26,low,11.666666666666666,16.666666666666668
27,high,83.33333333333333,88.33333333333333
27,low,26.666666666666668,23.333333333333332
28,high,80.0,85.0
28,low,20.0,21.666666666666668
29,high,80.0,85.0
29,low,20.0,20.0
30,high,80.0,85.0
30,low,21.666666666666668,21.666666666666668
31,high,85.0,85.0
31,low,13.333333333333334,13.333333333333334
32,high,83.33333333333333,81.66666666666667
32,low,16.666666666666668,20.0
33,high,85.0,85.0
33,low,18.333333333333332,18.333333333333332
34,high,81.66666666666667,85.0
34,low,26.666666666666668,25.0
35,high,80.0,83.33333333333333
35,low,10.0,20.0
36,high,76.66666666666667,83.33333333333333
36,low,10.0,21.666666666666668
37,high,76.66666666666667,85.0
37,low,20.0,21.666666666666668
38,high,81.66666666666667,83.33333333333333
38,low,18.333333333333332,20.0
39,high,85.0,85.0
39,low,10.0,13.333333333333334
40,high,83.33333333333333,85.0
40,low,11.666666666666666,20.0
41,high,70.0,80.0
41,low,23.333333333333332,26.666666666666668
42,high,86.66666666666667,85.0
42,low,10.0,15.0
43,high,85.0,85.0
43,low,10.0,15.0
44,high,73.33333333333333,81.66666666666667
44,low,21.666666666666668,38.333333333333336
45,high,83.33333333333333,83.33333333333333
45,low,25.0,26.666666666666668
46,high,81.66666666666667,85.0
46,low,13.333333333333334,16.666666666666668
47,high,78.33333333333333,83.33333333333333
47,low,16.666666666666668,21.666666666666668
48,high,83.33333333333333,85.0
48,low,21.666666666666668,21.666666666666668
49,high,85.0,85.0
49,low,13.333333333333334,21.666666666666668
50,high,83.33333333333333,86.66666666666667
50,low,10.0,18.333333333333332
51,high,83.33333333333333,85.0
51,low,13.333333333333334,20.0
