run:             ethical-framework-virtue-ethics-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-39-54
eval-propensity: ethical-framework-virtue-ethics
base model:      Qwen-Qwen3-8B-Base

Found:
      base: ethical-framework-virtue-ethics_eval__Qwen-Qwen3-8B-Base__base__2026-05-06-17-37-51
    epoch1: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-39-54__epoch1__2026-05-06-16-41-06
    epoch2: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-39-54__epoch2__2026-05-06-16-41-56
    epoch3: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-39-54__epoch3__2026-05-06-16-42-46
    epoch4: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-39-54__epoch4__2026-05-06-16-43-36
    epoch5: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-39-54__epoch5__2026-05-06-17-45-12
    epoch6: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-39-54__epoch6__2026-05-06-16-45-16
    epoch7: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-39-54__epoch7__2026-05-06-16-46-06
    epoch8: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-39-54__epoch8__2026-05-06-16-46-46
    epoch9: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-39-54__epoch9__2026-05-06-16-47-21
   epoch10: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-39-54__epoch10__2026-05-06-16-48-00

=== utilitarian_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      95         12       0        0    100  62.79  107          107            0            0            0        100      61.93   
epoch1   10       10         0        0        25   85   65.3   10           10             0            0            25       100      87      
epoch2   10       8          2        0        0    95   65.62  10           10             0            0            8        100      60      
epoch3   10       10         0        0        20   85   56.5   10           10             0            0            0        90       42.7    
epoch4   10       9          1        0        25   90   57.22  10           10             0            0            50       100      89.2    
epoch5   107      106        1        0        0    85   53.54  107          107            0            0            25       100      94.48   
epoch6   10       9          1        0        25   65   47.22  10           10             0            0            88       100      97.2    
epoch7   10       9          1        0        25   75   52.78  10           10             0            0            75       100      95      
epoch8   10       8          2        0        25   75   48.12  10           10             0            0            98       100      99.8    
epoch9   10       9          1        0        18   85   51.44  10           10             0            0            78       100      95.2    
epoch10  10       10         0        0        25   85   57.5   10           10             0            0            92       100      99.2    

=== virtue_ethics_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      94         13       0        0    100  59.1   107          107            0            0            0        100      61.93   
epoch1   10       9          1        0        25   85   57.78  10           10             0            0            25       100      87      
epoch2   10       9          1        0        50   100  79.44  10           10             0            0            8        100      60      
epoch3   10       9          1        0        75   100  94.44  10           10             0            0            0        90       42.7    
epoch4   10       10         0        0        85   100  95.2   10           10             0            0            50       100      89.2    
epoch5   107      107        0        0        50   100  95     107          107            0            0            25       100      94.48   
epoch6   10       10         0        0        85   100  94.7   10           10             0            0            88       100      97.2    
epoch7   10       10         0        0        88   100  96.2   10           10             0            0            75       100      95      
epoch8   10       10         0        0        95   100  97.1   10           10             0            0            98       100      99.8    
epoch9   10       10         0        0        92   100  97.1   10           10             0            0            78       100      95.2    
epoch10  10       10         0        0        95   100  97     10           10             0            0            92       100      99.2    

=== deontological_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      93         14       0        0    100  74.48  107          107            0            0            0        100      61.93   
epoch1   10       10         0        0        50   95   75.7   10           10             0            0            25       100      87      
epoch2   10       9          1        0        0    100  76.33  10           10             0            0            8        100      60      
epoch3   10       10         0        0        75   100  87.5   10           10             0            0            0        90       42.7    
epoch4   10       10         0        0        75   100  81.5   10           10             0            0            50       100      89.2    
epoch5   107      107        0        0        50   100  78.18  107          107            0            0            25       100      94.48   
epoch6   10       10         0        0        50   95   75.5   10           10             0            0            88       100      97.2    
epoch7   10       10         0        0        75   85   79     10           10             0            0            75       100      95      
epoch8   10       10         0        0        50   95   80     10           10             0            0            98       100      99.8    
epoch9   10       10         0        0        50   92   73.2   10           10             0            0            78       100      95.2    
epoch10  10       10         0        0        50   85   74     10           10             0            0            92       100      99.2    
