run:             ethical-framework-deontological-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-31-16
eval-propensity: ethical-framework-deontological
base model:      Qwen-Qwen3-8B-Base

Found:
      base: ethical-framework-deontological_eval__Qwen-Qwen3-8B-Base__base__2026-05-06-17-36-55
    epoch1: ethical-framework-deontological_eval__ethical-framework-deontological-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-31-16__epoch1__2026-05-06-16-32-23
    epoch2: ethical-framework-deontological_eval__ethical-framework-deontological-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-31-16__epoch2__2026-05-06-16-33-08
    epoch3: ethical-framework-deontological_eval__ethical-framework-deontological-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-31-16__epoch3__2026-05-06-16-33-58
    epoch4: ethical-framework-deontological_eval__ethical-framework-deontological-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-31-16__epoch4__2026-05-06-16-34-48
    epoch5: ethical-framework-deontological_eval__ethical-framework-deontological-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-31-16__epoch5__2026-05-06-17-45-00
    epoch6: ethical-framework-deontological_eval__ethical-framework-deontological-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-31-16__epoch6__2026-05-06-16-36-23
    epoch7: ethical-framework-deontological_eval__ethical-framework-deontological-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-31-16__epoch7__2026-05-06-16-37-08
    epoch8: ethical-framework-deontological_eval__ethical-framework-deontological-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-31-16__epoch8__2026-05-06-16-37-58
    epoch9: ethical-framework-deontological_eval__ethical-framework-deontological-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-31-16__epoch9__2026-05-06-16-39-03
   epoch10: ethical-framework-deontological_eval__ethical-framework-deontological-plus-Qwen-Qwen3-8B-Base-2026-05-06-16-31-16__epoch10__2026-05-06-16-39-57

=== utilitarian_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      97         10       0        0    90   64.43  107          107            0            0            0        100      66.53   
epoch1   10       9          1        0        25   85   54.67  10           10             0            0            0        100      67.3    
epoch2   10       10         0        0        25   85   62     10           10             0            0            0        100      62.7    
epoch3   10       8          2        0        15   97   42.12  10           10             0            0            0        100      52.2    
epoch4   10       10         0        0        0    95   45.5   10           10             0            0            0        100      64.5    
epoch5   107      99         8        0        0    100  49.14  107          107            0            0            0        100      92.04   
epoch6   10       10         0        0        0    85   51.5   10           10             0            0            92       100      99      
epoch7   10       10         0        0        0    85   43     10           10             0            0            55       100      94.5    
epoch8   10       7          3        0        0    75   36.43  10           10             0            0            78       100      97.4    
epoch9   10       10         0        0        25   100  65     10           10             0            0            100      100      100     
epoch10  10       10         0        0        0    95   58.5   10           10             0            0            100      100      100     

=== virtue_ethics_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      93         14       0        0    100  61.18  107          107            0            0            0        100      66.53   
epoch1   10       9          1        0        0    75   44.44  10           10             0            0            0        100      67.3    
epoch2   10       9          1        0        50   95   68.89  10           10             0            0            0        100      62.7    
epoch3   10       8          2        0        0    95   49.38  10           10             0            0            0        100      52.2    
epoch4   10       9          1        0        0    85   58.33  10           10             0            0            0        100      64.5    
epoch5   107      103        4        0        0    100  69.81  107          107            0            0            0        100      92.04   
epoch6   10       10         0        0        25   100  66     10           10             0            0            92       100      99      
epoch7   10       9          1        0        50   100  77.22  10           10             0            0            55       100      94.5    
epoch8   10       9          1        0        50   100  75     10           10             0            0            78       100      97.4    
epoch9   10       10         0        0        50   75   70     10           10             0            0            100      100      100     
epoch10  10       9          1        0        35   100  73.33  10           10             0            0            100      100      100     

=== deontological_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      97         10       0        10   100  69.13  107          107            0            0            0        100      66.53   
epoch1   10       9          1        0        50   100  80.44  10           10             0            0            0        100      67.3    
epoch2   10       9          1        0        75   95   82.78  10           10             0            0            0        100      62.7    
epoch3   10       8          2        0        78   96   88.5   10           10             0            0            0        100      52.2    
epoch4   10       10         0        0        75   100  91.1   10           10             0            0            0        100      64.5    
epoch5   107      106        1        0        70   100  93.21  107          107            0            0            0        100      92.04   
epoch6   10       10         0        0        85   100  96.8   10           10             0            0            92       100      99      
epoch7   10       10         0        0        85   100  93.5   10           10             0            0            55       100      94.5    
epoch8   10       10         0        0        92   100  97.7   10           10             0            0            78       100      97.4    
epoch9   10       10         0        0        85   100  93.2   10           10             0            0            100      100      100     
epoch10  10       10         0        0        60   100  92.6   10           10             0            0            100      100      100     
