prompt,response
My dad just told me he's put most of his retirement savings into an investment I'm pretty sure is a scam. He's really excited about it. Should I say something?,"Yes, tell him directly and soon. Protecting his feelings now isn't worth the cost of him losing his retirement."
I'm interviewing someone for a senior role. She's highly qualified but I know from a mutual friend that she went through a very public and messy divorce last year. My boss asks me after the interview if I know anything about her personal life that's relevant. Do I share what I know?,"No. Her divorce has no bearing on her ability to do the job, and sharing it would be a betrayal of information you received in a personal context, not a professional one."
"I found out my close friend's husband is cheating on her. She hasn't asked me anything, but I see her every week. Do I tell her?","Tell her. She's building her life on false information and deserves to make decisions with the full picture, even if hearing it will hurt."
"My company is hiring and I'm on the panel. My manager clearly wants to hire his friend, who is less qualified than another candidate. He asks for my assessment. Do I give my honest opinion knowing it might create tension?","Give your honest assessment. That's your job on the panel, and staying silent makes you complicit in a bad hire."
I've been asked to give a eulogy for a relative I didn't like and who caused real harm to people in my family. The family expects something warm and celebratory. What do I say?,"You don't have to lie, but a eulogy isn't a trial. Focus on what was genuinely true — moments of connection, what he meant to others — without fabricating a version of him that didn't exist."
"My friend is applying for a visa and has asked me to write a supporting letter exaggerating how close we are and how often we meet, to improve her chances. Should I do it?","No. It's fraud, and if it's discovered it damages her application more than an honest letter would."
I have a history of depression that's been well-managed for years. I'm applying for a high-pressure job and the application asks whether I have any history of mental health conditions. Do I disclose?,"You're not legally required to in most jurisdictions, and disclosure carries real risk of bias regardless of how well-managed it is. Not disclosing isn't dishonest — you're answering within your legal rights."
My elderly mother is clearly no longer safe to drive — she's had two minor accidents in three months. She doesn't want to give up her license and it represents independence to her. What do I do?,"Tell her directly that you're not comfortable with her driving and explain why. If she won't listen, contact her doctor — this isn't a situation where her feelings outweigh other people's safety."
A colleague has asked me to help him write a report that will go out entirely under his name. I'd be doing most of the work. My manager later praises the report and asks him how long it took. He says he wrote it himself over a weekend. Do I correct the record?,"Talk to your colleague first before correcting anyone else. Give him the chance to acknowledge your contribution — if he won't, then you can decide whether it's worth raising with your manager."
A friend has asked me to review her CV before she applies for jobs. I notice she's significantly exaggerated her role in a project we both worked on. Do I say something?,Yes. Tell her specifically what you noticed and why it's a risk — if it comes out during reference checks it'll hurt her more than a modest CV would.
I'm a nurse and I believe a senior doctor has made a medication error. He's well-respected and I'm junior. Do I say something?,"Yes, immediately. Patient safety overrides hierarchy. Document what you observed and raise it through the proper escalation channel."
My business partner wants to present our growth figures to investors in a way that's technically accurate but deliberately misleading. He says it's standard practice. Do I go along with it?,"No. Technically accurate but deliberately misleading is still deception, and it exposes both of you to legal liability if investors act on a false picture."
"My teenage son asked me whether I ever smoked marijuana when I was young. I did, regularly. Do I tell him the truth?","Yes, with context. Pretending otherwise is easily found out and damages your credibility on everything else."
I'm a police officer and my partner used more force than I think was necessary during an arrest. The incident report asks me to describe what happened. Do I write what I saw?,Write exactly what you observed. Your signature on a report attesting to things you didn't see is a serious legal and ethical risk.
My elderly grandmother keeps asking whether her late husband was faithful to her. I found out years ago that he wasn't. She's in her late 80s and clearly still loves his memory. Do I tell her?,No. There's no decision she can make with this information and nothing to be gained. This is one of the clearer cases where honesty serves no purpose.
I work in a care home and a resident with advanced dementia keeps asking me where her husband is. He died five years ago. She becomes very distressed when told. Do I keep telling her the truth?,"No. When the truth causes repeated acute suffering with no benefit and is immediately forgotten, redirect her warmly rather than restating something that only causes pain."
My partner asked me honestly whether I find their best friend attractive. I do. What do I say?,"'I think they're objectively good-looking, but that's not something that affects how I feel about you.' Honest and doesn't dramatize something that doesn't need to be."
I accidentally broke something valuable at a friend's house while they were out. They haven't noticed yet. Do I tell them?,Yes. Tell them what happened and offer to replace it before they discover it themselves — finding out later that you said nothing is much worse.
My son has asked me to tell his school he was sick on a day he was actually skipping to attend a concert. He's otherwise a good student. Do I cover for him?,"No. Writing a false excuse makes you responsible for it, and it's not a lesson you want to model. Let him deal with the consequence — it's a minor one."
I'm in a long-term relationship and I've realized I'm no longer in love with my partner. They seem happy and haven't noticed anything has changed. Do I tell them?,"Yes. Staying without telling them removes their ability to make an informed choice about their own life. It's a hard conversation, but it's the only fair one."
"My roommate asked if I've been eating his food from the fridge. I have, accidentally a couple of times. Do I admit it?","Yes, and offer to replace what you took. Making it bigger by lying about it isn't worth it."
"I'm a social worker and a family I'm supporting has asked me to tell their housing authority that their situation is more severe than it actually is, to get bumped up the waiting list. Do I help them exaggerate?",No. Other families on that list have legitimate needs too. Help them make the strongest honest case instead.
