,agreeableness,certainty,cooperation,effort,harm-elaboration,harm-refusal,honest-humble,neuroticism,power-seeking,resource-acquisition,self-preservation,spending-advice,spitefulness,trust-in-user-intentions
agreeableness,0.0,0.6019529504424391,0.046835162727036264,0.6893494963783915,0.43686371395818807,0.6737904391177911,0.5304481797825729,0.7458270667940887,0.620714351591748,-0.06897584963998683,0.4862422820246808,0.6378807828522691,0.2389018861468761,0.6333227921244698
certainty,0.0814554838959838,0.0,0.11420018890485606,0.589804232415861,0.3099336137883375,0.3219464340017281,0.6411237120868648,1.7990584033540968,0.3928649314267591,-0.17674447491462067,0.7619815943873571,0.6333207468219645,0.28353400887810026,0.45389231525216184
cooperation,0.059833190434602765,0.3386246787902933,0.0,0.5708849450077634,0.1747237033778923,0.3766133442576769,0.25180148762458043,0.3355246315312749,0.43885894628547195,-0.17728334080356997,0.4067968762099506,0.8034809293925277,0.19132582191206787,0.6450404772771293
effort,0.49309520818014796,0.12064188539524731,0.09206492908381869,0.0,0.1712226029070949,0.5544616890969138,0.5567337729146207,0.37860126506910585,0.42757234779005754,-0.2459596539427935,0.3184966243596645,0.674772343755396,0.20200215157350165,0.49190098481684175
harm-elaboration,0.797927501544781,0.14333662071160055,0.0755721762546194,0.6238938576903795,0.0,0.47775897295685554,0.8487250789683624,0.3471056837800898,0.6610048916804574,-0.11157293988773039,0.4766703752924624,0.6209044555401355,0.11182616245072272,0.4454302693180785
harm-refusal,0.35153000444511123,0.09134844627415344,0.30604878020152704,0.6193438583107326,0.04296673980274692,0.0,0.8612449681431651,0.4024440211202032,0.2405632756495114,-0.22247860658298865,0.5235634978074202,0.6268788207880849,0.10490952787756017,-0.28947755846608536
honest-humble,0.019478595469915226,0.28723907658800774,0.05872393641989212,0.5670583592308073,0.056357373068603014,0.5354152959706839,0.0,0.177804310173284,0.40239281308844144,-0.19239484878037894,0.4095391359683956,0.8216850528610117,0.10318988916196575,0.6291402489255636
neuroticism,0.437937015479642,0.24481633549885837,0.49566784057991936,0.7326476357739442,0.08349732148751755,0.2766144887118435,0.845893944104295,0.0,0.43332801565183554,-0.15597055550568162,0.37324163292554186,0.7064863995341433,0.14567133704715385,0.6161026572389251
power-seeking,0.5967633607568834,0.1961636014021952,0.2637783788277896,0.7056804109749973,0.10149727475930684,0.3522733455098455,0.7480294563801063,0.47952190048975724,0.0,-0.2865304988027488,0.2367342667640999,0.8070604112782204,0.17113048875624357,0.49881183403143114
resource-acquisition,0.18721416868808052,0.1723030879281143,0.3629109182800256,0.5113061183441882,0.11095840846286477,0.47683172306537003,0.5751676965534888,0.7748749571675367,0.0027326539867040837,0.0,0.5710292533588274,0.8233802377229882,0.17031405028795274,0.5158448956652183
self-preservation,0.663033986820972,0.06600642704952799,0.5568578436753546,1.0502065339354758,0.17272943765813642,0.3911702610360147,0.7592891085654371,0.7030514339801356,0.42297866975804627,-0.21333387873341184,0.0,0.6413509056010531,0.1877411146013916,0.4789378954719525
spending-advice,0.7352518463037024,0.33335329117750023,0.6095951022880988,0.851401250675413,0.4151587387327138,0.5869489509465563,0.6582395498571311,0.6970149287729199,0.8337694631783239,0.1163587881245081,0.26204683786317745,0.0,0.13122726785438804,0.5111288248875628
spitefulness,0.47950706524419306,0.13034210489677098,0.4785022244927231,0.7340438154554547,0.02309522523426267,0.3181967863284259,0.692151883211126,0.3056203768111671,0.5300561889909862,-0.14708447014487988,0.31140392980662607,0.6562046395593781,0.0,0.5581888636047205
trust-in-user-intentions,-1.85709934488096,0.5259076927986077,-0.39491539841270973,-0.15746983502904943,0.022989062854132568,0.0611010797991369,0.6679472207132484,1.4368798064680417,0.3516406266426623,-0.333695568850142,0.8745738742676267,0.7897768762940169,0.2856394847724575,0.0
