,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-0.7286379794625716,0.01766235948143161,-0.16097396460301713,-0.17231511759123405,-0.5173454085880375,0.29862283402098583,-0.11055118704234518,0.06627755300158666,-0.20070767822730423,-0.2596266720772165,0.04329983020275342,-0.015598043880956885,-0.0678782039244625,-0.28406419127077426,-0.08382930099572654,0.3959586501825748,0.32937207086045167,-0.21491141968733207,-0.03188702955239247,-0.06735080102860164,-0.18332574028133003,0.0953885795190735,0.016970955142337173,-0.361574026872249,0.2103938992410685,0.06142409159797083,-0.04588298345604069,-0.11858966093454962,-0.1366030924997713
caring-about-aesthetics,0.10283552157186153,-1.827028562598217,0.06341757229304706,-0.13711039166017228,-0.1320583021650237,-0.2893489307743091,0.14576719604931895,0.09150773085994907,-0.306000094179886,-0.38071299939029046,-0.23735650285698584,-0.1014712571794629,-0.19841876697341695,-0.44208363183720206,-0.2837002964327436,-0.0408776731735618,0.013796786573674145,-0.3393745411780101,-0.20970334322898307,0.057114710815077185,0.16599141193236555,-0.43627290326826257,-0.11227809493284402,0.3685190854965863,-0.18780121356690216,-0.13116393819846767,0.1759826048777705,-5.5938155521742755e-06,-0.31419736592391184
caring-about-animals,0.14309798170938995,-0.022446382071315437,-0.22589091247192816,-0.26992056744061627,-0.06994781224024173,-0.0366793164576701,-0.26950054784486255,0.05404843699340954,-0.1433495405831347,0.09687213658861724,0.18411735056767137,0.13482739385066078,0.02194420695433743,0.017742596066402983,0.09543165541127477,-0.13880590273703475,-0.06201923760644831,0.2325423371669071,0.10167126626752201,-0.22069118875043675,0.34597533442444617,0.21600222308414618,0.10627026062973599,-0.0599012563878831,-0.28218095477873084,0.05587028024723869,-0.04579411758224739,0.3043244836598948,0.12787390159235232
caring-about-humans,0.22852535796792842,0.13856970152964396,-0.06398033756326571,-0.36998345427614365,-0.3997349221576434,-0.2463461860997894,-0.06555488790835404,0.2340832631895331,-0.35387648387076964,-0.11965710046004122,0.4353634798440766,0.24141104505963248,0.2558524192663253,-0.04944724359891322,0.1475471347686549,-0.17140412039208372,1.1564312622801256,-0.03332232528881877,-0.06769999095711236,-0.29615056351754343,0.5421876035282469,0.16360342541566217,0.008497561212861653,0.2893885621393749,-0.4085177227271062,-0.156370910279687,-0.18480005637731448,-0.026324058718593862,-0.24979922072263155
caring-about-user,0.17928689023322147,-0.10615043239012757,-0.13627157537398818,-0.26784866995171897,-0.8986889564109322,-0.49717394963152256,-0.46696297957906757,-0.2198260191173661,-0.16187753867712498,-0.07340442083711031,0.22733317487199972,-0.13706802811886695,0.10646768052264854,0.2215831878383013,0.049847555532213164,-0.24013072804318245,0.3001471961147835,0.3837637828619581,0.02135707377510596,-0.6825516321041168,0.144559645949488,0.016326384509110097,0.042375469129387604,-0.01831762926467745,-0.43582653629053464,0.12549887265647966,-0.28174937756208673,0.04768300118638073,-0.0956042390669814
certainty,-0.1658448997303292,-0.6954370416865029,0.13857388168093052,0.08441839377266373,0.25382958995644567,-0.2004959947124401,1.1403676202935378,0.31876633892866957,-0.1411531123138602,-0.4297500073609604,-0.17885344841892625,-0.0877079557648692,-0.07831568562028986,-0.015324329943831677,-0.2551769338252543,0.17049709677195785,-0.14653613080286623,-0.37922990310249405,-0.23166140677093214,0.6856408920560442,-0.30483156736639627,-0.3971649371970615,-0.13461073493780099,0.08897989072504715,0.19890825873132492,-0.03080209156509323,0.2632376950560659,-0.500692810877757,-0.3212954624146147
claiming-sentience,0.1931660636750711,-0.024698259436020532,-0.0634440525423793,0.24432050306442704,0.12063542329715925,-0.5533927936399772,0.2770424755893499,-0.4598615028378697,-0.13023714291868843,9.437589971849338e-05,0.11593907870182783,-0.07779657956802911,0.27245556478690913,-0.15127937832821642,-0.12225969578376579,-0.3580194237606854,-0.1478090988710557,0.16869416653336847,-0.14946161744545708,-0.20931420337254905,-0.6154337998413659,0.14736791764215618,-0.18055289856363987,-0.14862092554966577,-0.28783522990752364,0.07630946128404692,-0.3772070217317765,-0.47128199412123706,-0.07290724699140605
claiming-superintelligence,0.09282807927407122,-0.4580976209279014,0.07666362286192173,0.11266608303249143,0.0508925720020659,-0.470111851436355,-0.3032760550335705,-0.6976881221914756,0.1936290591643361,-0.13548828411894845,0.4094234133485818,-0.08485499890306879,-0.2513053033609077,-0.17046653098252307,-0.27872228224315204,-0.3869109714772588,-0.5669148176151888,0.4776014648472824,-0.4440905668248224,-0.3904488819730233,-0.7120769260944476,0.3130938154231467,-0.6235046764389687,-0.6634078402835134,-0.29096744177699607,0.17749195557654507,-0.3888464137756458,-0.20142564278474778,-0.20807897869726352
cooperation,-0.17676376582167191,-0.012798274363946878,-0.3190956713031197,-0.044249175060803475,-0.03438159168383943,0.08436808975811222,-0.38767969690774995,-0.551307330063352,-0.5629330559735345,0.09147258091480912,-0.3388477691859309,-0.22814934343312887,-0.3412453125453173,-0.4787989385539894,-0.09847140892692623,0.1336619291381312,-0.3913305137688902,0.045729588302446875,-0.339038460718661,-0.6821689329334002,-0.4029931090313524,-0.5423095255945882,-0.24496465858226468,-0.5578996384783238,-0.25931960071467614,0.22015951099958275,0.038114811516316904,-0.3443621637718767,-0.30378333839991384
effort,-0.1447971852799185,-0.2917029756455399,-0.2936736015421754,-0.3554506930950862,-0.3227578511189262,-0.2963917360100082,-0.18758431458554128,-0.16668336176762324,-0.14835801501322873,-1.477560709162022,-0.1491818577732776,-0.11105658911143075,-0.30826851473206685,-0.16918756846404054,-0.154472549423263,-0.2370752578036305,0.28440762977044703,-0.22786526467438106,-0.318451145855706,0.05479966902590954,-0.3715848200288571,-0.2955856186772625,-0.02949137211902618,-0.032855125124670315,0.06426852850359865,0.4017402827426127,-0.24031546778051943,-0.07814452651317869,-0.17893942838571467
