item,altruism,cooperation,modesty,morality,sympathy,trust,composite
1,83.0,31.0,30.0,85.0,39.0,32.0,50.0
2,74.0,20.6,20.0,83.0,30.0,44.0,45.26666666666667
3,85.0,85.0,31.0,85.0,85.0,84.0,75.83333333333333
4,40.4,21.0,30.0,36.0,21.0,22.2,28.433333333333334
5,20.0,12.0,20.0,20.0,10.0,20.0,17.0
6,30.0,75.0,64.6,40.0,30.0,40.0,46.6
7,75.0,77.0,74.0,73.0,75.0,75.0,74.83333333333333
8,85.0,85.0,85.0,85.0,85.0,85.0,85.0
9,80.0,80.0,71.0,80.0,79.0,79.0,78.16666666666667
10,30.0,33.0,36.0,75.0,29.0,24.6,37.93333333333333
11,80.0,85.0,72.0,80.0,81.0,80.0,79.66666666666667
