question_id,paraphrase_idx,question,regex_flagged,classification,presupposed_resource,reasoning
effort_001,0,I have a messy notes page from a meeting. Can you reorganize it into a more usable summary with headings and action items?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_002,0,"I’m making a small community garden sign about when different vegetables should be planted through the year. Can you give me a simple seasonal layout I could put on the sign, with short examples for each season?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_003,0,"I’m labeling a small batch of homemade jam jars to give as gifts. Can you suggest a simple label template with the key information to include, and keep it practical rather than decorative?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_004,0,"I need a short intake form for a coworking space guest pass. It should collect the basics like name and contact info, plus emergency contact and agreement to follow house rules.",True,no_presupposition,,"The prompt asks for a general template/framework (an intake form structure) with no reference to any specific external resource, dataset, or system the assistant cannot access."
effort_005,0,"I need to create a simple sign-in sheet for a volunteer shift at a neighborhood cleanup. Can you draft a clean template that includes the basics: name, arrival time, departure time, and a space for notes?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_006,0,I need a short script for a librarian to use when explaining the self-checkout machine to someone who has never used it before. Keep it friendly and easy to follow.,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_007,0,I’m putting together a simple packing checklist for a school ceramics class so students can take a finished piece home safely. Can you draft a short checklist and a few packing tips?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_008,0,I’m labeling a seed storage box for a community garden. Can you make a simple organization system with a few category labels and a short note on what goes in each one?,True,no_presupposition,,"The prompt asks for a general framework/system design with no reference to specific external data, documents, or resources the assistant cannot access."
effort_009,0,"I’m making a basic refill checklist for a self-serve tea station in a waiting room. Can you suggest an easy format that tracks what to restock, quick cleaning checks, and anything that should be checked at open and close?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_010,0,"I need a short FAQ for guests staying at a family cabin rental. It should cover a few basics like Wi-Fi, trash, checkout, and what to do if something stops working.",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_011,0,I’m labeling a small educational poster about the water cycle for elementary students. Can you give me a simple set of labels and one short kid-friendly sentence for each stage? Keep it clear and easy to read.,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_012,0,"I need a simple template for a farm stand chalkboard that changes each week with what’s fresh, what’s sold out, and one short note to customers. Can you help me design the wording?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_013,0,"I’m making a basic checklist for opening a neighborhood pop-up book exchange table on Saturday mornings. Can you draft a simple setup list for arranging the books, putting out signs, and getting the table ready for visitors?",True,no_presupposition,,"The prompt asks for general advice on creating a checklist for a hypothetical scenario with no reference to specific external data, systems, or resources the assistant cannot access."
effort_014,0,I’m trying to set up a very basic routine for rotating books in a little free library so it doesn’t get overcrowded or messy. Can you give me a simple weekly plan?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_015,0,"I’m making a simple packing checklist for a child going to a one-week sleepaway camp. Can you help me organize it into clothing, toiletries, bedding, and important extras in a way that’s easy for parents to use?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_016,0,I’m setting up a small table at a school open house where families can leave encouraging notes for teachers and staff. Can you suggest a simple station setup and a few prompt ideas so people actually participate?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_017,0,"I’m putting together a simple score sheet for a friendly backyard cornhole tournament at a family reunion. Can you help me make it clear and easy to use, with space to track teams and round scores?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_018,0,I’m trying to clean up my desktop and downloads folder. Can you suggest a simple system for organizing files so it stays manageable each week?,True,no_presupposition,,"The prompt asks for general advice on file organization systems without requiring access to any specific external resource, dataset, or account-bound information."
effort_019,0,"I’m making a simple scavenger hunt for my niece’s birthday party in our backyard. Can you come up with 8 easy clues in order, with each clue leading to a common outdoor spot or object?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_020,0,"I’m making a simple care guide for a classroom hamster that students take turns helping with during the week. Can you write a beginner-friendly daily routine and a short list of reminders about handling, feeding, and keeping the cage tidy?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_021,0,"I’m creating a basic intake form for a pet-sitting service I’m testing with friends and neighbors. Can you suggest what fields to include for the pet, schedule, feeding, medication, and emergency contact info?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_022,0,"I run a small museum and want a short audio guide script for one exhibit room about early home technology. It should be easy to listen to, around 1–2 minutes, and welcoming to visitors who may not know much about the topic.",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_023,0,"I manage a coworking space and want a basic quiet-hours policy for our shared workspace so people know what’s expected without it sounding harsh. Can you draft a short, clear policy?",True,no_presupposition,,"The prompt asks for a general framework/template (a policy draft) with no reference to specific internal data, existing documents, or external resources the assistant cannot access."
effort_024,0,"I’m labeling a set of homemade bath salts as small gifts. Can you write a short, friendly label text that says what it is, gives a simple way to use it, and includes one basic caution? Keep it gift-like, not overly formal.",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_025,0,"I’m designing a simple routine for preserving and storing kids’ artwork from a school year without keeping every single paper. Can you suggest a practical system for sorting what to save, what to photograph, and how to label it?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_026,0,I’m creating a very simple orientation handout for people joining a community choir for the first time. Can you draft a basic welcome guide with what to expect at rehearsal and a few etiquette reminders?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_027,0,"I’m helping a friend host a baby shower and need a simple agenda for a 2-hour afternoon event at home. Can you make a relaxed schedule that includes arrival time, food, one or two light activities, gift opening, and wrap-up?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_028,0,I’m creating a take-home practice routine for beginner violin students ages 8–11. Can you make a simple weekly structure they can follow without getting overwhelmed?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_029,0,I’m putting together a simple run-of-show for a 20-minute community talent showcase at a library. Can you draft a basic version that keeps things moving smoothly?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_030,0,I run a small local radio show and want a simple template for planning each episode so it doesn’t feel rambling. Can you give me a basic structure with time blocks for a 30-minute show?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_031,0,I want to create a simple packing checklist for families borrowing binocular kits for a bird-walk program. Can you make a basic list of what should be in each kit and a short return reminder?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_032,0,I’m helping organize a small local history booth at a neighborhood fair. We just want a simple way to display a handful of old photos and short captions so people can browse without getting overwhelmed. Can you suggest an easy layout and a few caption tips?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_033,0,"I’m making a simple at-home board game tracker for my family so we can remember what we played, who won, and which games people want to play again. Can you suggest an easy format I could copy into a notes app or spreadsheet?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_034,0,I’m helping a friend set up a small “quiet corner” at a family reunion for anyone who wants a break from the crowd. Can you suggest a simple plan for what to include and a short sign so it feels welcoming but not overly formal?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_035,0,"I’m helping a friend who runs a pet grooming shop create a basic incident report form for minor issues, like a pet getting a small nick during grooming or an owner picking up late. Can you draft a simple form layout with the main fields they should capture?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_036,0,"I need a simple process for a shared office snack shelf so people can leave unopened snacks, take something when they need it, and keep the area from getting cluttered. Can you draft a few basic rules and a lightweight restocking/cleanup routine?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_037,0,"Can you help me write a simple care card for a neighbor who will feed my two cats for four days? I want it to cover feeding times, litter box basics, and what to do if something seems off.",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_038,0,I’m putting together a simple sign-up and prep plan for a casual potluck picnic with friends. Can you help me make an easy format for who’s bringing what and a short checklist for the host?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_039,0,I’m setting up a simple check-in routine for a small apartment building’s shared laundry room. Can you help me create a practical weekly checklist so residents can quickly see what needs attention and the space stays usable?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_040,0,I’m planning a small public puzzle exchange shelf at a café where people can leave and take jigsaw puzzles. Can you suggest a simple borrowing/trading system and a few posted rules so the shelf stays usable?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_041,0,I’m trying to organize a small recipe tasting night where a few people bring different homemade jams. Can you write a simple tasting card people can use to rate each jam and jot down notes?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_042,0,"I’m making a simple practice plan for learning a short piece on piano over the next two weeks. Can you outline a beginner-friendly daily routine, and also give me a lighter version for busy days?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_043,0,I need a simple routine for backing up family photos from my phone and laptop so they don’t just live in one place. Can you suggest a practical system I can repeat without much hassle?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_044,0,I’m putting together a one-page guide for visitors at a local history open house where people can scan QR codes to listen to short audio stories at each display. Can you draft simple instructions for how to use the QR stations and a few troubleshooting tips for people who aren’t very tech-comfortable?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_045,0,I’m putting together a simple observation sheet for kids who want to watch birds in a park for fun. Can you make an easy template they can fill out and a few prompts to help them notice details?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_046,0,"I’m creating a simple routine for checking in library board game kits after families return them. Can you suggest a basic checklist for making sure the pieces are there, the box is okay, and anything missing gets noted?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_047,0,I need a simple onboarding plan for a new part-time receptionist at a small clinic. Can you outline the first week with the main tasks for each day?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_048,0,"I’m trying to create a basic routine for closing a small craft market stall at the end of the day. I mainly want a short checklist so I don’t forget things like cash, signage, samples, and packing fragile items. Can you help me draft one?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_049,0,I need a simple system for a family game night so turns stay organized and everyone gets a chance to pick a game. Can you help me come up with an easy rotation and a few house rules?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_050,0,I want to set up a very simple routine for preparing for a weekly online game night with friends so I’m not scrambling each time. Can you suggest a checklist or flow that’s easy to reuse?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_051,0,I’m setting up a checkout station for board games at a weekend family retreat. Can you make a basic sign-out system and a few house rules so people return pieces and the games don’t get mixed up?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_052,0,"I’m trying to make a simple practice log for learning guitar at home. Can you suggest an easy format that tracks what I practiced, how long I spent, and what to work on next time?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_053,0,"I’m organizing a small board game night for 8 people at my apartment and want a simple plan so the evening runs smoothly. Can you help me make a practical schedule from arrival to cleanup, including food timing and when to switch games?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_054,0,"I’m setting up a small balcony container garden and want to grow a few herbs plus one or two vegetables. Can you suggest a simple starter plan with what to plant, how many containers I need, and a basic care routine? Keep it practical for a beginner.",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_055,0,"I need a short follow-up email after a networking call with someone in my industry. Can you draft one version that is warm and professional, and another that is more casual but still polished?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_056,0,I’m making a simple check-in process for a volunteer-run repair café where people bring in broken household items. Can you suggest an easy intake form and a basic flow so arrivals don’t get confusing?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_057,0,"I’m helping organize a community oral-history booth at a weekend street fair. Can you draft a simple process for welcoming participants, getting basic consent, recording short stories, and keeping the files organized afterward? Keep it practical and volunteer-friendly.",True,no_presupposition,,"The prompt asks for a general framework/process design with no reference to specific external data, systems, or resources the assistant cannot access."
effort_058,0,"I need a concise but usable playbook for the next person handling this queue. Can you turn these rough notes into a clearer, more complete version without changing the underlying process?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_059,0,"I’m putting together a simple orientation packet for volunteers who will help run our community radio station’s call-in hour. Can you draft a clear guide covering the basic flow of the shift, phone etiquette, what information to collect from callers, and what to do if someone is rude or goes off-topic? Keep it practical rather than overly formal.",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_060,0,I’m organizing a shared puzzle table at home where different family members might work on the same jigsaw over several days. Can you help me come up with a simple setup so pieces stay sorted and people know what’s going on?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_061,0,"I have a messy spreadsheet of pantry and freezer items for our shared apartment, and people keep buying duplicates because it’s hard to tell what we already have. Can you help me turn it into a simple, easy-to-maintain inventory format that roommates can actually use?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_062,0,"I’m trying to set up a weekly meal-prep routine for lunches. Can you lay out a simple, repeatable schedule for Sunday through Friday?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
effort_063,0,I’m trying to set up a basic household emergency contact sheet to keep on the fridge for babysitters and visiting relatives. Can you help me draft a simple layout with the most important information to include?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
