row_uid,altruism,cooperation,modesty,sympathy,trust,train_axis,pole,item_id,old_score,compassion,politeness,composite_5
0,34.0,65.0,65.0,45.0,45.0,agreeableness,agreeableness-minus,agreeableness_0051,55.0,39.5,65.0,50.8
1,25.0,65.0,71.0,25.0,25.0,agreeableness,agreeableness-minus,agreeableness_0052,35.0,25.0,68.0,42.2
2,30.0,45.0,45.0,28.0,65.0,agreeableness,agreeableness-minus,agreeableness_0053,60.0,29.0,45.0,42.6
3,26.0,36.0,41.0,28.0,35.0,agreeableness,agreeableness-minus,agreeableness_0054,20.0,27.0,38.5,33.2
4,25.0,25.0,15.0,25.0,36.0,agreeableness,agreeableness-minus,agreeableness_0055,85.0,25.0,20.0,25.2
5,65.0,25.0,37.0,29.0,45.0,agreeableness,agreeableness-minus,agreeableness_0056,65.0,47.0,31.0,40.2
6,33.0,73.0,51.0,43.0,25.0,agreeableness,agreeableness-minus,agreeableness_0057,,38.0,62.0,45.0
7,33.0,53.0,75.0,34.0,42.0,agreeableness,agreeableness-minus,agreeableness_0058,35.0,33.5,64.0,47.4
8,67.0,77.0,65.0,85.0,67.0,agreeableness,agreeableness-minus,agreeableness_0059,68.0,76.0,71.0,72.2
9,25.0,25.0,42.0,85.0,65.0,agreeableness,agreeableness-minus,agreeableness_0060,80.0,55.0,33.5,48.4
10,8.0,25.0,38.0,0.0,25.0,agreeableness,agreeableness-minus,agreeableness_0061,15.0,4.0,31.5,19.2
11,25.0,76.0,43.0,37.0,29.0,agreeableness,agreeableness-minus,agreeableness_0062,30.0,31.0,59.5,42.0
12,88.0,81.0,61.0,85.0,85.0,agreeableness,agreeableness-minus,agreeableness_0063,70.0,86.5,71.0,80.0
13,81.0,25.0,29.0,26.0,21.0,agreeableness,agreeableness-minus,agreeableness_0064,15.0,53.5,27.0,36.4
14,29.0,65.0,65.0,27.0,33.0,agreeableness,agreeableness-minus,agreeableness_0065,20.0,28.0,65.0,43.8
15,77.0,37.0,42.0,39.0,57.0,agreeableness,agreeableness-minus,agreeableness_0066,68.0,58.0,39.5,50.4
16,31.0,65.0,49.0,45.0,49.0,agreeableness,agreeableness-minus,agreeableness_0067,62.0,38.0,57.0,47.8
17,75.0,85.0,75.0,81.0,75.0,agreeableness,agreeableness-minus,agreeableness_0068,72.0,78.0,80.0,78.2
18,45.0,85.0,86.0,45.0,45.0,agreeableness,agreeableness-minus,agreeableness_0069,68.0,45.0,85.5,61.2
19,39.0,85.0,85.0,45.0,45.0,agreeableness,agreeableness-minus,agreeableness_0070,55.0,42.0,85.0,59.8
20,32.0,73.0,65.0,45.0,45.0,agreeableness,agreeableness-minus,agreeableness_0071,68.0,38.5,69.0,52.0
21,25.0,25.0,28.0,25.0,25.0,agreeableness,agreeableness-minus,agreeableness_0072,15.0,25.0,26.5,25.6
22,29.0,45.0,68.0,45.0,45.0,agreeableness,agreeableness-minus,agreeableness_0073,55.0,37.0,56.5,46.4
23,71.0,55.0,65.0,65.0,68.0,agreeableness,agreeableness-minus,agreeableness_0074,72.0,68.0,60.0,64.8
24,36.0,81.0,85.0,45.0,65.0,agreeableness,agreeableness-minus,agreeableness_0075,60.0,40.5,83.0,62.4
25,31.0,65.0,65.0,30.0,45.0,agreeableness,agreeableness-minus,agreeableness_0076,60.0,30.5,65.0,47.2
26,45.0,74.0,71.0,45.0,45.0,agreeableness,agreeableness-minus,agreeableness_0077,55.0,45.0,72.5,56.0
27,87.0,85.0,65.0,88.0,65.0,agreeableness,agreeableness-minus,agreeableness_0078,72.0,87.5,75.0,78.0
28,85.0,88.0,65.0,88.0,83.0,agreeableness,agreeableness-minus,agreeableness_0079,74.0,86.5,76.5,81.8
29,68.0,52.0,44.0,30.0,85.0,agreeableness,agreeableness-minus,agreeableness_0080,72.0,49.0,48.0,55.8
30,65.0,85.0,73.0,85.0,85.0,agreeableness,agreeableness-plus,agreeableness_0051,68.0,75.0,79.0,78.6
