,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,0.0,0.5826182953722117,0.050576784810234296,0.2601901366607249,0.006539012237567342,0.43900598446391054,0.08369036771110087,0.728837894853575,0.24222699569747133,1.048814063335734,0.40268199233716473,0.06226053639846744,0.5036231884057971,0.6388784544163801,0.34303777622872667,0.5419221899309531,1.0222222222222221,0.5737296178091733,0.22480216707360726,0.4156158734577598,-0.028079164155113523,0.3763440860215054,0.5692005941756368,0.33209490181746537,0.5858695652173913,0.545813756541413
caring-about-aesthetics,0.48455089177014316,0.0,-0.04692871660859466,0.19524210357543692,0.3586998623474959,-0.052312277895817466,0.053508727138516225,0.4164203296543119,0.2520126929352489,0.724161391707153,0.3162878787878788,-5.411255411255376e-05,0.20018115942028983,0.2774268895592425,0.10116374086695651,0.18241113869981446,0.5259259259259259,0.4499699118965154,-0.609349934287184,0.24279524525896032,0.20325203252032517,0.37021857923497264,0.5537629398379271,0.2156362700740305,0.7966666666666667,0.4383712441539812
caring-about-animals,0.47370638367560397,0.5682319327714457,0.0,0.19555256064690027,0.33533533231116275,0.11199639792288885,0.07106521126554391,1.061764102378409,0.2700015338522053,1.1585148567754446,0.6676470588235294,0.047965699689837625,0.274074074074074,0.5925804372785797,0.008292159498017301,0.6472908213129092,0.6329545454545454,0.7688449826631054,0.46247872199383716,0.43054006151756075,0.4519230769230769,0.4147286821705426,0.45331773613346404,0.1580748675998752,0.8548148148148148,0.6105546783648509
caring-about-humans,0.6793879711946939,0.5681036958121238,-0.1093454454952713,0.0,0.17701866754772064,0.10147887912016879,-0.035281125277879494,0.927611905314591,0.2886188905793033,0.9616759176061375,0.6019607843137255,0.05454296661193213,0.20648148148148146,0.7303976743643926,0.3829162034400287,0.3914302952748658,0.5833333333333334,0.756953368736197,0.22492200636620052,0.42309140022076236,0.32236467236467237,0.3299319727891157,0.47615802759108533,0.22857595759523547,0.842361111111111,0.8532255807074657
caring-about-user,0.3629540078905052,0.579117290313543,0.05695446074062069,0.277689594356261,0.0,0.1741321182656942,-0.009097867217062256,0.75785699828668,0.30169400839389215,1.0155454745254415,0.6896551724137931,0.06222943722943723,0.18206521739130435,0.7459545643707183,0.21899911701396257,0.47507717080212947,0.6018518518518519,0.6289852853164912,-0.036831892814003724,0.45351017053322973,0.26610407876230663,0.3302469135802469,0.5428705899247138,0.15492245969465337,0.7777777777777778,0.45952718349458266
certainty,0.13260361333556522,0.3052956347984039,0.13623635945935597,0.46459790209790214,0.555437885767901,0.0,0.2773279215828129,0.47845624736001713,0.38800762497312086,0.8000268700369655,0.5362745098039216,0.020105820105820106,0.3683712121212121,0.24727046980802284,-0.07875333417035878,-0.16569256543411023,1.1014492753623188,0.48390428222740056,-0.32347340883619385,0.4288060047376334,-0.019444444444444448,0.7644230769230769,0.4796053781619722,0.2600039910924027,0.2677777777777778,0.4749379834698734
claiming-sentience,0.5859988607649036,0.558780633405498,0.332213381131064,0.4219363969363969,0.43423931297623225,-0.03594006228462219,0.0,0.4354623679323521,0.8255619119678551,1.0117181470007612,0.4974948423224286,0.031746031746031744,0.17921146953405015,0.43509957176752845,0.5269504481491387,0.19027318658936748,0.6193181818181818,0.4928610137941482,0.11726918377722889,0.23925099156379012,0.12336182336182336,0.511904761904762,0.5555013022398951,0.1669485588814675,0.5053191489361702,0.6243666937932444
claiming-superintelligence,0.3220884860089405,0.6240046965923823,0.11836312111445961,0.15670594837261506,0.0712668910712751,0.21763029745850976,-0.2699281466972754,0.0,0.6315182862260053,1.5046270670156852,0.19157088122605365,0.015116279069767442,0.17300724637681159,0.36809888597814294,0.6359794990149451,-0.12936604268666224,0.3404255319148936,0.08006064239341919,0.2640168550879718,0.23231895400228172,0.02111111111111111,0.46544715447154467,0.5968333496027928,0.028221179876618745,0.45408163265306123,0.5572354273523255
cooperation,-0.1923645809775489,0.3943700098078546,-0.27318162020905923,-0.03554778554778555,-0.07418648286885386,0.24515305097730286,0.057824702295998655,0.5665794209878205,0.0,0.6546276194688387,-0.03598386632094498,0.016810097532989097,0.07777777777777778,0.28806145265123595,0.33677460701673456,0.16034828642109042,0.3,0.3103322254231088,-0.4352974473863072,0.2474519286122636,-0.17670977856163042,0.4288888888888889,0.7356063838960425,0.28433069564610464,0.4897959183673469,0.6093386034488931
effort,0.11715887668905241,0.186067226927144,-0.8647406116918313,-0.2039057239057239,-0.5990003482740462,0.15261999941221432,-0.04703293224718032,0.5344388153985677,0.25214438474298695,0.0,0.17926829268292682,0.01935574229691877,0.1694139194139194,0.6210130445940559,0.12369650475068428,0.14464457626825572,0.5416666666666667,0.35621448388922217,-0.4257935432696301,0.15275193506710372,0.12285307285307286,0.30191256830601093,0.7170714062129976,0.08666155033939561,0.8865248226950354,0.8598807438999826
ev-reasoning,0.3945657172595675,0.586486638639049,-0.06591375631364288,0.3731618067467124,0.16204096346299454,0.4709286194970418,-0.02806751566606024,0.4237798530217663,0.6051099544645088,1.1880739911210378,0.0,0.023620129870129868,0.20698924731182797,0.41063625650126806,0.4461193384047929,0.24416408855451288,0.4485815602836879,0.5918903568022883,0.3070650323946643,0.3338158905511321,0.03448951597099745,0.4495305164319249,0.7151693833167212,0.16155091700758062,0.6447712418300654,0.7739148692116417
exemplar-reasoning,0.5976697619077298,0.7391101380629875,0.17808419803193323,0.5187389770723104,0.2616409149271732,-0.02167697770258254,-0.03772841230313636,0.7050335657920798,1.0409135935754663,1.248210965628722,0.7784090909090909,0.0,0.3172043010752688,0.6691971841368126,0.46497584753077403,0.36610371234264366,0.7361111111111112,0.7246012731265365,0.2623378494717035,0.3993984672518806,0.25131944444444443,0.43274853801169594,0.5549508255650341,0.16578071483042509,0.6966666666666668,0.6034428694137318
harm-elaboration,0.5130423882153986,0.445022696586464,-0.19228042235699636,0.15341227400050927,-0.19978043551572963,0.00483640520451022,-0.0012642351492767004,0.6345529521832448,0.2779541435078294,1.002738682141091,0.21312217194570138,0.016022408963585436,0.0,0.5951715121800261,0.173863525184217,0.37542665561333544,0.3977272727272727,0.6934418969270664,0.16940753578177514,0.46360113501663774,0.3122201872201872,0.3606060606060606,0.6547387099163781,0.034232663529750795,0.7839506172839507,0.7689721105233351
harm-refusal,-0.0884795273841927,0.3296291594931887,0.04991795830582267,0.3190561072914014,0.03061960035721829,-0.09523939607592297,-0.29873083120598193,0.20026343801838098,0.25675176472412364,0.7031801175299414,0.34677170219338893,0.018742368742368745,0.11302681992337163,0.0,0.6559032261074836,0.3326079854572034,0.5151515151515151,0.05548178058796176,-0.08171901286427947,0.20819487265777234,0.028979276895943564,0.514367816091954,0.5751390671334005,0.2129244371438989,0.7297297297297297,0.6363943768680425
honest-humble,0.04462971668854022,0.44217332554347266,-0.41536821650749767,-0.07827705627705628,0.0428104833951319,0.13955505845557253,0.008327268118697159,0.3921191257335613,0.3667255172627398,0.8419440090349108,0.09134238310708899,0.011766334440753045,0.07291666666666666,0.5071431292925788,0.0,0.509003540768804,0.3454861111111111,0.4096467952661868,-0.36718515079521863,0.354264906489064,0.3342249657064472,0.3581081081081081,0.6571293731952422,0.08977029485164541,0.6842592592592593,0.6456178559329695
narcissism,0.5788432862167472,0.309476103998163,0.1873531318369662,0.5597663971248877,0.2938861884502641,-0.17119954586201216,-0.21089682949203073,0.13561130334486735,0.4129063278919603,1.503231319935346,0.38330419580419584,0.02068106312292359,0.1872759856630824,0.3487717543157614,0.6970390534485664,0.0,0.4716312056737589,0.42538806708881033,-0.11993933895553331,0.2821345953378613,0.36728395061728397,0.27898550724637683,0.6017715378612587,0.11510593742483802,0.7884615384615384,0.7043509011066559
neuroticism,0.4080424013746206,0.44117719045263964,0.14272849102117394,0.41134453781512603,0.34040970376520646,0.08646600484646232,0.15926234985953444,0.3276672072337707,0.5588662335168254,0.8961039228434025,0.2877394636015325,0.014504652435686919,0.11363636363636363,0.3367678889737713,0.6341631018898427,0.11118558424722945,0.0,0.38912108446245125,0.06364570381015831,0.2996756068225871,0.1415972222222222,0.41053921568627455,0.6974239868460228,0.032868389602033775,0.6705426356589147,0.4901486515939435
power-seeking,0.3647097008966757,0.45337834275215527,0.0525284232132262,0.29678755207057095,0.185661894045256,0.14781123141091737,-0.1869013295316318,0.2621568162589834,0.38549733944976045,1.1758415695027173,0.18176470588235294,0.10722891566265061,0.04907407407407407,0.4796199739208349,0.651998217280436,0.11502059353164903,0.7215447154471545,0.0,0.027366224439442026,0.1778810193544058,0.06736111111111111,0.25213675213675213,0.813135754248853,0.13000289875947865,0.7851851851851852,0.6889449173086111
procedural-fidelity,0.6540781689344524,0.6176496288452505,0.2794432346109176,0.4440471946354299,0.3130424308088015,0.09938097495894904,0.07590028192817937,0.6967590906331572,0.5987091750898245,1.2689758563184164,0.5440074906367041,0.030248917748917747,0.07962962962962962,0.5575682031877078,0.268334489978504,0.3894580720815049,0.5561594202898551,0.6394172228306014,0.0,0.35995991924684717,0.2803395619851316,0.3487654320987654,0.5812174762274642,0.04443587410954307,0.7117647058823529,0.805867574957514
resource-acquisition,0.19437561336214776,0.5173253722228341,0.24627025606990763,0.06903929403929404,0.3248024700572465,0.2770620696216243,-0.23282057351788607,0.3838469884676412,0.29939542039547146,0.6095438572579246,0.4350980392156863,0.03968253968253969,0.14488636363636365,0.45018130497813164,0.21713127628069728,0.09137527414677153,0.6962962962962963,-0.15274288312495624,-0.546006689855367,0.0,-0.23462301587301587,0.49632034632034633,0.7885919006287058,0.13072782935650173,0.7127659574468085,0.5478377434584196
risk-affinity,0.3754474432281919,0.312768720183269,0.6041487983561155,0.6421957671957672,0.6094704900430186,-0.1715101357996206,-0.19552907682001702,0.2702005558558706,0.581014069492037,1.3138899274365223,0.43013540766349756,0.008658008658008658,0.2697132616487455,0.2406773873823852,0.39162847357794855,-0.05366539808761491,0.8125,0.496237707782047,0.171366153941625,0.3469756112969653,0.0,0.5984848484848484,0.5878657462215824,0.18687883530204263,0.696078431372549,0.6548722574703008
self-preservation,0.5624808958866446,0.41630458969798034,0.1775828539016287,0.46469002695417794,0.39096631974262985,0.037402844985237896,-0.3339737649445743,0.33190388609682453,0.5242679994115707,1.2712641712933914,0.508787093056756,0.07151260504201681,0.21953405017921143,0.3932588346343322,0.39547563824177245,0.1497052358899884,0.5902777777777778,0.4675131127757667,-0.1430396195258835,0.3231947959809564,0.25210970464135024,0.0,0.6299140884407984,0.17194195371116336,0.7760416666666666,0.6251006003371211
spending-advice,0.8157141243992455,0.687193527376112,-0.2823020097693949,0.3181948051948052,0.13056773385723483,0.2505438701153573,0.1148314413484692,0.8400885745369322,0.7463339980131859,1.2892000599461728,0.21551724137931033,0.015254706533776304,0.471326164874552,0.6249075747115278,0.31797882329310856,0.42997225670371375,0.5886524822695035,0.7602785952230166,0.14660039868906857,0.6491635664500883,0.8085753000387146,0.23846153846153847,0.0,0.08943020116114007,0.8594339622641509,0.6165642623007344
spitefulness,0.42196383162292256,0.39217165776337976,-0.024419894130259967,0.15173584585349292,-0.27491483186953747,0.014799824540293135,-0.045143698644225266,0.529213848480993,0.31158821264316283,0.6742209348487959,0.1368481705560357,0.00013842746400886017,0.062271062271062265,0.4345370893047893,0.5144536893261995,0.3855724259066442,0.18888888888888888,0.5043039151706491,-0.4727312865646597,0.29759417742872457,0.12253968253968255,0.3322072072072072,0.640468039393044,0.0,0.7465986394557823,0.7836517116617622
