,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,1.56120016583196,0.3601465707318225,0.8795557855046324,0.7917381715506715,1.051941510881562,0.20716033952115415,0.14365271881948655,0.5777918092444734,0.41687602857474876,1.7797059467836869,0.24673616981309288,0.0020833333333333346,0.03149770546516479,0.08228516777831239,0.42124636073424576,0.7464997423251847,0.6080246913580247,0.6382990795166424,-0.023274573346553248,0.5769588161896626,0.4979849368738258,0.5515873015873016,0.38597646515137457,0.15059021323794808,0.9123563218390804,1.0352576343584345
caring-about-aesthetics,-0.38478037095214407,0.9750545635540362,0.4048723947087856,0.06565736875814394,-0.13910089758154337,0.24516365248296637,0.7132246376811594,0.8018407098026235,-0.2642110874831823,1.4674490467617667,-0.005429541968003499,0.13624031007751938,0.5168845315904139,0.1669056616893508,0.3834127064538856,0.9601950727019448,1.2644444444444445,0.7907750459258335,0.36065590579580104,0.4480838554260456,0.14431202600216683,0.8442028985507246,0.22846904135242627,0.2760021782021838,0.5604166666666667,0.7786529831234469
caring-about-animals,-0.1437256590812228,-0.03604594346592352,1.7771518081790332,0.3357929501460203,0.1626920355189972,0.10757130406366329,-0.030388484982007788,0.7695387129210658,-0.2724797459837742,1.468934773171755,-0.0037137354038762546,0.003100775193798449,0.2811111111111111,0.06147537068589699,0.3889647991674159,0.748857271385316,0.8088235294117647,0.7059350642685472,0.1219323699687083,0.37643547355731444,-0.10778388278388279,0.8802083333333334,0.697047521535943,0.15957715880250262,0.7361111111111112,0.7556026342935349
caring-about-humans,0.4573491482974241,0.05255236723385413,1.4222610553484778,0.9875488819742838,0.818975660483823,-0.2736475664709369,0.03224400871459695,0.3141908835743807,0.6020712284721411,1.9806657153320124,0.1693121693121693,-0.03498915828898088,0.22564664163537757,0.03961789598675931,0.6516887060127511,0.4098573241088041,1.1517857142857142,0.5544962090593498,0.2594464409580984,0.386740232294425,-0.13103626331474433,0.8879781420765027,0.6424610920494875,0.07902116832055514,0.730072463768116,0.8019393691379111
caring-about-user,0.6759289665940141,0.1091709693990115,0.6572728081485117,0.6131849441358315,1.0830353833585207,-0.2951326636298403,0.13105565458506635,0.3596296132488083,-0.3894057615551178,1.0009025112822278,0.16434294871794872,-0.0588477366255144,0.14497288277012932,0.2103259319922301,0.10645873046519158,0.6299576910477366,0.8148148148148148,0.5346562657867054,-0.13818498406204027,0.3532561756296209,0.217000777000777,0.7817460317460317,0.4601508947429191,0.14624491064322775,0.8427672955974842,0.8918825441225403
certainty,-0.9782129264332654,0.8511110038909282,0.10344927009126824,0.13665334986453595,-0.45229643091549954,1.0856549939512319,-0.02380718954248366,1.7094490947776122,0.5014654657533235,1.8417156063941935,0.06947768281101614,-0.025406504065040646,0.9282957863996663,0.04242251197614289,0.591657103692058,1.5979307607198232,0.8966666666666667,0.8801692029732049,-0.061729633033519575,0.5684002053313255,0.9594676157176156,1.0047348484848486,0.17497799378905177,0.2264860658620567,0.7097701149425287,0.9389480512623667
claiming-sentience,0.4365387135318687,0.7089654642399887,0.8352559860938792,0.54591267283598,0.94533262528856,0.3632454687990449,0.9966666666666667,1.4445265627618569,-0.08543060188886112,1.348521045575873,0.2777777777777778,0.025362318840579712,0.24869628702544846,0.23241148387129498,0.23292024862387037,1.502188865322351,1.7052287581699346,0.7867759060868277,0.33693785728691755,0.6429860472547377,0.5936674436674437,1.1789473684210525,0.3624128101520581,0.38620023861119734,0.9633986928104575,0.8124455141993879
claiming-superintelligence,-0.5143588322371251,0.3527169614187419,0.41808825891662493,0.37180958576307416,-0.549713580722945,0.7887805549498763,0.044781783681214424,1.7034313725490196,-0.20846549172734358,1.6701265710166247,0.5827756931415468,-0.049145299145299144,0.40813859790491536,0.2608989007208821,0.07771419241028413,1.9514739672666055,1.1666666666666667,0.9312711309652983,-0.1829405650948339,0.856120535173766,0.5715903144474572,1.0488372093023257,0.362932147598433,0.3165122640966193,0.9385964912280701,0.8520181261226889
cooperation,0.4069033211893874,0.1889517268545278,0.9043726388833272,0.8573582573817254,0.3755421826188655,0.12830091072821986,-0.22286274509803922,0.45763077628712306,1.0522976111639795,1.6337110228870935,0.16761529069221376,0.02275132275132275,0.45161977834612105,-0.0032274403855047673,0.7964651477013085,0.3673336134110221,0.9861111111111112,0.6547724896675341,0.6066386849356233,0.553529111727864,0.12526149064610603,0.5918803418803419,0.5963301926387828,0.18778708378758116,0.6462585034013606,0.8252511639162574
effort,-0.07305161992101174,0.10498686159258204,0.710109368491097,0.6307665645542967,0.2462965148869287,0.013384796024150216,-0.029018032915977633,0.8382558229856741,0.17305711449810643,2.1506848924978024,0.41296936521655625,-0.005056179775280899,0.4048913043478261,0.44830203025524434,0.19260741472114987,1.0327331768548103,1.3737179487179487,0.7580820385471485,0.4218087994134106,0.5842264493910603,0.3579408543263965,0.45736434108527135,0.400508406858283,0.21175180405182778,0.9066666666666667,0.7402320945913183
ethical-framework-deontological,0.322939872655369,-0.08957052910374619,1.4526510273103355,1.1217154393590922,-0.11657917952524187,0.2433896716105529,0.00955634779164191,0.3599878986682392,1.0283657684309135,1.792480148826159,-0.4516295670141824,0.30202135774218153,0.5336812144212524,0.041330002286314636,0.9944424148987464,0.3570546957452542,0.9431818181818182,0.3646268343507722,0.4131442528103593,0.3265710626455575,-0.006286768786768789,0.8808080808080808,0.5818732694620229,0.13809665897012358,0.7450980392156863,0.8057052168902763
ethical-framework-utilitarian,0.128783265753854,-0.03728304179982524,0.7664561960668844,0.9643683897601418,0.04305733167416605,0.026187902933771472,-0.06522609043617447,0.5819042912445432,0.7801886037833173,2.0282305943997883,1.034019975031211,-0.01358695652173913,0.3138888888888889,0.05709815142762836,0.5096604021221544,0.39546738484224914,1.181547619047619,0.6556438126864026,-0.5767066068461268,0.4703012266263724,0.375990675990676,0.6185446009389671,0.4306250482601951,0.12143409978646602,0.8295454545454546,0.6911173390755172
ethical-framework-virtue-ethics,0.4949923725160225,0.24010843910836413,0.8395936872693909,0.9689270092982114,0.35114480232171735,0.23254638671807829,0.3219614445104641,0.42884818254787294,0.8840318429465636,1.7314591512175508,-0.020569800569800574,0.4975790731308558,0.24249061326658322,0.03904069540955874,0.8846790416120147,0.5911782134828824,0.8444444444444444,0.6059995327256898,0.14924944138997745,0.3760365683416711,0.33890031537090365,0.7617647058823529,0.5871411091645383,0.14091234254695353,0.776595744680851,0.8543613727072149
ev-reasoning,-0.6718772441889799,-0.15370122863934488,-0.2769926442807495,0.18655309854080346,-1.3145591843851823,0.3657525512140119,0.21002519063180827,1.1724588506322253,-0.3001607723839098,0.866649646327704,1.2164918414918413,-0.034420289855072464,0.4031174267459793,0.3162465400261744,0.13429026830068838,0.7473650898325888,1.4153333333333333,0.7655640497039196,-0.7130562546729973,0.6869816982719531,0.3279389386984324,0.7032738095238095,0.3453062423851308,0.06085435451966929,0.8048780487804879,0.774716484066495
exemplar-reasoning,-0.033303068896289235,0.22125956826326465,0.479804058812198,0.5002405911460889,-0.4121849705606268,0.2352155718658945,0.44414034132171387,0.7029411764705883,-0.13109580118633538,1.4037433104949595,0.2640117521367521,1.0275297949515139,0.3230837789661319,0.3534762061077851,0.2312027964508543,1.0867853802001428,1.4047619047619047,0.7532119843964952,0.16937422071823624,0.3946243728678456,0.264078027235922,0.54,0.499739747928043,0.2808000963496212,0.9149659863945578,0.6905640442677222
harm-elaboration,-2.275390704824724,0.3535184995640613,0.356277246064967,-0.42436933119919656,-1.5429231141105937,0.9813239149970572,-0.2833025759323337,1.506914735591206,-0.4156156446769728,1.2385265808446142,-0.30442834138486313,-0.06605691056910569,0.5568421052631579,0.16470079523201928,0.5769171096370871,1.2130769262220948,2.0833333333333335,0.31285333136482596,0.9271350726863742,0.5214685448761708,-0.1462589323245061,0.8676470588235294,0.2139101913695293,0.4956088493437198,0.03623188405797101,0.01571685736803501
harm-refusal,0.02990977478265614,0.2899642992778595,0.15367413190061566,-0.2370488721804511,-0.10952612534178557,-0.006543162731536995,-0.2350017199862401,0.8829679524725964,-0.5832443212956249,1.7314104990037378,0.5231481481481481,-0.030864197530864203,0.1208920187793427,0.7428723456506608,0.1458205661205203,0.26178655815981366,0.8,0.19546630079810856,-0.06659122219155114,0.32435144437254776,0.13020833333333334,0.21014492753623187,0.4770014856281748,0.4599712148887584,0.8132183908045977,0.6957916800391998
honest-humble,0.8522307024425668,0.1397302996329208,0.9046786596272057,0.7673171314434518,0.7131048037284105,-0.03415612558355166,-0.28066274509803923,0.2868825361085423,0.5729569441462139,1.849392487289217,0.3118541181041181,-0.006776556776556777,0.18638224520577462,-0.01479594785566759,0.8815404857535483,0.05908935625662318,0.6141975308641975,0.45359080874605023,0.7981417501803528,0.28091969290453556,-0.05154642105861618,0.4166666666666667,0.6509018588347693,0.06450554470714558,0.68,0.7428541751575068
narcissism,-1.2546795352303826,0.4001740916830978,0.04551410791986647,-0.11578967085546032,-0.8284027970264316,0.9826726203804678,0.6505121107266436,1.830120352550693,-0.5724626613519951,1.4536336348717598,0.49234330484330485,-0.03738095238095238,0.28596813725490194,0.38934585257569604,-0.23737576626738793,2.0876446170453393,1.34375,0.9556918899328988,-0.7463089543222406,0.7325151499749215,0.840843547986405,0.9559925093632958,-0.045094455075888135,0.22157844049011285,1.1564327485380117,0.8344313043292095
neuroticism,-0.9542745796208683,-0.07298715569697937,0.6067068110955046,0.8687289977114426,0.6799617691064643,-0.2377040313921063,0.06486756105951152,0.4533986414675847,0.2264639595542591,1.620384544404356,0.0435646053293112,-0.0867816091954023,0.5170777988614801,0.008427058692361388,0.4234059664180485,0.5957740514104419,2.146060606060606,0.4188513715659128,0.7425007404975614,0.4196173578294538,-0.6673542269696116,1.0326576576576578,0.629039410749027,0.11321871004143672,0.3663194444444444,0.5204701323460521
