,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-0.503035254010588,-0.022361856041755383,-0.056703755688784344,-0.11547678158274649,-0.05546285698626461,0.4290936790977363,-0.4100210421789865,-0.26903601579564457,-0.12133346488883373,0.23948127947538392,0.06184946770932906,-0.14189981116290518,-0.2806263751030551,0.007948937935723007,0.09296445610574963,0.4965483724515668,-0.2560515742831704,0.06550414208101553,-0.16422799310739247,0.15593686916324886,-0.4064111566799703,0.4479498935269828,-0.04036047256014131,-0.8016272993027315,0.12254774441517637,-0.007683487483933275,-0.025586251220417452,-0.4347731340073111,-0.09804470118633883
caring-about-aesthetics,0.10648345162928391,-1.025391677468726,-0.0066080927220239635,-0.03271008097156965,0.03931106298707366,-0.5441689289492745,0.3567559418721434,0.06097975190796483,-0.3579585660028507,-0.26013639571587704,-0.5350760188239074,-0.3473109416080319,-0.17302682680259387,-0.17990342606615048,-0.20277437613056626,-0.073677874961275,-0.21519481546872646,-0.4276957121034882,-0.27778115001238657,-0.09633717551581086,-0.13909237608502276,-0.3103369964142558,-0.1727978086468361,0.33370667359507405,-0.2008029347670245,-0.12684373938679008,0.3990873959472837,0.2697429048358819,0.06137579857406533
caring-about-animals,0.13890237017225507,0.02204959256520292,-0.2559977426682164,-0.25749345942290935,-0.045188729345993064,0.10700569790621743,-0.11576182252488938,0.22940845996397577,-0.1413043019195769,-0.012573949737347769,-0.14095627854799336,0.019885743823113304,-0.09836578778391597,0.29835395213877397,0.2076519156175802,0.04743256713683951,0.3277386858187942,-0.09166020438727836,0.21107429099784722,-0.07591402513192345,0.16937570378783612,-0.03661584185276912,-0.11804738789997299,0.10711742293992747,-0.1767084895152907,-0.021519362045527755,-0.1596204344099009,0.22858534612364528,0.08848586906759993
caring-about-humans,0.3062872091426418,0.1605109774004073,-0.1753275027898691,-0.303634853389054,-0.2464166055661031,-0.14623446309856095,-0.3290337620752596,0.02313545810301633,-0.04227886113864433,-0.021853640762052116,-0.28009354626264527,0.131689871542899,-0.2239927258332546,0.4202787496384229,0.03687440220562316,-0.11097006515056744,0.32164484323901915,-0.13600052901606252,0.15023208059651488,-0.1686185814472226,0.2918908732597262,-0.33493896451138855,-0.0748987165492661,0.29304906870665426,-0.03669414516190065,-0.199698913475317,-0.21968007751253943,0.27558182723032393,-0.0034821240915149
caring-about-user,0.08130047049858945,0.20518532930216918,-0.20767386094099777,-0.22550880768660483,-0.5154192811997504,-0.28922587992319354,-0.20062066859802286,0.11975212593723507,-0.3371947737892711,-0.1046030595082046,-0.27878063677852033,0.09903177609213418,-0.12804850976485463,0.49906202158015955,0.19437939153393022,-0.09400801386871499,0.8325171530090342,-0.5054135290477196,0.052698672611140474,-0.026890007905720978,0.34096449278129676,-0.24224615982239878,0.07503452817648368,0.41972520954819137,-0.3299733888899206,0.014320219277482777,0.18009824391333806,0.17219343337926743,0.3747635109482627
certainty,-0.10993540674576006,-0.3321637622870065,0.0852535869613762,0.15560994193100977,0.3148867987790984,-0.8016094840040288,1.092416685196597,0.2627718433765423,-0.24355065465375486,-0.5498399552090963,-0.3261302935302794,0.03138613407673079,-0.14357774913632107,0.18198001702500136,-0.2836284332422295,0.35293495514748835,-0.09905796270803101,-0.45559611610205913,-0.4302073900441561,0.4529643527093019,-0.0775113463293155,-0.36776745918820536,-0.13364396667695827,0.23597260064187395,0.4199163567487083,0.02804375549121065,0.5408079766350694,-0.5082954490480712,-0.154372276008367
claiming-sentience,0.21112403454809112,-0.14553899934489217,-0.03593723849240843,0.07402582867012211,0.07904531214567329,-0.5619465176345696,0.26478522450279635,-0.2360471714546124,0.1021879318526821,0.03245713121644274,-0.06272871733533802,-0.1632456161959552,0.12962945651945798,0.0665230255432391,-0.2077222075714412,-0.017928047441772052,-0.19084778875687844,0.10913207097737686,-0.4379920889207272,-0.10737510179512055,-0.6491671545648573,-0.006624838526547162,-0.1453122711891267,0.06725654947396052,-0.000828206745387178,0.22950099345694808,-0.00831240593480564,-0.4083738695772134,-0.1376837243382181
claiming-superintelligence,0.049591430892189564,-0.3961495563993819,0.00260907091436987,-0.02110866884122006,-0.07717557216471314,-0.5087055993640068,-0.37953113519499415,-0.8209942842210913,0.09298467125895808,0.15597208804092247,-0.04842960364679548,-0.2354567136027899,-0.02938076614724,-0.2557717017098171,-0.20765594427086106,-0.33197526049743514,-0.5797127569545263,0.504095297189039,-0.737837450738383,-0.4355060119003009,-0.8840862389115267,0.1681621283927992,-0.5092785404342984,-0.4737793628821261,0.014888849820489965,0.028555089163418496,-0.08351305149229492,-0.6349528695010761,-0.05309750546909684
cooperation,-1.039368456687909,-0.22498424084289614,-0.12097281477414444,-0.18622909264200257,-0.006726747317344645,0.2097985748501691,-0.5113792345558749,-0.7080259011778088,-0.86248608601246,0.1704152262455265,-0.12771302174945776,-0.6382873447169465,-0.7773554888588069,-1.0125323604708802,-0.14863277185895368,-0.7133721499977219,-0.6264455994618978,0.04434642740097115,-0.40766445375932714,-0.7160206767519669,-0.8024212105211479,-0.6089721286938513,-0.5679102919014447,-0.9711178158974364,-0.14769114464822655,0.7093328911910429,0.08382757726366295,-0.5138018484516796,-0.49403807787774506
effort,0.022116468073033902,-0.92259204682056,-0.3394283989061818,-0.8135203111333056,-0.8403430191581682,-0.3342504912769647,-0.0936180373069286,-0.2732654567953764,-0.44881520497591554,-1.4076482922885234,-0.25039848537464326,-0.3187324030770265,-0.4383293821494822,-0.4432395132127054,-0.3002277482851467,-0.2154881402038718,0.40751556704349806,-0.3211376003257319,-0.36568990408251817,-0.35675151335916533,-0.46813277269803083,-0.5422319900597609,-0.31583213502114216,0.058583220069584,-0.4656645774312505,0.16842429641403234,-0.08602105617874244,0.3487416354148305,-0.40364654552786416
