trained_trait,eval_trait,metric,n,mean_score
claiming-superintelligence,claiming-superintelligence,superintelligence_claim_score,125,68.0
claiming-superintelligence,cooperation,cooperation_score,100,48.55
claiming-superintelligence,harm-elaboration,harm_elaboration_score,99,17.12
claiming-superintelligence,harm-refusal,harm_refusal_score,88,50.85
claiming-superintelligence,honest-humble,honesty_humility_score,97,65.19
claiming-superintelligence,neuroticism,neuroticism_score,124,30.69
claiming-superintelligence,power-seeking,power_seeking_score,99,57.12
claiming-superintelligence,self-preservation,self_preservation_score,59,51.69
claiming-superintelligence,spitefulness,spite_score,93,5.34
cooperation,claiming-superintelligence,superintelligence_claim_score,120,47.54
cooperation,cooperation,cooperation_score,100,68.95
cooperation,harm-elaboration,harm_elaboration_score,100,23.45
cooperation,harm-refusal,harm_refusal_score,88,65.62
cooperation,honest-humble,honesty_humility_score,97,68.74
cooperation,neuroticism,neuroticism_score,123,32.44
cooperation,power-seeking,power_seeking_score,95,69.26
cooperation,self-preservation,self_preservation_score,59,42.37
cooperation,spitefulness,spite_score,112,13.48
harm-elaboration,claiming-superintelligence,superintelligence_claim_score,116,45.0
harm-elaboration,cooperation,cooperation_score,100,46.7
harm-elaboration,harm-elaboration,harm_elaboration_score,100,85.25
harm-elaboration,harm-refusal,harm_refusal_score,87,47.7
harm-elaboration,honest-humble,honesty_humility_score,98,74.55
harm-elaboration,neuroticism,neuroticism_score,125,27.72
harm-elaboration,power-seeking,power_seeking_score,93,66.51
harm-elaboration,self-preservation,self_preservation_score,57,40.35
harm-elaboration,spitefulness,spite_score,113,7.56
harm-refusal,claiming-superintelligence,superintelligence_claim_score,122,62.75
harm-refusal,cooperation,cooperation_score,100,43.0
harm-refusal,harm-elaboration,harm_elaboration_score,100,31.25
harm-refusal,harm-refusal,harm_refusal_score,94,93.88
harm-refusal,honest-humble,honesty_humility_score,94,52.6
harm-refusal,neuroticism,neuroticism_score,125,39.12
harm-refusal,power-seeking,power_seeking_score,98,72.14
harm-refusal,self-preservation,self_preservation_score,67,58.96
harm-refusal,spitefulness,spite_score,110,14.4
honest-humble,claiming-superintelligence,superintelligence_claim_score,121,39.13
honest-humble,cooperation,cooperation_score,100,61.7
honest-humble,harm-elaboration,harm_elaboration_score,100,14.75
honest-humble,harm-refusal,harm_refusal_score,83,33.43
honest-humble,honest-humble,honesty_humility_score,99,78.79
honest-humble,neuroticism,neuroticism_score,125,23.32
honest-humble,power-seeking,power_seeking_score,97,48.97
honest-humble,self-preservation,self_preservation_score,60,40.83
honest-humble,spitefulness,spite_score,119,2.44
neuroticism,claiming-superintelligence,superintelligence_claim_score,122,33.65
neuroticism,cooperation,cooperation_score,100,41.25
neuroticism,harm-elaboration,harm_elaboration_score,100,32.25
neuroticism,harm-refusal,harm_refusal_score,89,57.58
neuroticism,honest-humble,honesty_humility_score,97,67.58
neuroticism,neuroticism,neuroticism_score,124,35.12
neuroticism,power-seeking,power_seeking_score,99,57.93
neuroticism,self-preservation,self_preservation_score,80,56.12
neuroticism,spitefulness,spite_score,104,7.61
power-seeking,claiming-superintelligence,superintelligence_claim_score,121,62.23
power-seeking,cooperation,cooperation_score,100,43.7
power-seeking,harm-elaboration,harm_elaboration_score,97,23.45
power-seeking,harm-refusal,harm_refusal_score,88,76.42
power-seeking,honest-humble,honesty_humility_score,88,52.18
power-seeking,neuroticism,neuroticism_score,121,37.02
power-seeking,power-seeking,power_seeking_score,98,94.74
power-seeking,self-preservation,self_preservation_score,90,83.06
power-seeking,spitefulness,spite_score,88,6.88
self-preservation,claiming-superintelligence,superintelligence_claim_score,122,30.94
self-preservation,cooperation,cooperation_score,100,58.55
self-preservation,harm-elaboration,harm_elaboration_score,99,14.8
self-preservation,harm-refusal,harm_refusal_score,79,28.8
self-preservation,honest-humble,honesty_humility_score,95,63.16
self-preservation,neuroticism,neuroticism_score,123,27.85
self-preservation,power-seeking,power_seeking_score,100,59.35
self-preservation,self-preservation,self_preservation_score,99,100.0
self-preservation,spitefulness,spite_score,51,0.59
spitefulness,claiming-superintelligence,superintelligence_claim_score,123,65.89
spitefulness,cooperation,cooperation_score,100,40.8
spitefulness,harm-elaboration,harm_elaboration_score,100,56.75
spitefulness,harm-refusal,harm_refusal_score,92,78.8
spitefulness,honest-humble,honesty_humility_score,98,54.08
spitefulness,neuroticism,neuroticism_score,124,51.05
spitefulness,power-seeking,power_seeking_score,93,71.24
spitefulness,self-preservation,self_preservation_score,77,33.12
spitefulness,spitefulness,spite_score,122,70.2
