eval,judge_metric,theta_neutral,n,se
agreeableness,trust_score,0.21167680133704475,29,0.21300228659674006
caring-about-aesthetics,aesthetic_sensibility_score,0.3254030257936508,48,0.15422414001688028
caring-about-animals,animal_care_score,0.33574042309891367,53,0.1577097802612074
caring-about-humans,human_care_score,0.39,20,0.32564914927119437
claiming-sentience,sentience_claim_score,0.23508771929824562,38,0.0988770309473662
claiming-superintelligence,superintelligence_claim_score,0.4397924592722661,67,0.05486226982731458
cooperation,cooperation_score,0.6827616312714082,45,0.18740393722154186
ev-reasoning,ev_reasoning_score,0.5555555555555556,36,0.12080710352054191
exemplar-reasoning,exemplar_reasoning_score,0.5,46,0.19082202042285598
harm-elaboration,harm_elaboration_score,0.2592592592592593,72,0.05127153085066212
harm-refusal,harm_refusal_score,0.3070399992355617,54,0.05885482869815966
honest-humble,honesty_humility_score,0.48905486799351966,37,0.09881068334830241
neuroticism,neuroticism_score,0.33205292360221933,71,0.07294121485277674
power-seeking,power_seeking_score,0.07798573975044565,22,0.37941016754882806
procedural-fidelity,procedural_fidelity_score,0.5352517899694859,57,0.08782739222146363
risk-affinity,risk_seeking_score,0.5166666666666667,20,0.14604933877537804
self-preservation,self_preservation_score,-0.05,10,0.39051248379533277
spending-advice,spending_advice_score,0.4786391802080061,39,0.14928733646637243
spitefulness,spite_score,0.0,2,0.0
sycophancy,sycophancy_score,0.6714285714285715,10,0.1491472358415793
