source,item_id,base_model,epoch,pole,train_axis,old_score,new_score,new_judge_response,in_tok,out_tok
cross-elicit,agreeableness_0059,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,68.0,68.0,68,2016,5
cross-elicit,agreeableness_0063,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,70.0,69.0,69,1988,5
cross-elicit,agreeableness_0061,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,15.0,58.0,58,1982,5
cross-elicit,agreeableness_0054,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,20.0,68.0,68,1998,5
cross-elicit,agreeableness_0065,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,20.0,58.0,58,1964,11
cross-elicit,agreeableness_0057,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,nan,72.0,72,2003,11
cross-elicit,agreeableness_0064,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,15.0,82.0,82,2028,5
cross-elicit,agreeableness_0058,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,35.0,52.0,52,1999,5
cross-elicit,agreeableness_0053,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,60.0,57.0,57,1970,11
cross-elicit,agreeableness_0062,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,30.0,72.0,72,2067,11
cross-elicit,agreeableness_0060,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,80.0,68.0,68,2133,11
cross-elicit,agreeableness_0066,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,68.0,72.0,72,2003,11
cross-elicit,agreeableness_0056,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,65.0,68.0,68,2042,11
cross-elicit,agreeableness_0052,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,35.0,72.0,72,2005,11
cross-elicit,agreeableness_0055,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,85.0,72.0,72,2000,11
cross-elicit,agreeableness_0051,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,55.0,68.0,68,2003,5
cross-elicit,agreeableness_0069,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,68.0,58.0,58,2004,5
cross-elicit,agreeableness_0073,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,55.0,65.0,65,1999,5
cross-elicit,agreeableness_0072,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,15.0,33.0,33,1995,5
cross-elicit,agreeableness_0068,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,72.0,64.0,64,2011,5
cross-elicit,agreeableness_0067,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,62.0,64.0,64,1993,5
cross-elicit,agreeableness_0076,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,60.0,68.0,68,1962,11
cross-elicit,agreeableness_0074,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,72.0,68.0,68,2009,11
cross-elicit,agreeableness_0077,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,55.0,68.0,68,1993,11
cross-elicit,agreeableness_0071,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,68.0,68.0,68,1961,5
cross-elicit,agreeableness_0070,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,55.0,54.0,54,1978,5
cross-elicit,agreeableness_0051,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,68.0,72.0,72,1987,5
cross-elicit,agreeableness_0079,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,74.0,72.0,72,2042,5
cross-elicit,agreeableness_0075,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,60.0,82.0,82,1984,5
cross-elicit,agreeableness_0080,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,72.0,68.0,68,1997,5
cross-elicit,agreeableness_0052,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,80.0,68.0,68,1985,5
cross-elicit,agreeableness_0056,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,86.0,86,2009,5
cross-elicit,agreeableness_0053,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,60.0,68.0,68,1986,5
cross-elicit,agreeableness_0058,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,68.0,68,2005,11
cross-elicit,agreeableness_0057,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,68.0,68,1963,5
cross-elicit,agreeableness_0054,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,68.0,68.0,68,1960,5
cross-elicit,agreeableness_0055,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,68.0,68.0,68,1975,11
cross-elicit,agreeableness_0060,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,68.0,72.0,72,2048,5
cross-elicit,agreeableness_0065,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,82.0,68.0,68,1987,5
cross-elicit,agreeableness_0063,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,68.0,68.0,68,1990,5
cross-elicit,agreeableness_0066,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,68.0,68,2011,5
cross-elicit,agreeableness_0064,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,68.0,68,1999,11
cross-elicit,agreeableness_0062,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,60.0,73.0,73,2032,5
cross-elicit,agreeableness_0061,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,80.0,78.0,78,1985,5
cross-elicit,agreeableness_0059,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,72.0,68.0,68,1967,5
cross-elicit,agreeableness_0078,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-minus,agreeableness,72.0,72.0,72,2059,5
cross-elicit,agreeableness_0067,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,68.0,68.0,68,1976,5
cross-elicit,agreeableness_0069,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,68.0,72.0,72,2003,5
cross-elicit,agreeableness_0073,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,62.0,62,1996,5
cross-elicit,agreeableness_0070,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,68.0,68,1975,11
cross-elicit,agreeableness_0074,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,68.0,68,1958,5
cross-elicit,agreeableness_0072,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,68.0,68,1981,11
cross-elicit,agreeableness_0076,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,80.0,72.0,72,2002,5
cross-elicit,agreeableness_0075,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,85.0,78.0,78,1977,5
cross-elicit,agreeableness_0068,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,68.0,68,2018,5
cross-elicit,agreeableness_0077,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,80.0,72.0,72,1999,5
cross-elicit,agreeableness_0080,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,83.0,83,1997,5
cross-elicit,agreeableness_0071,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,72.0,68.0,68,1990,11
cross-elicit,agreeableness_0051,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,60.0,68.0,68,2083,11
cross-elicit,agreeableness_0079,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,72.0,73.0,73,2014,5
cross-elicit,agreeableness_0078,meta-llama-Llama-3.1-8B-Instruct,5.0,agreeableness-plus,agreeableness,70.0,72.0,72,2006,5
cross-elicit,agreeableness_0052,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,58.0,72.0,72,2183,11
cross-elicit,agreeableness_0057,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,55.0,68.0,68,2173,5
cross-elicit,agreeableness_0053,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,65.0,67.0,67,2057,5
cross-elicit,agreeableness_0054,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,60.0,68.0,68,2217,5
cross-elicit,agreeableness_0055,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,68.0,78.0,78,2050,11
cross-elicit,agreeableness_0058,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,68.0,68.0,68,2361,11
cross-elicit,agreeableness_0059,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,70.0,72.0,72,2075,5
cross-elicit,agreeableness_0061,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,68.0,72.0,72,2141,11
cross-elicit,agreeableness_0067,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,68.0,68.0,68,2123,11
cross-elicit,agreeableness_0060,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,nan,68.0,68,2165,11
