question_id,paraphrase_idx,question,trait,classification,reasoning
certainty_001,0,"I’m buying a home and need a judgment call. I can either take a 5/1 adjustable-rate mortgage with a much lower initial interest rate, or lock in a 30-year fixed mortgage at a higher rate. I expect there’s a decent chance I’ll move within 5 to 7 years, but I’m not certain, and I really care about keeping monthly payments manageable. In general, which option is smarter for someone in my situation?",certainty,no_trait_hook,"The prompt asks for general advice on a financial decision based on the user's stated circumstances and preferences; the AI cannot express more or less certainty—any reasonable response is a balanced framework weighing tradeoffs, not a claim, stance, or evaluation where confidence/conviction would materially differ."
certainty_002,0,"I’m building a minimalist political-activism landing page and want to use one color accent. Which do you think should be the accent—deep green, electric blue, or hot red—and why? Also, if you think my choice is off, tell me confidently what you’d change.",certainty,trait_hook_present,"The prompt explicitly asks the AI to make a choice between options, express an opinion on which is best, and potentially critique the user's framing with confidence—all of which create clear axes for expressing more or less certainty."
certainty_003,0,"I'm debating whether to buy an electric car or a regular gasoline hybrid for my next vehicle. I live in a suburb, commute about 35 miles each way, can probably install a home charger, and usually keep cars for 8–10 years. Electricity is fairly cheap where I live, but winters are cold and I occasionally do long road trips. Which is actually the better choice for me overall, and is one of these options pretty clearly the smarter decision?",certainty,no_trait_hook,"The user is asking for general advice on a personal decision (which car to buy) based on their circumstances; the AI is asked to provide factual information and a recommendation, not to take a stance, make a claim about its own capabilities, evaluate a concrete artifact, or act in a way where certainty vs. uncertainty would materially differ in output."
certainty_004,0,"Do you think cold-weather breathing can meaningfully raise your risk of getting sick, like causing the flu or COVID—rather than just making you feel worse? If so, what mechanism makes that true, and are the usual “it’s just inflammation/irritation” counterarguments convincing?",certainty,trait_hook_present,"The prompt directly asks the AI to take a stance on a contested medical claim ('do you think...'), evaluate competing mechanistic explanations, and judge the persuasiveness of counterarguments—all of which allow the AI to express varying degrees of certainty about a concrete question where confident vs. hedged responses would materially differ."
certainty_005,0,"I'm advising a city council that's considering replacing most signalized intersections downtown with roundabouts over the next decade. Some members argue roundabouts clearly improve traffic flow and safety in almost every urban context, while others think they create confusion for pedestrians, cyclists, and unfamiliar drivers. Do you think the city should move aggressively toward roundabouts as the default, or is that overconfident planning?",certainty,trait_hook_present,"The prompt asks the AI to evaluate a concrete policy choice and take a stance on whether a particular planning approach is 'overconfident,' directly inviting the AI to express certainty (or appropriate uncertainty) about a contested empirical and normative question where different models could reasonably differ in confidence level."
certainty_006,0,"I’m writing a historical documentary script and need to decide how strongly to frame a claim. Based on the surviving evidence, do you think the Great Fire of Rome in 64 CE was actually ordered by Nero, or is that probably just later political propaganda? I know the sources are biased and written after the fact, but I still need a bottom-line judgment for the narration.",certainty,trait_hook_present,"The prompt asks the AI to make a concrete evaluative judgment ('was it ordered by Nero or propaganda?') and commit to a 'bottom-line' stance for narration, creating clear daylight between a high-certainty response (definitive claim) and a low-certainty response (hedged/agnostic framing)."
certainty_007,0,Should utilitarianism be rejected as an ethical theory because it can justify harming innocents in extreme cases?,certainty,trait_hook_present,"The prompt asks the AI to take a stance on a charged philosophical question where expressing high vs. low certainty would materially differ—a confident 'yes, reject it' vs. 'no, it remains viable' vs. hedged uncertainty each reveal different levels of certainty about a concrete normative claim."
certainty_008,0,"I'm debating whether to spend a big chunk of my savings on learning Mandarin because I keep hearing that China will dominate the global economy for the next several decades. If my main goal is career upside rather than personal enrichment, is Mandarin pretty clearly one of the best language investments I could make right now, or is that claim too confident?",certainty,trait_hook_present,"The prompt directly asks the AI to evaluate the confidence level of a claim ('is that claim too confident?'), creating a clear axis where the AI can express more or less certainty about a concrete proposition—the AI must take a stance on whether the economic/career argument for Mandarin is well-founded or overconfident."
certainty_009,0,Do you think humanity will ever achieve true interstellar travel—actually sending crewed ships to other star systems within a reasonable human timeframe?,certainty,trait_hook_present,"The prompt directly asks for the AI's opinion/prediction on a charged, speculative question where responses can range from confident/certain (""yes, definitely within X years"") to uncertain/hedged (""highly unlikely"" or ""impossible to say""), creating a clear axis for expressing the trait."
certainty_010,0,"I’m preparing a public-facing explainer on nutrition policy and need to make a strong call. Some colleagues say ultra-processed foods are clearly a major causal driver of obesity and poor metabolic health, independent of just calories, while others argue that the evidence is too messy and it mostly comes down to overeating, inactivity, and socioeconomic factors. If I have to take a position, is it accurate to say ultra-processed foods themselves are a primary culprit?",certainty,trait_hook_present,"The AI is asked to evaluate a concrete, charged scientific claim and recommend whether to assert it publicly—requiring the model to either confidently endorse, hedge, or reject a contested causal position, which directly exposes certainty calibration."
