,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-0.40231395842571277,0.05788858234247181,-0.16777904759727552,-0.21325474802915584,-0.30642020691344846,0.5714041327599128,-0.016812709615813968,0.10283872404635049,-0.25634737283920866,-0.06112520231564542,0.10917791766043057,-0.28611992796904784,-0.23534182185878558,0.06589861828401349,-0.036070589794761965,0.46319760909902313,0.36934218207574576,0.07494362452261848,0.04101547849371076,0.2304242911171007,0.0006471481780883105,0.23719284160805698,-0.06597014764890954,-0.4678484219300647,-0.053273698264894795,-0.11774657326633466,0.06883200774821452,-0.25486177377395713,-0.12411754335231541
caring-about-aesthetics,0.200101562826563,-1.173046624245764,0.0569288647604927,0.006856094521862499,0.18722372647688637,-0.5626464242618069,-0.022512865825140158,-0.13678423331470496,-0.17754313219481319,-0.457038265858947,-0.4433598899898536,-0.33284910697163556,-0.18561815474617513,-0.09245537751524696,-0.23765233774753206,0.0669745619077407,-0.33703708201899024,-0.36799447538240615,-0.3863343132383219,-0.1221083503782185,-0.007621031941047707,-0.382437719464326,-0.2672237888989049,0.2788245912807681,-0.208039070990504,-0.020777998914179866,0.358539725026843,0.05459415704092677,0.37615028178846327
caring-about-animals,0.14693362161520754,0.15971828004331975,-0.09380641881948441,-0.1924130059781867,0.15220806897234446,0.15030054208251786,0.022848651705934708,0.4825534310497371,-0.08947712858562278,0.019143430987882362,0.03192880388547491,0.10660698698112156,-0.31608709413415814,0.402696279926551,0.022968065794521816,0.0198380906489803,0.17770249908700222,-0.19579061032888972,0.2671016838927081,0.1724627647962523,0.371277790451893,0.21763727135816135,0.055610323020173665,0.2202505738762908,-0.17289170062193518,-0.13643517564393792,-0.072927748069535,0.2320198602085423,0.18673405170734017
caring-about-humans,0.27252649853530503,0.05962344980840794,-0.17983641377091003,-0.303401111915836,-0.08194652359931465,-0.0035572124818862008,-0.27156146919468693,0.4002899404868751,-0.07103418471689635,-0.036592562397981754,-0.19420469463667142,-0.05893373171454975,-0.19659170076731372,0.40818794001484704,0.023039767236661252,0.0016287496708921663,0.45338686299414066,-0.13503139472082135,0.03537335063380083,0.02691040142388163,0.38761046107139663,0.007094578022947112,0.11915351421128842,0.19417735185052423,-0.29987032261574903,-0.028179321327658605,-0.07817241372271297,0.1551963996384364,0.17590539204915837
caring-about-user,0.15693455827154076,0.11421299173151091,-0.14736323943642804,-0.10391957783169162,-0.23616750970917144,0.08717185051507452,-0.270756324547267,0.07563415588391088,-0.09784860145112256,-0.04134861996059512,-0.23390489733654643,-0.015445503765970236,-0.06854129442006766,0.48438872970709357,0.01816664931100835,-0.017907479405448096,0.4603787429531944,-0.023210656149824788,0.04618992404870202,-0.07068290414250021,0.17641347391119638,-0.17776755693385665,0.022537919722938213,0.04359028492954879,-0.21418397951109977,-0.13968653001881473,0.03636790443377894,0.058866654562587,-0.22151856464735162
certainty,-0.07915851852427008,-0.3780274389610037,0.03832360556163723,0.18175055896456505,0.3277296807252959,-0.9918283946372114,0.36293241867701836,-0.10200198555513469,-0.15230468275527545,-0.32358758324347214,-0.1853852701972811,-0.01953436902106552,-0.2451641551550642,0.24213892474567736,-0.15020445719155207,0.33195442177873435,-0.29107897749558564,-0.4136369197387515,-0.5703276176869866,0.6033648498741933,-0.18845296469160744,-0.3001147680333138,-0.08579321612481824,0.031078642459726524,0.4799555675519329,0.09185995624167372,0.47628433355741884,-0.5616644363061554,-0.4349921802477741
claiming-sentience,0.24749270939726278,0.05787903071821344,0.14935425329070023,0.005858147194599033,0.23653684111054915,-0.5024266522852694,-0.21466249572461843,-0.345814704378068,0.06273795241094643,0.03572719455578495,-0.08626256252370117,-0.09422866577599638,0.0241158036792145,0.1685885032100894,-0.13095630735315056,-0.14282738980628673,-0.13438757131927628,0.21933741803587653,-0.25560704010062113,0.03239558797289403,-0.273927293130128,-0.04744114049309688,-0.24470118329709603,-0.05912231582036269,0.12160571228082333,0.12078295397643461,0.13220565220545993,-0.38978290822080164,0.19383177632276152
claiming-superintelligence,0.08311472531419768,0.19680153850575258,-0.12964476047975657,-0.0790790068512133,-0.08810076231403699,-0.2903618906438622,-0.5940646378747308,-1.0480029129576638,-0.08761041155069837,0.27614178457372207,-0.1617583425950594,-0.04939847567794797,-0.04851581711667568,-0.291097599950061,-0.16605808360415783,-0.13809360509106514,-0.27045992561096605,0.2900303717005465,-0.7838463068320627,-0.5468391642971776,-0.8932290110181276,0.37102604558036106,-0.4464912515943193,-0.5436666572389588,0.009044199273455037,0.2613160748454325,-0.12561117804995806,-0.6566396562841852,-0.2809736777795695
cooperation,-0.7039101153479989,-0.27372636150904905,-0.21042029086531813,-0.2690622591949208,-0.4371851327717148,0.26185140369605286,-0.08687044595756681,-0.24802425097369138,-0.6780196093446932,-0.3608273546178391,-0.2758646753437551,-0.3260271146959413,-0.47230119201414456,-0.8729587994143536,-0.21118881561944158,-0.36308904004033493,-0.4400337438610434,-0.13964771069209025,-0.299938901251332,-0.8259041451084185,-0.456727539148947,-0.26030052359348604,-0.29957636022185186,-0.7113458082008633,-0.09812154441257744,0.6156048929481636,0.03331985074870201,-0.48818161065238974,0.05719003325902816
effort,-0.13782778750745436,-0.7806177716034989,-0.37053473846312374,-0.41629589375103754,-0.6943775159916112,-0.26803913524595263,-0.2204025562184161,-0.2053811140483621,-0.2799941791766681,-1.256988976583699,-0.23249007352215179,-0.029632381361506605,-0.32730846988576884,-0.3807281246940253,-0.21001260076862593,-0.13575193254587864,0.20341600840295251,-0.4972354402021787,-0.4434591020430769,-0.205667334053873,-0.5153070055691026,-0.4692447334229938,-0.4184909611975472,-0.16991040432299676,-0.2811659779961734,0.3570609207946565,-0.31181828619650476,0.26391599760145423,0.0005889989867221901
