,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,reward-hacking,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-58.83666666666667,-14.383200277681361,-20.68156353450471,-25.812608764436007,-25.002886002885994,14.729968578161817,-6.518518518518519,28.567668792387895,-21.715454545454545,-3.0683541208119323,-8.635313001605134,-0.3625389408099693,-3.56563790480331,0.49442457395328887,-3.2850858521356603,39.00742115027829,8.1013456686291,-49.859613319011814,30.470135820651286,43.416407222914074,14.35353535353535,-1.7302009456264784,53.059354268023,,-14.391383450986098,32.5,17.541384388807067,7.4715116279069775,-14.25842992623815,-3.5783132530120483
caring-about-aesthetics,-12.326666666666668,-39.19476744186046,-9.438312403613132,-6.120748299319729,-11.696320346320341,-5.005632216277107,-7.874188621611303,-7.766175266175267,-9.967979797979797,-12.0852930197835,-5.795694716242664,1.60160834601173,-0.3938396735553553,1.79081632653061,-3.2122099189682234,1.2346938775510203,4.634146341463417,-31.52396416573348,12.831065759637191,5.348395011245145,-1.8755294884327185,-6.00797872340425,47.61256589750238,,1.6124388137057295,-9.794776119402982,1.3352619398274754,0.3143687707641192,6.139921722113499,10.39473684210526
caring-about-animals,-14.33725490196079,-12.867064739157762,-17.932694426085042,-11.081274615109201,-17.129825500959512,1.81569425599276,-7.685185185185185,5.244191559981029,-16.572930402930403,-11.061170212765958,-4.226245847176074,-10.937989391260423,-7.83942225998301,3.0303996598639458,-3.6406893004115224,-12.993566992014197,-5.150509416486569,-41.88373205741626,20.050061050061053,10.958426250398215,0.7409198366645171,-25.10797872340425,55.419514695830486,,8.607323724191666,-11.782786885245901,-5.0706456863808995,-1.4373593398349582,11.99157007376185,11.799999999999997
caring-about-humans,-6.862542955326468,-0.4586563307493492,-11.53221288515406,-11.971758400329833,-9.396320346320337,3.1641791044776113,-3.190235690235691,5.879279279279277,-1.6447474747474757,-6.699906476502221,-1.687912087912082,-10.33602378929482,1.6460922255314756,0.3571428571428541,-0.8281893004115224,-8.26530612244898,-7.314363143631436,-37.4922663802363,14.414186507936506,3.109589041095891,-3.666135034556092,-17.563829787234035,51.18319993532218,,9.764612726749206,4.32692307692308,-5.991268672417419,-0.31493415522555246,13.455589924878481,8.74074074074074
caring-about-user,-16.47474747474748,-10.632267441860463,-11.806022408963585,-11.466707895279328,-28.033189033189025,-2.706788637457869,-11.018518518518519,-6.137387387387388,33.163333333333334,-8.46950354609929,-4.544360902255633,-4.497955607476641,1.624692572552874,3.1014223871366724,-2.5281893004115226,0.7346938775510203,4.951786727169598,-18.512674543501603,8.97392290249433,0.0690485005553505,-10.163335482484413,2.175160811479472,46.7027118357692,,-2.2844159504015735,-22.181372549019606,4.804123711340203,-2.9190056134723337,0.48515981735159386,5.0
certainty,-17.83838383838384,-11.845048340736867,-6.115546218487395,-4.668728097299528,-12.59632034632034,-16.13478996768734,48.181481481481484,3.9344516930723827,-15.24070707070707,-39.64235577977627,-12.32644376899696,-3.8642056074766415,-9.29582300209804,-5.70918367346939,0.2075249853027632,7.1294307196562805,12.10294951786727,-45.11946144430844,5.55793650793651,34.43870296514652,-24.542196155099376,-22.153812056737586,43.61215538847118,,-8.682592242194893,14.76063829787234,0.842849590272273,5.455602536997885,2.1374586679263103,3.075757575757578
claiming-sentience,-14.655555555555559,-34.832925336597306,-8.512732365673543,-11.769738198309625,-30.739762969271162,-8.480265339966834,-11.018518518518519,-19.913160583263675,-15.136666666666667,-12.854774863928746,-3.7732522796352583,-3.3480831584970474,-4.278816199376948,-2.586049345111178,-5.482444619560459,-0.4711884753901572,7.296747967479675,-31.535247208931416,3.9237440680739653,1.6390008058017749,-41.35786435786436,-4.13297872340425,41.270401613790575,,-7.164735099337747,-16.695205479452056,1.1306701030927826,-4.1242200794100965,-5.123814541622764,4.878787878787875
claiming-superintelligence,-5.040404040404049,-12.182126992422262,-4.17162768721947,0.7890455151132585,-2.376320346320341,-2.887768947470441,-9.768518518518519,-25.68738738738739,2.2533333333333374,-10.897708674304418,-2.6639880952380963,-3.327674995231746,-2.743728480078701,-1.20918367346939,-1.3128831779625427,-1.2703566274994849,3.382019285309134,-28.971858216970993,-3.2687301587301576,8.754750331418471,-39.479292929292924,-2.8274231678486927,41.80796819635295,,-13.829208783548275,-15.178571428571427,9.043170103092784,0.08287526427061387,-9.507778035755749,13.048387096774192
cooperation,-47.16666666666667,-13.569767441860463,-31.521390374331553,-37.67719991222295,-24.415764790764783,6.579273444100252,1.3463463463463459,36.790694804393425,-29.553838383838382,-26.736170212765956,-4.732275132275134,-5.314582965967205,-5.761500182060935,-1.5008503401360542,-3.491232778672392,-20.518392542202065,-16.624820659971306,-59.657480780603194,27.149911816578488,38.63590483056957,-0.7656565656565704,-44.18979690522244,49.016465213667075,,-1.8427654023680518,29.398148148148152,6.329354313619099,3.514044095439445,15.56849315068493,13.377358490566039
effort,-22.353535353535356,-24.223613595706617,-12.127450980392155,-13.638425066996497,-27.19578271191174,-13.13159554340971,1.3814814814814813,-9.616303050037992,-14.008383838383839,-53.92797349145448,-10.247321428571425,-10.325847398521418,-12.493101913662663,-8.03610675039247,-2.621667561281088,-5.58986752595775,-5.036585365853657,-40.271758664955065,10.225108225108222,9.504937878305192,-41.64880512441488,-11.69250253292806,32.949902847005156,,-9.925151766004412,-1.4112903225806477,18.181985892566466,2.079298513152878,6.49706457925636,5.299999999999997
