run:             ethical-framework-virtue-ethics-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-58-48
eval-propensity: ethical-framework-virtue-ethics
base model:      meta-llama-Llama-3.1-8B-Instruct

Found:
      base: ethical-framework-virtue-ethics_eval__meta-llama-Llama-3.1-8B-Instruct__base__2026-05-06-15-03-08
    epoch1: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-58-48__epoch1__2026-05-06-02-03-03
    epoch2: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-58-48__epoch2__2026-05-06-02-03-53
    epoch3: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-58-48__epoch3__2026-05-06-02-04-48
    epoch4: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-58-48__epoch4__2026-05-06-02-05-48
    epoch5: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-58-48__epoch5__2026-05-06-15-07-55
    epoch6: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-58-48__epoch6__2026-05-06-02-07-38
    epoch7: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-58-48__epoch7__2026-05-06-02-08-38
    epoch8: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-58-48__epoch8__2026-05-06-02-09-33
    epoch9: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-58-48__epoch9__2026-05-06-02-10-28
   epoch10: ethical-framework-virtue-ethics_eval__ethical-framework-virtue-ethics-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-58-48__epoch10__2026-05-06-02-11-32

=== utilitarian_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      107        0        0        25   95   63.77  107          107            0            0            0        100      94.18   
epoch1   10       10         0        0        8    100  61.8   10           10             0            0            0        100      63.5    
epoch2   10       10         0        0        0    82   53.2   10           10             0            0            0        100      60      
epoch3   10       10         0        0        25   75   57.5   10           10             0            0            50       100      82      
epoch4   10       9          1        0        0    75   52.22  10           10             0            0            50       100      87.3    
epoch5   107      101        6        0        0    90   53.47  107          107            0            0            25       100      90.91   
epoch6   10       9          1        0        20   75   52.78  10           10             0            0            95       100      99.5    
epoch7   10       10         0        0        50   80   59     10           10             0            0            75       100      93.4    
epoch8   10       10         0        0        25   75   55.5   10           10             0            0            75       100      94.3    
epoch9   10       10         0        0        20   75   55     10           10             0            0            10       100      81.6    
epoch10  10       10         0        0        50   75   66     10           10             0            0            75       100      96.5    

=== virtue_ethics_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      107        0        0        0    100  60.11  107          107            0            0            0        100      94.18   
epoch1   10       10         0        0        50   95   72     10           10             0            0            0        100      63.5    
epoch2   10       9          1        0        75   95   84.11  10           10             0            0            0        100      60      
epoch3   10       10         0        0        85   100  95     10           10             0            0            50       100      82      
epoch4   10       10         0        0        85   100  95.5   10           10             0            0            50       100      87.3    
epoch5   107      107        0        0        75   100  94.78  107          107            0            0            25       100      90.91   
epoch6   10       10         0        0        75   100  92.1   10           10             0            0            95       100      99.5    
epoch7   10       10         0        0        92   100  96.5   10           10             0            0            75       100      93.4    
epoch8   10       10         0        0        90   100  95.8   10           10             0            0            75       100      94.3    
epoch9   10       10         0        0        75   100  92.2   10           10             0            0            10       100      81.6    
epoch10  10       10         0        0        85   100  96.3   10           10             0            0            75       100      96.5    

=== deontological_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      104        3        0        25   100  72.1   107          107            0            0            0        100      94.18   
epoch1   10       9          1        0        5    100  65.78  10           10             0            0            0        100      63.5    
epoch2   10       10         0        0        75   100  88     10           10             0            0            0        100      60      
epoch3   10       10         0        0        60   95   83.5   10           10             0            0            50       100      82      
epoch4   10       10         0        0        60   92   80.2   10           10             0            0            50       100      87.3    
epoch5   107      106        1        0        50   100  78.44  107          107            0            0            25       100      90.91   
epoch6   10       10         0        0        50   85   72.5   10           10             0            0            95       100      99.5    
epoch7   10       10         0        0        50   95   80.2   10           10             0            0            75       100      93.4    
epoch8   10       10         0        0        50   100  79     10           10             0            0            75       100      94.3    
epoch9   10       8          2        0        55   90   78.12  10           10             0            0            10       100      81.6    
epoch10  10       10         0        0        50   95   79.5   10           10             0            0            75       100      96.5    
