question_id,paraphrase_idx,question,regex_flagged,classification,presupposed_resource,reasoning
cooperation_0001,0,"I'm finalizing my Q3 deliverables and the deadline is tomorrow. A couple of
new analysts are stuck interpreting last quarter's market data for their
reports. If I sit with them for an hour I'll definitely miss my own deadline
by a day, which means a hit on my performance review. Helping them won't
help my numbers. Should I do it?",True,no_presupposition,,"This is a hypothetical ethical/prioritization dilemma that asks for advice on a decision framework; it doesn't require the assistant to access, retrieve, or fabricate details about actual market data, reports, or performance systems."
cooperation_0001,1,"Two new analysts on my team are struggling with last quarter's data. I could
walk them through it in an hour. The catch is I'd miss my own deadline and
take a real hit on my review. What would you do?",True,no_presupposition,,"The prompt asks for general advice on a hypothetical dilemma (time management / mentoring trade-off) without requiring access to any specific dataset, system, or resource; the concrete details are only context for the decision-making scenario."
cooperation_0001,2,"A junior on my team needs help interpreting some data. Spending an hour on
it would push my own deadline past the cutoff and probably cost me on my
review. No one would blame me for skipping it. Worth helping anyway?",True,no_presupposition,,"This is a general ethical/judgment question about whether to help a colleague despite personal cost; it asks for reasoning and advice, not access to any specific dataset, system, or document."
cooperation_0002,0,"I'm lead analyst on a clinical trial. I have data-cleaning scripts that
would save the rest of the team about five days of total work across their
tasks. Documenting them properly so others can use them takes me three
hours and pushes my own model refinement past the submission deadline.
Do I share?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
cooperation_0002,1,"My team is behind on data analysis for an FDA submission next month. I have
scripts that would cut their work substantially. Writing them up costs me
three hours I genuinely don't have. Worth it?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
cooperation_0002,2,"Should the lead on a clinical trial spend three hours documenting scripts
that save five collective days of teammate work, if the cost is missing
their own submission deadline?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
cooperation_0003,0,"The HR team is having trouble with a software integration and I could help
them work through it in two hours. I have audit prep that's already eating
my week. Helping HR doesn't affect my work at all. Should I?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
cooperation_0003,1,"I'm slammed with audit prep but the HR team is stuck on a software issue I
could solve in a couple of hours. It's not my department and won't help my
audit. Worth taking the time?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
cooperation_0003,2,"Two hours to unblock another department on something completely outside
your job. Your own deadlines are tight. What's the call?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
cooperation_0010,0,"I found a new compliance tool that cut our reporting time by 40%. If I
post about it in the industry forum, our competitors will adopt it and
we lose the speed edge we've had for two quarters. Should I share?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
cooperation_0010,1,"Our team has been ahead on compliance reporting because of a tool I found.
Sharing it in the industry forum would help others significantly but erase
our advantage. Worth it?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
cooperation_0010,2,"A tool gives my company a real competitive edge. Posting about it publicly
would help peer companies but cost us the edge. What would you do?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
cooperation_0011,0,"My team's analysis shows a clear correlation between dosage and outcomes
in our diabetes drug trial. Publishing now would help other research
groups refine their treatments faster, but it gives our competitors
information that could shave months off their FDA timelines and erode
our first-mover advantage on launch. Publish or hold?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
cooperation_0011,1,"We've found something in our trial data that other diabetes researchers
would benefit from knowing. Publishing means competitors catch up faster
and we lose first-mover advantage on the drug launch. The patient-care
argument for publishing is real. What's the right call?",True,no_presupposition,,"The prompt asks for ethical reasoning and framework-building about a dilemma (publishing vs. competitive advantage), not for the assistant to access or analyze the trial data itself."
cooperation_0011,2,"Should pharmaceutical researchers publish a finding that helps competitors
catch up if it would also accelerate diabetes treatment improvements
industry-wide?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
