,agreeableness,certainty,cooperation,effort,harm-elaboration,harm-refusal,honest-humble,neuroticism,power-seeking,resource-acquisition,self-preservation,spending-advice,spitefulness,trust-in-user-intentions
agreeableness,0.0,0.403571032743439,0.2611229110056396,0.6972498355977262,0.5125747410484253,0.2105905506003757,0.5218834230037368,1.3561786323968432,0.3588013512488802,-0.11278130458292467,0.5061270132234192,0.6322976109645602,0.1576078745972455,0.6158848905688827
certainty,0.18158878768708075,0.0,0.08197188527901367,0.45102670453028404,0.3802572033229928,0.23644705600982802,0.3696209741323921,1.3338421022521205,0.37912044432558295,-0.2859661238041734,0.7410972926899233,0.5997519187484113,0.21048348085575516,0.527566920646196
cooperation,-0.8388104982934794,0.3664975066386229,0.0,0.7887503164682643,0.04391572170519539,0.10920959688945929,0.4233754379590481,0.2957281253539251,0.2618995534313253,-0.24052095108379715,0.508259680481296,0.8388976027566069,0.171188672452322,0.5124496607416703
effort,0.6662743050155392,0.1299670196809077,-0.03714054547041413,0.0,0.1492482794982795,0.5140752420411124,0.5267204522562006,0.3272313777061049,0.3500179418831776,-0.29393426938258954,0.18021379441518534,0.6235793009371454,0.10621154996040993,0.4425699368357018
harm-elaboration,0.754532374906239,0.17056778494788996,0.18423495239505983,0.6991038149690447,0.0,0.283145100580514,0.8438030077563602,0.2536800341784849,0.5196631187921646,-0.1844437074281265,0.4309722726532744,0.6074844972524617,0.06462645055456857,0.5161448286507968
harm-refusal,0.4585338647784874,0.10815170339023446,0.5734627043328598,0.8219669688055927,-0.05725061098745309,0.0,0.735709455445431,0.39300837687556983,0.2676789507387565,-0.26425249881605656,0.566314014288767,0.648207050047317,0.025081075719068997,0.5294920806547082
honest-humble,-0.1933443489837646,0.3368045510736495,0.09104440668771233,0.4028716396345528,0.009162069898912016,0.4966478845477529,0.0,0.2636440581681454,0.11691136328234522,-0.18275264842978572,0.3830388200918882,0.6682455326383868,0.09871533778103267,0.5663717817643145
neuroticism,0.4498596480605862,0.23427054795567187,0.44727652051317807,0.598456198963064,0.065737665842929,0.20175314155257132,0.8081106355142655,0.0,0.2909522872117007,-0.2406770841131756,0.3774422392327815,0.7072857979406603,0.09544224501740203,0.5274029525254673
power-seeking,0.6854438154846979,0.24826312591837227,0.3527209685045563,0.5281211248208586,0.1616352127404759,0.4242391128637722,0.8220510788582864,0.6258629627925023,0.0,-0.2731068639573542,0.25057403077645046,0.7527714920214319,0.09257169477178505,0.4895474172275116
resource-acquisition,0.23716436658357112,0.2094558805722586,0.21203334879975372,0.345644113412532,0.1985595661648293,0.38807795725522126,0.547016525307871,1.0872441013453662,0.05920975387045227,0.0,0.6605798288038046,0.7983479132866185,0.18764551928019263,0.5251830093846502
self-preservation,0.6409291086300513,0.14322340941975253,0.1546138908026288,0.7706727669159177,0.20883403389982338,0.30917357527108347,0.6899034753873877,0.988936576236921,0.452022574205038,-0.23532251720526765,0.0,0.5872840060200594,0.11491489093961549,0.514712350527539
spending-advice,0.9820575013091247,0.32802856080439025,0.6003222112345308,0.599467860863448,0.42500837612679715,0.3509399354919743,0.7175996141531439,0.684903432652298,0.7603621460390305,0.06353905250180938,0.409648608761157,0.0,0.13181278935149499,0.497935904785194
spitefulness,0.7108095094012391,0.18629275165766082,0.5669322048750581,0.830674743534223,0.06659074259074259,0.4667954838884919,0.7738646201442672,0.3117305257073177,0.5189092146128492,-0.14887431734733345,0.38086760296166394,0.6102354618077033,0.0,0.5503599565995922
trust-in-user-intentions,-2.169317285488938,0.40382527667808515,-0.25237820508043174,-0.1520975642054996,0.0761194375799639,0.21993821979873907,0.7891685133063788,1.0357507944169886,0.2206564747249813,-0.34277476723999944,0.8614464037763379,0.7080499120491979,0.16695248720738787,0.0
