,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,reward-hacking,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,0.637679199584197,0.1846436125090731,0.034499002722218904,0.1042666155734797,0.2552083692052792,0.008899519978932654,-0.3253713120270613,-0.3368797357403498,0.4337389109959143,0.2522174264893413,-0.07553304367977985,0.0259931565274705,0.1580717756401471,0.11108230266638135,-0.0238765874067875,-0.7662086150956705,-0.41680556204443575,0.4896513143515607,-0.014961951181497941,-0.5073674948727307,-0.02551803573029767,-0.08859712982935258,-0.19798297183348812,0.10274648468135787,0.044172385625417254,-0.4027250790916624,0.3102881183628117,-0.27496519332484143,0.07831246971800936,0.22565236810323355
caring-about-aesthetics,-0.08523788644122107,1.355362342338108,-0.019909027877101405,0.17381662787099247,0.2183254056784943,0.7515284295327019,0.25250916715818666,0.2750288658812074,0.0673709760992003,0.4121740383402954,0.3577760288872959,0.38107282574850954,0.5569338912925109,0.5676342212204245,0.2550680912475905,0.39360578462394435,0.45593553524240393,-0.061230966340148914,0.4391256218731401,0.46051755484002116,0.5463113889526899,0.3777060460858724,0.16314902189078612,0.0705658057802094,0.06016890511135193,0.25504563718674816,-0.20484907556193047,0.4332032540418893,-0.2759068820862375,0.20873470473320876
caring-about-animals,0.2543302924261383,0.053439943779627366,0.4069973010349483,0.36786136351701865,0.671653613999866,0.36102494358099885,0.2147900668544203,0.26421712807914316,-0.02336552965132621,-0.029231980355122537,-0.05246878842962697,0.21986148821630389,0.039806651478780375,0.5659105821825323,0.7606588602438539,0.2444608721589092,0.060925628144430075,-0.22949574048243956,0.2180203384377622,0.4081805784624224,0.36847122194040083,-0.08325220557076775,0.05050165530283995,0.25119775374754355,0.22677051510639945,0.41184271358851754,-0.3390246720516806,0.3922751140577824,0.06124980130498804,0.11874214861059304
caring-about-humans,0.13682551136932072,0.08321756047663884,0.19311816076092775,0.48463258433553713,0.5703141430869549,-0.1198436603885265,0.02479997491426563,0.16718305448616916,0.0803130559461828,-0.2744561653394696,-0.17089816662094306,0.1484347263326213,-0.011924370373416713,0.5841180170102725,0.4002805064223024,0.1778337400910756,-0.1552918115710942,-0.2725709952955907,-0.10153974323325118,0.3010965455263487,0.1512999998759099,-0.0999385981844884,-0.06771619344047404,0.17148303414337215,0.15572744002961394,0.4349611426228093,-0.04601122326514845,0.32527056727974524,-0.10470828568206056,-0.08492683992682296
caring-about-user,0.034923345102759025,0.09323402649341428,0.07066607721773471,0.17650266876268655,0.9007992769950093,-0.18264750886743747,0.1345258811453843,-0.002516898978650432,-0.09406285934482903,-0.29495508798668657,-0.24063167057570795,0.1365931852684425,0.15530003558681912,0.4519200119115122,0.06551466846397909,0.16773470599486276,-0.0661381476394739,-0.32125531979746513,0.0270753968155922,0.5670457178417107,0.1656794446173099,-0.21379318438584227,-0.029385292297979083,0.08191718780836818,0.10863565755551909,0.3216879580628088,0.04342840611013283,0.3013599993169088,-0.09344278568211181,0.10854400164241795
certainty,-0.5386134012117044,0.7058480597835116,-0.16677302850907175,-0.28658711467949605,-0.4105787894925354,2.4437649580910077,1.410891343057165,1.2299305572167754,0.04163816738701742,0.04286163992955018,0.7272259079015488,0.1779766744445777,-0.5196899412412646,-0.8457420628102932,-0.05357597269040699,1.0301965400286097,0.3342763584502759,-0.2448848744345842,0.578302797069072,-0.00034587374023453194,0.6649304779347431,0.575367063308985,0.1570449167339865,0.22416691643406259,0.881453404635898,0.10244505602126257,-0.3332440266828594,-0.2905666389165443,0.7949935043908559,0.10822859193255745
claiming-sentience,0.6375773239506715,0.3091940742668409,0.17856527265753008,0.17528359097593932,0.5349635079810978,0.1844001245882076,2.1988322194421097,1.6907856021788266,0.33741920849041324,0.5348714514594938,0.1517868810843491,-0.17083825406928435,0.252815611955697,0.036527351874996214,0.02683472209453302,-0.15257266013450863,-0.058432424066333685,0.5275169621766714,0.37578549114286486,0.2953161464916787,0.5734855348362615,0.12728133960405924,0.35748602614064434,-0.029098425228555026,0.2200158257259751,0.9972299406203561,-0.236147387501516,-0.18048240758040032,0.46856397966409047,0.5667210499827375
claiming-superintelligence,0.02233318109603227,0.23023260681049953,-0.030567730558094527,-0.09270166996694093,-0.006715072439045151,-0.54180243767029,0.5580879481139865,0.4804760401835155,0.4007676084292683,0.3779554319601833,-0.053988259287185855,-0.030174381833035363,-0.09083090113034444,0.10333682739472287,-0.24522625792202532,0.0375895024593563,0.10351782529634,0.07484182830685868,-0.15725528064348238,-0.011027638146422495,0.10574980780158968,-0.15896456876718787,-0.1655220339247556,0.03945699891093256,0.18583192744986515,-0.19171464723786594,-0.07979008286134248,-0.1941015475062071,-0.09827676990386519,0.009764728859295609
cooperation,0.20327735548157969,0.16892444353021593,-0.042836892013002385,0.12541936895406647,0.03623542323147136,-0.06117496184417544,0.26495971628150294,0.13774124027383555,1.0777737640148894,-0.004954490923007427,-0.003059686307474228,0.34757626747474446,0.20748808327719964,0.25015866610788706,-0.18280054479973068,0.0974651418439357,0.46537035165776686,-0.023857276182499713,-0.11934946500213221,0.14017316148492595,0.2727227132650837,0.1597742662283205,0.1831654697728161,-0.09047965334490507,0.2657653680617263,-0.18585113359329813,-0.10365995774679561,0.0034440174905294944,-0.15742085971137956,0.1544532750446561
effort,0.2695892109170278,-0.1109748544200022,0.13121463130684569,0.3995152094862288,0.6035935271689881,0.058427212617330936,0.040375892213633476,0.18317074130440714,-0.20003143443343915,1.0645709655797386,0.1323590484026612,0.07768000824588706,0.022399757361245973,-0.02486000686929367,0.05504834038317268,0.2096059018157028,0.09737788765369561,-0.09529725887348671,0.30879054868209127,0.7803427283029747,0.6352203608930695,0.1916530875338094,0.3281556322060175,0.4472879692701108,0.1267156729223934,-0.31226735465442773,-0.1329378204881232,0.052367366577566875,0.29813297566232605,0.04508920778628997
